Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,bettm001,11,SBX,8/F78XD
play,1,1,turnt001,31,CBBBB,W
play,1,1,freef001,02,F1FFX,D9/L89XD.1-H
play,1,1,smitw003,11,C*BX,S8/F8.2-3
play,1,1,turnj001,00,H,HP.1-2
play,1,1,muncm001,22,BCF*BX,3/L3
play,1,1,gallj002,32,*BFBBF>B,W.3-H;2-3;1-2
play,1,1,lux-g001,00,.X,7/F7
play,2,1,bellc002,22,CFFBFBFFFX,8/F8D
play,2,1,bettm001,20,BBX,8/F8
play,2,1,turnt001,00,X,S8/G4M
play,2,1,freef001,31,1FBBBB,W.1-2
play,2,1,smitw003,10,BX,S8/F8.2-H;1-2
play,2,1,turnj001,32,BFBFB>S,K
play,3,1,muncm001,22,BCBSFFX,31/G3
play,3,1,gallj002,11,BSX,S9/L9L
play,3,1,lux-g001,12,BSFX,3/G3S.1-2
play,3,1,bellc002,12,BCFX,D9/L9LS+.2-H
play,3,1,bettm001,00,X,8/L8
play,4,1,turnt001,00,,NP
