Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,schwk001,32,BCBBCX,3/P3SF/FL
play,1,1,hoskr001,02,CFC,K
play,1,1,castn001,01,CX,43/G4M
play,2,1,halld003,12,CSBC,K
play,2,1,realj001,10,BX,4/L4D+
play,2,1,bohma001,22,CBBCX,63/G6
play,3,1,herro001,32,BCCBBFX,3/G3
play,3,1,stotb001,32,CCBBFBB,W
play,3,1,munoy001,01,SX,S8/L8D+.1-2
play,3,1,schwk001,20,BBX,46(1)3/GDP/G34
play,4,1,hoskr001,10,BX,HR/F7D
play,4,1,castn001,11,CBX,9/F9L
play,4,1,halld003,22,CBFFBX,63/G4
play,4,1,realj001,31,BBBCX,S7/G56
play,4,1,bohma001,21,BBFX,S9/L3D-.1-3
play,4,1,herro001,32,BBCBC>X,3/G3
play,5,1,stotb001,12,CBSX,43/G34
play,5,1,munoy001,12,CCBX,63/G6
play,5,1,schwk001,22,BCCBC,K
play,6,1,hoskr001,22,BSSBX,D8/F78XD+
play,6,1,castn001,11,*BCX,S7/L78.2-H
play,6,1,halld003,12,FS*BS,K
play,6,1,realj001,22,S1F*BFBX,HR/L7LD.1-H
play,6,1,bohma001,02,FFC,K
play,6,1,herro001,01,SX,S9/G34
play,6,1,stotb001,00,,NP
