Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,gameb001,31,BBBCB,W
play,1,1,hayek001,01,CX,46(1)3/GDP/G4
play,1,1,reynb001,22,BSBFX,S9/L9S
play,1,1,tsuty001,32,FCBFBF*B>F>B,W.1-2
play,1,1,vanmj001,22,CC*B*BX,43/G34
play,2,1,chavm001,00,X,S8/L78S
play,2,1,suwij001,20,BBX,8/L78D
play,2,1,perem005,11,B1>FX,7/L7L
play,2,1,castr006,21,CBBX,43/G34
play,3,1,gameb001,12,CCBS,K
play,3,1,hayek001,12,BCFX,9/F9
play,3,1,reynb001,02,FFX,8/F8
play,4,1,tsuty001,12,FCFBX,7/F7LD
play,4,1,vanmj001,11,BCX,7/F7
play,4,1,chavm001,02,CCC,K
play,5,1,suwij001,22,FFBFBC,K
play,5,1,perem005,00,X,8/F8
play,5,1,castr006,10,BX,S8/L78S
play,5,1,gameb001,02,C1S>B,SB2
play,5,1,gameb001,32,C1S>B.2BFBF*B,W
play,5,1,hayek001,10,B>B,CS3(25)
play,6,1,hayek001,02,.FFX,9/F9D
play,6,1,reynb001,32,SBBBCX,13/G34S
play,6,1,tsuty001,10,BX,9/F89D+
play,7,1,vanmj001,00,X,3/G3
play,7,1,chavm001,01,SX,HR/L7D
play,7,1,suwij001,11,BFX,8/F78XD+
play,7,1,perem005,02,CFX,43/G3
play,8,1,castr006,00,,NP
