id,BOS202206170
version,2
info,visteam,SLN
info,hometeam,BOS
info,site,BOS07
info,date,2022/06/17
info,number,0
info,starttime,7:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,lives901
info,ump1b,whitc901
info,ump2b,bakej902
info,ump3b,emmep901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:25:24
info,howscored,unknown
info,pitches,pitches
info,oscorer,ellib701
info,temp,83
info,winddir,torf
info,windspeed,14
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,185
info,attendance,35251
info,wp,wachm001
info,lp,waina001
info,save,houct001
start,edmat001,"Tommy Edman",0,1,6
start,donob001,"Brendan Donovan",0,2,4
start,goldp001,"Paul Goldschmidt",0,3,3
start,arenn001,"Nolan Arenado",0,4,5
start,gormn001,"Nolan Gorman",0,5,10
start,oneit001,"Tyler O'Neill",0,6,7
start,carld002,"Dylan Carlson",0,7,9
start,badeh001,"Harrison Bader",0,8,8
start,kniza001,"Andrew Knizner",0,9,2
start,waina001,"Adam Wainwright",0,0,1
start,duraj001,"Jarren Duran",1,1,8
start,dever001,"Rafael Devers",1,2,5
start,martj006,"J.D. Martinez",1,3,10
start,bogax001,"Xander Bogaerts",1,4,6
start,verda001,"Alex Verdugo",1,5,7
start,stort001,"Trevor Story",1,6,4
start,cordf003,"Franchy Cordero",1,7,3
start,vazqc001,"Christian Vazquez",1,8,2
start,bradj001,"Jackie Bradley Jr.",1,9,9
start,wachm001,"Michael Wacha",1,0,1
play,1,0,edmat001,22,BBCFC,K
play,1,0,donob001,02,CSX,13/G34S-
play,1,0,goldp001,32,CBFBBS,K
play,1,1,duraj001,32,BBBCCX,T9/F8+
play,1,1,dever001,22,SBFBFH,HP
play,1,1,martj006,01,CX,64(1)3/GDP/G6M+.3-H(NR)
play,1,1,bogax001,22,CBCBC,K
play,2,0,arenn001,31,BFBBX,HR/F7LD
play,2,0,gormn001,32,SFBBFBS,K
play,2,0,oneit001,12,SBSX,53/G56
play,2,0,carld002,01,CX,5/P6
play,2,1,verda001,22,BBCF*S,K
play,2,1,stort001,02,CSC,K
play,2,1,cordf003,22,BFBS*S,K
play,3,0,badeh001,32,CBTFBBX,43/G4MD
play,3,0,kniza001,01,CX,63/G6D
play,3,0,edmat001,00,X,S8/L8+
play,3,0,donob001,12,CSBS,K
play,3,1,vazqc001,11,BCX,9/F9D
play,3,1,bradj001,22,BFFBS,K
play,3,1,duraj001,32,CBFBB*B,W
play,3,1,dever001,10,1B1>X,7/L7+
play,4,0,goldp001,12,BCFX,43/G4M
play,4,0,arenn001,00,X,S7/L7D+
play,4,0,gormn001,21,CB*BX,3/L3/DP.1X1(3)
play,4,1,martj006,11,FBX,S8/L89D
play,4,1,bogax001,22,BBCFX,D8/L89XD+.1-3
play,4,1,verda001,11,BTX,13/G1S-
play,4,1,stort001,02,FSX,S9/G34+.3-H;2-H
play,4,1,cordf003,10,BX,64(1)/FO/G6+.B-1
play,4,1,vazqc001,02,1S>F>X,4(1)/FO/G4M.B-1
play,5,0,oneit001,22,CBBFFX,7/L7D
play,5,0,carld002,11,CBX,S7/L7S
play,5,0,badeh001,22,FBBFX,S8/F8S.1-2
play,5,0,kniza001,00,X,8/L8D
play,5,0,edmat001,32,BTFB+2B>X,43/G4D
play,5,1,bradj001,11,BCX,6/L4MD
play,5,1,duraj001,32,CBTBBFX,6/P6D
play,5,1,dever001,01,FX,S9/L89D
play,5,1,martj006,00,>B,SB2
play,5,1,martj006,10,>B.X,53/G56
play,6,0,donob001,22,BFCBT,K
play,6,0,goldp001,11,CBX,S9/L9L+
play,6,0,arenn001,30,BBBB,W.1-2
play,6,0,gormn001,00,,NP
sub,schrj001,"John Schreiber",1,0,1
play,6,0,gormn001,00,.X,8/L8XD+
play,6,0,oneit001,32,BSBFB>T,K
play,6,1,bogax001,00,X,S7/L78D+
play,6,1,verda001,02,1CFX,35(1)3/GDP/G3
play,6,1,stort001,20,BBX,9/L9+
play,7,0,carld002,32,CSBBBFB,W
play,7,0,badeh001,32,BBCCBX,54(1)3/GDP/G56+
play,7,0,kniza001,00,,NP
sub,stram001,"Matt Strahm",1,0,1
play,7,0,kniza001,11,.BCX,4/P4D
play,7,1,cordf003,31,BBCBX,D7/F7LS
play,7,1,vazqc001,11,BCX,43/G4.2-3
play,7,1,bradj001,00,,NP
