id,CHN202206050
version,2
info,visteam,SLN
info,hometeam,CHN
info,site,CHI11
info,date,2022/06/05
info,number,0
info,starttime,6:08PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,bacce901
info,ump1b,mosce901
info,ump2b,emmep901
info,ump3b,drecb901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:25:12
info,howscored,unknown
info,pitches,pitches
info,oscorer,jackj702
info,temp,68
info,winddir,fromcf
info,windspeed,5
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,224
info,attendance,31424
info,wp,cabrg001
info,lp,norrd002
info,save,
start,edmat001,"Tommy Edman",0,1,4
start,goldp001,"Paul Goldschmidt",0,2,3
start,arenn001,"Nolan Arenado",0,3,5
start,pujoa001,"Albert Pujols",0,4,10
start,yepej001,"Juan Yepez",0,5,7
start,badeh001,"Harrison Bader",0,6,8
start,moliy001,"Yadier Molina",0,7,2
start,sosae001,"Edmundo Sosa",0,8,6
start,donob001,"Brendan Donovan",0,9,9
start,waina001,"Adam Wainwright",0,0,1
start,morec001,"Christopher Morel",1,1,8
start,contw001,"Willson Contreras",1,2,2
start,happi001,"Ian Happ",1,3,7
start,schwf001,"Frank Schwindel",1,4,3
start,wisdp001,"Patrick Wisdom",1,5,5
start,orter001,"Rafael Ortega",1,6,10
start,hoern001,"Nico Hoerner",1,7,6
start,heywj001,"Jason Heyward",1,8,9
start,madrn001,"Nick Madrigal",1,9,4
start,steej002,"Justin Steele",1,0,1
play,1,0,edmat001,01,CX,63/G6
play,1,0,goldp001,11,CBX,S48/G6M
play,1,0,arenn001,01,CX,8/L8D
play,1,0,pujoa001,00,X,53/G5-
play,1,1,morec001,10,BX,63/G6D+
play,1,1,contw001,32,CBBBS*B,W
play,1,1,happi001,20,BBX,D9/L9LD+.1-3
play,1,1,schwf001,11,CBX,9/SF/DP/L9.3-H;2X3(935)
play,2,0,yepej001,01,SX,43/G6M
play,2,0,badeh001,12,BCFX,4/P8S
play,2,0,moliy001,31,BBBCX,8/L8XD
play,2,1,wisdp001,00,X,63/G6
play,2,1,orter001,12,CCFBX,5/P56
play,2,1,hoern001,12,CCBX,S14/L4S
play,2,1,heywj001,21,BBSX,53/G56S
play,3,0,sosae001,21,BBFX,63/G6MD
play,3,0,donob001,01,CX,S7/G5.BX2(74)
play,3,0,edmat001,31,BBBCB,W
play,3,0,goldp001,00,11X,53/G56
play,3,1,madrn001,12,CBCFX,43/G34
play,3,1,morec001,11,CBX,S8/G6M+
play,3,1,contw001,01,TX,S8/L8S+.1-2
play,3,1,happi001,21,BFBX,64(1)/FO/G4M.2-3;B-1
play,3,1,schwf001,00,X,6/L6
play,4,0,arenn001,01,CX,6/P6
play,4,0,pujoa001,01,CX,S5/G5+
play,4,0,yepej001,11,BSX,54(1)/FO/G5.B-1
play,4,0,badeh001,11,BFX,S7/G56+.1-2
play,4,0,moliy001,11,BF2X,54(1)/FO/G56.B-1
play,4,1,wisdp001,21,CBBX,7/L78
play,4,1,orter001,01,CX,8/L8
play,4,1,hoern001,01,CX,D7/F7LS
play,4,1,heywj001,22,BCSFBX,S7/G6+.2-H;B-2
play,4,1,madrn001,02,FFX,6/P7LS
play,5,0,sosae001,22,SBBSFX,43/G4
play,5,0,donob001,00,X,8/L8D
play,5,0,edmat001,10,BX,S8/L8S
play,5,0,goldp001,21,1B1CB1X,S5/G6S.1-3(E5/TH);B-2
play,5,0,arenn001,00,X,S8/G6M.3-H;2-H(UR)
play,5,0,pujoa001,22,C*S*B*BX,4(1)/FO/G2+.B-1
play,5,1,morec001,12,CBSX,63/G6
play,5,1,contw001,22,BBSFX,8/F8XD+
play,5,1,happi001,21,BCBX,31/G3
play,6,0,yepej001,30,BBBB,W
play,6,0,badeh001,32,CBFBFBC,K
play,6,0,moliy001,02,SFX,24(1)3/GDP/G2-
play,6,1,schwf001,11,BSX,53/G56+
play,6,1,wisdp001,30,BBBX,DGR/L7LS+
play,6,1,orter001,00,X,S9/L9.2XH(92)
com,"$Cubs challenged (home-plate collision): Cubs challenge (tag play): call on the field was upheld"
play,6,1,hoern001,10,1B>X,9/F9
play,7,0,sosae001,11,BFX,53/G56
play,7,0,donob001,21,BBCX,43/G34
play,7,0,edmat001,32,BCBBCB,W
play,7,0,goldp001,21,B1SBX,7/F7S+
play,7,1,heywj001,21,BFBX,7/F7D
play,7,1,madrn001,11,CBX,S7/L78S
play,7,1,morec001,02,L11SX,4/P4D
play,7,1,contw001,32,1S1B*BBS>B,W.1-2
play,7,1,happi001,11,BFX,43/G4D
play,8,0,arenn001,00,,NP
sub,effrs001,"Scott Effross",1,0,1
play,8,0,arenn001,02,.CCX,63/G6
play,8,0,pujoa001,00,,NP
sub,gormn001,"Nolan Gorman",0,4,11
play,8,0,gormn001,32,.BBSFBC,K
play,8,0,yepej001,22,BCBFX,63/G6
play,8,1,schwf001,00,.,NP
id,CHN202208231
version,2
info,visteam,SLN
info,hometeam,CHN
info,site,CHI11
info,date,2022/08/23
info,number,1
info,starttime,1:20PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,muchm901
info,ump1b,bacce901
info,ump2b,libkj901
info,ump3b,reynj901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:26:41
info,howscored,unknown
info,pitches,pitches
info,oscorer,lissr701
info,temp,80
info,winddir,fromcf
info,windspeed,8
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,189
info,attendance,27273
info,wp,ruckm001
info,lp,waina001
info,save,hughb002
start,nootl001,"Lars Nootbaar",0,1,9
start,donob001,"Brendan Donovan",0,2,7
start,goldp001,"Paul Goldschmidt",0,3,3
start,arenn001,"Nolan Arenado",0,4,5
start,gormn001,"Nolan Gorman",0,5,4
start,pujoa001,"Albert Pujols",0,6,10
start,dejop001,"Paul DeJong",0,7,6
start,moliy001,"Yadier Molina",0,8,2
start,carld002,"Dylan Carlson",0,9,8
start,waina001,"Adam Wainwright",0,0,1
start,mckiz001,"Zach McKinstry",1,1,4
start,hoern001,"Nico Hoerner",1,2,6
start,happi001,"Ian Happ",1,3,7
start,suzus001,"Seiya Suzuki",1,4,9
start,reyef001,"Franmil Reyes",1,5,10
start,orter001,"Rafael Ortega",1,6,8
start,gomey001,"Yan Gomes",1,7,2
start,higgp001,"P.J. Higgins",1,8,3
start,morec001,"Christopher Morel",1,9,5
start,assaj001,"Javier Assad",1,0,1
play,1,0,nootl001,01,CX,D7/G5
play,1,0,donob001,22,CBCBB,WP.2-3
play,1,0,donob001,32,CBCBB.X,53/G56
play,1,0,goldp001,00,X,FC/G34.3XH(32);B-1
play,1,0,arenn001,21,CBBX,63/G6
play,1,1,mckiz001,22,BCBCFX,8/F8D
play,1,1,hoern001,01,CX,7/F7D
play,1,1,happi001,11,FBX,43/G34
play,2,0,gormn001,10,BX,7/F78S
play,2,0,pujoa001,12,BCFFC,K
play,2,0,dejop001,32,FBBFBB,W
play,2,0,moliy001,31,B*BBFX,3/P3F/FL
play,2,1,suzus001,31,CBBBX,E5/L56.B-1
play,2,1,reyef001,00,X,S7/L7+.1-2
play,2,1,orter001,12,CBCX,8/F8D
play,2,1,gomey001,32,BBCBFX,7/L78D
play,2,1,higgp001,22,CSBFBC,K
play,3,0,carld002,22,BBCSX,43/G4
play,3,0,nootl001,32,CBSFBBFS,K
play,3,0,donob001,10,BX,S9/L9L
play,3,0,goldp001,32,C1FF1BBB>B,W.1-2
play,3,0,arenn001,30,BBBB,W.2-3;1-2
play,3,0,gormn001,01,SX,43/G34D
play,3,1,morec001,11,FBX,S9/G34
play,3,1,mckiz001,22,BFCBFX,S9/G3.1-3
play,3,1,hoern001,12,CF*BX,43/G4MS.3-H;1-2
play,3,1,happi001,31,FBBBB,W
play,3,1,suzus001,12,C2CFFFFBX,S18/G4M.2-H;1-3
play,3,1,reyef001,02,CFS,K
play,3,1,orter001,11,FB1>B,SB2
play,3,1,orter001,22,FB1>B.FS,K
play,4,0,pujoa001,11,CBX,D/L5D
play,4,0,dejop001,02,CSS,K
play,4,0,moliy001,02,SSX,4/P4
play,4,0,carld002,32,CFBBBX,43/G34D
play,4,1,gomey001,22,CBBSX,6/P78S
play,4,1,higgp001,30,BBBB,W
play,4,1,morec001,00,X,3/P23
play,4,1,mckiz001,32,CFBBB>B,W.1-2
play,4,1,hoern001,00,X,63/G6M
play,5,0,nootl001,11,BSX,D9/L9D
play,5,0,donob001,32,BC*BBFFFB,W
play,5,0,goldp001,00,,NP
sub,ruckm001,"Michael Rucker",1,0,1
play,5,0,goldp001,32,.BCBFBFS,K
play,5,0,arenn001,20,BBX,3/P23
play,5,0,gormn001,22,BFCBFX,7/F7
play,5,1,happi001,10,BX,7/F7LD
play,5,1,suzus001,01,CX,9/F9S
play,5,1,reyef001,02,SCFFX,9/F89
play,6,0,pujoa001,22,BTFBFX,63/G6
play,6,0,dejop001,11,BSX,7/F78D
play,6,0,moliy001,22,BFFFBFFFX,7/F7LD
play,6,1,orter001,32,BBCBFB,W
play,6,1,gomey001,10,BX,8/F89S
play,6,1,higgp001,01,C>X,53/G56S.1-2
play,6,1,morec001,00,X,S56/G5.2-3
play,6,1,mckiz001,01,FX,8/F8XD
play,7,0,carld002,00,,NP
sub,newcs001,"Sean Newcomb",1,0,1
play,7,0,carld002,32,.CBBCBX,63/G6D
play,7,0,nootl001,00,X,13/BG23
play,7,0,donob001,22,CBCBX,E6/TH/G6.B-1
play,7,0,goldp001,00,,NP
sub,uelme001,"Erich Uelmen",1,0,1
play,7,0,goldp001,32,.BFC*BB>X,S9/L9L.1-3
play,7,0,arenn001,12,BCFX,6/P6MS
play,7,1,hoern001,00,,NP
