id,NYN202205290
version,2
info,visteam,PHI
info,hometeam,NYN
info,site,NYC20
info,date,2022/05/29
info,number,0
info,starttime,7:08PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,willr901
info,ump1b,ticht901
info,ump2b,rehaj901
info,ump3b,porta901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:25:01
info,howscored,unknown
info,pitches,pitches
info,oscorer,sprej701
info,temp,70
info,winddir,tolf
info,windspeed,8
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,231
info,attendance,36513
info,wp,diaze006
info,lp,knebc001
info,save,
start,schwk001,"Kyle Schwarber",0,1,7
start,bohma001,"Alec Bohm",0,2,5
start,harpb003,"Bryce Harper",0,3,10
start,castn001,"Nick Castellanos",0,4,9
start,seguj002,"Jean Segura",0,5,4
start,hoskr001,"Rhys Hoskins",0,6,3
start,realj001,"J.T. Realmuto",0,7,2
start,herro001,"Odubel Herrera",0,8,8
start,camaj001,"Johan Camargo",0,9,6
start,wheez001,"Zack Wheeler",0,0,1
start,guill001,"Luis Guillorme",1,1,4
start,marts002,"Starling Marte",1,2,9
start,lindf001,"Francisco Lindor",1,3,6
start,alonp001,"Pete Alonso",1,4,10
start,escoe001,"Eduardo Escobar",1,5,5
start,canhm001,"Mark Canha",1,6,8
start,smitd008,"Dominic Smith",1,7,3
start,plumn001,"Nick Plummer",1,8,7
start,mazep001,"Patrick Mazeika",1,9,2
start,bassc001,"Chris Bassitt",1,0,1
play,1,0,schwk001,12,BFFFS,K
play,1,0,bohma001,22,CCBBX,31/G3S
play,1,0,harpb003,01,SX,8/F8XD+
play,1,1,guill001,31,BFBBX,D7/F7LD
play,1,1,marts002,20,BBX,S7/L7S+.2-3
play,1,1,lindf001,12,1FF1FBX,FC3/G3-.3-H;1-2(E3/TH);B-1
play,1,1,alonp001,12,BFTX,S9/F34D.2-3;1-2
play,1,1,escoe001,00,X,46(1)/FO/G34.3-H(UR);2-3;B-1
play,1,1,canhm001,12,CCFF*BX,53/G56-.3-H(UR);1-2
play,1,1,smitd008,31,CBBBB,W
play,1,1,plumn001,02,CFS,K
play,2,0,castn001,32,SBBBCS,K
play,2,0,seguj002,12,CBFX,S9/L89S
play,2,0,hoskr001,02,CCX,63/G6S-.1-2
play,2,0,realj001,12,CBCS,K
play,2,1,mazep001,11,CBX,3/G34
play,2,1,guill001,12,CBFS,K
play,2,1,marts002,22,BBCFX,4/P34D
play,3,0,herro001,11,BCX,D78/F78
play,3,0,camaj001,32,SB*BCBB,W
play,3,0,schwk001,32,CFFBFBBB,W.2-3;1-2
play,3,0,bohma001,21,BCBX,46(1)3/GDP/G34.3-H(NR);2-3
play,3,0,harpb003,32,CSFBFFBBB,W
play,3,0,castn001,12,BFFS,K
play,3,1,lindf001,12,BSFS,K
play,3,1,alonp001,32,CBFBB*B,W
play,3,1,escoe001,12,CF*BFX,36(1)/FO/G3.B-1
play,3,1,canhm001,12,BFCX,8/L8D+
play,4,0,seguj002,12,BCFX,43/G4
play,4,0,hoskr001,00,X,63/G6
play,4,0,realj001,02,CFX,53/G56
play,4,1,smitd008,12,CBCC,K
play,4,1,plumn001,02,CFS,K
play,4,1,mazep001,01,FX,63/G6
play,5,0,herro001,12,CFBX,53/G56S
play,5,0,camaj001,02,CCS,K
play,5,0,schwk001,32,BCSBFBFC,K
play,5,1,guill001,12,FBCX,43/G34
play,5,1,marts002,11,BCX,T9/L9LD+
play,5,1,lindf001,32,FBF*BBFS,K
