id,PHI202307200
version,2
info,visteam,MIL
info,hometeam,PHI
info,site,PHI13
info,date,2023/07/20
info,number,0
info,gametype,regular
info,starttime,12:35PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,bakej902
info,ump1b,millb903
info,ump2b,barrl901
info,ump3b,thomd901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/23 20:30:24
info,howscored,unknown
info,pitches,pitches
info,oscorer,macom701
info,temp,84
info,winddir,tolf
info,windspeed,4
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,143
info,attendance,38276
info,wp,burnc002
info,lp,walkt004
info,save,
start,yelic001,"Christian Yelich",0,1,7
start,contw002,"William Contreras",0,2,10
start,adamw002,"Willy Adames",0,3,6
start,millo002,"Owen Miller",0,4,3
start,carav001,"Victor Caratini",0,5,2
start,tapir001,"Raimel Tapia",0,6,9
start,monaa001,"Andruw Monasterio",0,7,5
start,turab002,"Brice Turang",0,8,4
start,perkb002,"Blake Perkins",0,9,8
start,burnc002,"Corbin Burnes",0,0,1
start,schwk001,"Kyle Schwarber",1,1,7
start,turnt001,"Trea Turner",1,2,6
start,castn001,"Nick Castellanos",1,3,9
start,harpb003,"Bryce Harper",1,4,10
start,bohma001,"Alec Bohm",1,5,5
start,stotb001,"Bryson Stott",1,6,4
start,marsb002,"Brandon Marsh",1,7,8
start,halld003,"Darick Hall",1,8,3
start,stubg001,"Garrett Stubbs",1,9,2
start,walkt004,"Taijuan Walker",1,0,1
play,1,0,yelic001,00,X,S9/G34
play,1,0,contw002,00,X,6/P6S
play,1,0,adamw002,00,1,PO1(13)
com,"$Phillies challenged (tag play), call on the field was overturned."
play,1,0,adamw002,32,1.BFFFB.BFS,K
play,1,1,schwk001,12,CBCC,K
play,1,1,turnt001,12,CBSX,4/P6MD
play,1,1,castn001,00,X,13/G1S
play,2,0,millo002,11,BCX,53/G56
play,2,0,carav001,01,FX,6/P6MD
play,2,0,tapir001,32,BTBBS.X,8/F8
play,2,1,harpb003,12,BSCS,K
play,2,1,bohma001,11,BFX,9/F9L
play,2,1,stotb001,02,CC*S,K.BX1(23)
play,3,0,monaa001,22,FBFBX,D7/G5
play,3,0,turab002,31,BBBCB,W
play,3,0,perkb002,12,BLCL,K
play,3,0,yelic001,00,X,HR/F89XD.2-H;1-H
play,3,0,contw002,22,CFBBS,K
play,3,0,adamw002,00,X,S7/L78
play,3,0,millo002,02,C1FS,K
play,3,1,marsb002,12,CFB*S,K
play,3,1,halld003,02,FFFS,K
play,3,1,stubg001,32,BLBF.BX,7/F7L
play,4,0,carav001,01,CX,63/G6M
play,4,0,tapir001,12,S.FBFFFS,K
play,4,0,monaa001,12,CFBC,K
play,4,1,schwk001,32,CBBBFFB,W
play,4,1,turnt001,00,X,4(1)3/GDP/G4M
play,4,1,castn001,32,BFS.BBX,S9/L9S
play,4,1,harpb003,21,*BB1CX,53/G6
play,5,0,turab002,22,CF.BBX,6/L6MD
play,5,0,perkb002,32,CBBBCX,9/F89XD
play,5,0,yelic001,11,CBX,D9/L89D+
play,5,0,contw002,12,CF*BX,63/G6
play,5,1,bohma001,01,FX,53/G56
play,5,1,stotb001,32,BCS.BBX,S4/G4
play,5,1,marsb002,32,C1BBFBFS,K
play,5,1,halld003,00,1X,3/L3
play,6,0,adamw002,32,CBFBBFFX,1/P25-
play,6,0,millo002,11,CBX,53/G56
play,6,0,carav001,32,BBBCF.FB,W
play,6,0,tapir001,12,BFSX,9/L89
play,6,1,stubg001,10,BX,3/G3S
play,6,1,schwk001,02,CCX,43/G34
play,6,1,turnt001,21,BBFX,63/G6
play,7,0,monaa001,12,CCBX,S16/G6M
play,7,0,turab002,00,,NP
sub,vasqa002,"Andrew Vasquez",1,0,1
play,7,0,turab002,32,.BBCBCFB,W.1-2
play,7,0,perkb002,22,.BBCFC,K
play,7,0,yelic001,00,X,7/F78D
play,7,0,contw002,02,FSFX,S7/G56.2-H;1-2
play,7,0,adamw002,32,FVBFFB>F>S,K
play,7,1,castn001,21,BSBH,HP
play,7,1,harpb003,01,CX,3/G3.1-2
play,7,1,bohma001,12,CBFX,8/F8S
play,7,1,stotb001,02,CF*S,K
play,8,0,millo002,00,,NP
sub,coved001,"Dylan Covey",1,0,1
play,8,0,millo002,20,.BBX,S5/G5
play,8,0,carav001,10,BX,6(1)3/GDP/G6M
play,8,0,tapir001,00,X,63/G6M
play,8,1,marsb002,00,,NP
sub,wiemj001,"Joey Wiemer",0,6,8
play,8,1,marsb002,00,.,NP
sub,perkb002,"Blake Perkins",0,9,9
play,8,1,marsb002,02,..SF*S,K+WP.B-1
play,8,1,halld003,02,CCF*S,K
play,8,1,stubg001,00,1X,4/P34D
play,8,1,schwk001,02,CF*S,K.BX1(23)
play,9,0,monaa001,22,FCBBC,K
play,9,0,turab002,22,CBBCFFX,7/F7D
play,9,0,perkb002,01,CX,7/F7L
play,9,1,turnt001,00,,NP
sub,uriba001,"Abner Uribe",0,0,1
play,9,1,turnt001,32,.CBFBFBB,W
play,9,1,castn001,02,FFS,K
play,9,1,harpb003,12,SBFS,K
play,9,1,bohma001,00,>C,DI.1-2
play,9,1,bohma001,22,>C.*BSBS,K
data,er,uriba001,0
data,er,burnc002,0
data,er,coved001,0
data,er,vasqa002,0
data,er,walkt004,4
