id,PIT202307010
version,2
info,visteam,MIL
info,hometeam,PIT
info,site,PIT08
info,date,2023/07/01
info,number,0
info,gametype,regular
info,starttime,4:05PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,valej901
info,ump1b,muchm901
info,ump2b,johna901
info,ump3b,wolcq901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/08/24 10:02:35
info,howscored,unknown
info,pitches,pitches
info,oscorer,soosr701
info,temp,80
info,winddir,rtol
info,windspeed,7
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,170
info,attendance,35246
info,wp,burnc002
info,lp,oviej001
info,save,payaj001
start,yelic001,"Christian Yelich",0,1,7
start,winkj002,"Jesse Winker",0,2,10
start,adamw002,"Willy Adames",0,3,6
start,tellr001,"Rowdy Tellez",0,4,3
start,carav001,"Victor Caratini",0,5,2
start,andeb006,"Brian Anderson",0,6,5
start,turab002,"Brice Turang",0,7,4
start,perkb002,"Blake Perkins",0,8,8
start,tapir001,"Raimel Tapia",0,9,9
start,burnc002,"Corbin Burnes",0,0,1
start,palaj001,"Joshua Palacios",1,1,7
start,mccua001,"Andrew McCutchen",1,2,10
start,suwij001,"Jack Suwinski",1,3,8
start,santc002,"Carlos Santana",1,4,3
start,davih001,"Henry Davis",1,5,9
start,marct001,"Tucupita Marcano",1,6,6
start,trioj001,"Jared Triolo",1,7,5
start,bae-j001,"Ji Hwan Bae",1,8,4
start,delaj004,"Jason Delay",1,9,2
start,oviej001,"Johan Oviedo",1,0,1
play,1,0,yelic001,32,SBCVBF*B,W
play,1,0,winkj002,00,X,7/F7D
play,1,0,adamw002,11,BSX,S7/L5D.1-3
play,1,0,tellr001,22,BBFFX,7/SF/F7LD.3-H
play,1,0,carav001,10,BX,43/G4M
play,1,1,palaj001,22,BCSBX,4/L4D+
play,1,1,mccua001,11,FBX,6/L56D
play,1,1,suwij001,32,BCBSB*S,K.BX1(23)
play,2,0,andeb006,22,BSBFX,S8/G4M+
play,2,0,turab002,00,X,S8/G6.1-3
play,2,0,perkb002,00,X,6(1)/FO/G6.3-H;B-1
com,"$Pirates challenged (play at 1st), call on the field was upheld."
play,2,0,tapir001,00,B,WP.1-2
play,2,0,tapir001,31,B.BTBB,W
play,2,0,yelic001,10,BX,HR/F9LD.2-H;1-H
play,2,0,winkj002,31,BBBCB,W
play,2,0,adamw002,22,BBFF.X,D7/L7LD+.1-3
play,2,0,tellr001,11,BFX,463/G6S+.3-H
play,2,0,carav001,12,C*BF.X,9/F89
play,2,1,santc002,32,BCBFBFX,8/F89
play,2,1,davih001,00,X,4/L4MD+
play,2,1,marct001,02,.SFC,K
play,3,0,andeb006,12,CBFT,K
play,3,0,turab002,22,BCCF.BX,43/G4
play,3,0,perkb002,22,BBCCX,DGR/F7LD
play,3,0,tapir001,02,CFX,31/G34
play,3,1,trioj001,22,FBBFS,K
play,3,1,bae-j001,10,BX,31/G34
play,3,1,delaj004,00,X,63/G6
play,4,0,yelic001,21,FBBX,43/G4
play,4,0,winkj002,21,BBCX,8/F78XD
play,4,0,adamw002,00,X,8/L8XD
play,4,1,palaj001,02,CSX,3/G3
play,4,1,mccua001,02,CCX,8/L8D+
play,4,1,suwij001,22,BBCCC,K
play,5,0,tellr001,32,BCSBBX,7/F7
play,5,0,carav001,01,CX,13/G13
play,5,0,andeb006,00,X,S8/L8
play,5,0,turab002,01,CX,8/F8XD+
play,5,1,santc002,02,SSC,K
play,5,1,davih001,12,BFSX,5/L5D+
play,5,1,marct001,22,CF.BBFFS,K
play,6,0,perkb002,31,BBBCX,S9/L9+
play,6,0,tapir001,32,BB*SF.B>X,S8/L8.1-3
play,6,0,yelic001,00,,NP
sub,contr001,"Roansy Contreras",1,0,1
play,6,0,yelic001,32,.B*B1BCC>B,W.1-2
play,6,0,winkj002,00,X,D8/F89D.3-H;2-H;1-H
play,6,0,adamw002,12,C*BFX,4/P4D
play,6,0,tellr001,22,CBBFX,6/P8S
play,6,0,carav001,00,X,S8/G4M.2-H
play,6,0,andeb006,02,FFS,K
play,6,1,trioj001,30,BBBB,W
play,6,1,bae-j001,32,B*BBCFB,W.1-2
play,6,1,delaj004,12,BFFX,3/P3
play,6,1,palaj001,12,BFFFFX,31/G34.2-3;1-2
play,6,1,mccua001,12,CFBH,HP
play,6,1,suwij001,32,B*BBCC>X,S9/L9.3-H;2-H;1-3
play,6,1,santc002,11,CBX,63/G6
play,7,0,turab002,01,CX,8/F8XD
play,7,0,perkb002,22,BCBFFFS,K
play,7,0,tapir001,22,CS.FFFBFFFBX,HR/F9D
play,7,0,yelic001,00,X,43/G4
play,7,1,davih001,00,X,53/G56
play,7,1,marct001,12,FT.FBS,K
play,7,1,trioj001,01,CX,9/L9D
play,8,0,winkj002,00,,NP
sub,joe-c001,"Connor Joe",1,4,3
play,8,0,winkj002,02,.CFX,7/F7D
play,8,0,adamw002,00,,NP
sub,holdc001,"Colin Holderman",1,0,1
play,8,0,adamw002,00,.X,53/G56
play,8,0,tellr001,12,CFBX,63/G4M+
play,8,1,bae-j001,00,,NP
sub,andrc002,"Clayton Andrews",0,0,1
play,8,1,bae-j001,22,.BCBFX,43/G34
play,8,1,delaj004,12,SFFBX,D8/F78XD
play,8,1,palaj001,12,FFF*BX,S8/L8.2-H
play,8,1,mccua001,01,CX,53/G5.1-2
play,8,1,suwij001,20,BBX,HR/F89XD.2-H
play,8,1,joe-c001,31,CBBBB,W
play,8,1,davih001,22,BBCCX,S7/G6.1-3
play,8,1,marct001,00,,NP
sub,wilsb003,"Bryse Wilson",0,0,1
play,8,1,marct001,00,.B,WP.1-2
play,8,1,marct001,10,.B.X,T78/L78D.3-H;2-H
play,8,1,trioj001,11,CBX,D9/F9+.3-H
play,8,1,bae-j001,00,,NP
sub,castr006,"Rodolfo Castro",1,8,11
play,8,1,castr006,32,.FBBBFS,K
play,9,0,carav001,00,,NP
sub,castr006,"Rodolfo Castro",1,8,4
play,9,0,carav001,00,.,NP
sub,deloy001,"Yerry De Los Santos",1,0,1
play,9,0,carav001,11,..CBX,8/F8
com,"$33-minute rain delay"
play,9,0,andeb006,12,CFBFS,K
play,9,0,turab002,32,BFBBT.B,W
play,9,0,perkb002,10,BX,3/G34S-
play,9,1,delaj004,00,,NP
sub,perkb002,"Blake Perkins",0,8,9
play,9,1,delaj004,00,.,NP
sub,wiemj001,"Joey Wiemer",0,9,8
play,9,1,delaj004,00,..,NP
sub,payaj001,"Joel Payamps",0,0,1
play,9,1,delaj004,00,...,NP
sub,gonzn001,"Nick Gonzales",1,9,11
play,9,1,gonzn001,11,....BSX,53/G56
play,9,1,palaj001,21,BBCX,43/G4D
play,9,1,mccua001,32,BBBCC.S,K
data,er,payaj001,0
data,er,burnc002,2
data,er,andrc002,5
data,er,wilsb003,1
data,er,holdc001,0
data,er,contr001,3
data,er,oviej001,8
data,er,deloy001,0
id,PIT202309040
version,2
info,visteam,MIL
info,hometeam,PIT
info,site,PIT08
info,date,2023/09/04
info,number,0
info,gametype,regular
info,starttime,6:35PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,nelsj901
info,ump1b,segac901
info,ump2b,buckc901
info,ump3b,may-b901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/09/14 09:03:11
info,howscored,unknown
info,pitches,pitches
info,oscorer,musid701
info,temp,86
info,winddir,tocf
info,windspeed,10
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,142
info,attendance,10831
info,wp,ortil003
info,lp,burnc002
info,save,bednd001
start,yelic001,"Christian Yelich",0,1,7
start,contw002,"William Contreras",0,2,10
start,santc002,"Carlos Santana",0,3,3
start,frels001,"Sal Frelick",0,4,8
start,adamw002,"Willy Adames",0,5,6
start,canhm001,"Mark Canha",0,6,9
start,carav001,"Victor Caratini",0,7,2
start,turab002,"Brice Turang",0,8,4
start,monaa001,"Andruw Monasterio",0,9,5
start,burnc002,"Corbin Burnes",0,0,1
start,hayek001,"Ke'Bryan Hayes",1,1,5
start,reynb001,"Bryan Reynolds",1,2,7
