Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,rojaj001,11,CBX,9/F89
play,1,1,martk001,11,BS.X,43/G4
play,1,1,smitp002,12,CSBS,K
play,2,1,longe001,01,CX,9/F9L
play,2,1,carrc005,02,CSX,9/F89XD
play,2,1,mccaj003,12,LSBC,K
play,3,1,moreg001,01,SX,S8/G4M
play,3,1,thoma004,11,BCX,14(1)3/GDP/G4M
play,3,1,perdg001,22,CBCBS,K
play,4,1,rojaj001,12,FSFBS,K
play,4,1,martk001,10,BX,8/L8XD
play,4,1,smitp002,32,BBBCSS,K
play,5,1,longe001,12,CS.FBS,K
play,5,1,carrc005,22,BCFFBF.FFC,K
play,5,1,mccaj003,00,X,3/G3
play,6,1,moreg001,21,BBCX,53/G56
play,6,1,thoma004,01,CX,43/G4D
play,6,1,perdg001,12,CSBC,K
play,7,1,rojaj001,11,CBX,63/G6
play,7,1,martk001,31,BBBCX,63/G4MD
play,7,1,smitp002,00,X,43/G34
play,8,1,longe001,12,CFBX,8/F78XD
play,8,1,carrc005,12,BFFX,8/F89D
play,8,1,mccaj003,00,X,S8/L8D
play,8,1,moreg001,00,X,S9/L89D.1-3
play,8,1,thoma004,02,S.SX,41/G34
play,9,1,perdg001,00,,NP
