Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,bettm001,01,CX,S7/L7LD
play,1,1,freef001,31,*BBF1BB,W.1-2
play,1,1,perad001,22,BCC*BS,K
play,1,1,smitw003,32,CSB*B*BS,K
play,1,1,muncm001,00,B,WP.2-3;1-2
play,1,1,muncm001,20,B.BX,9/F9LS
play,2,1,heywj001,00,X,8/L8D
play,2,1,outmj002,10,BX,3/G3
play,2,1,herne001,22,CBFBX,9/F9
play,3,1,barna001,20,BBX,S7/L7D+
play,3,1,bettm001,12,*BFSFS,K
play,3,1,freef001,12,F*BC1S,K
play,3,1,perad001,00,N,BK.1-2
play,3,1,perad001,12,N.*BFSFF*S,K
play,4,1,smitw003,22,CBFBFS,K
play,4,1,muncm001,21,FBBX,43/G34
play,4,1,heywj001,22,.CBBCS,K
play,5,1,outmj002,02,FS.FS,K
play,5,1,herne001,00,X,63/G6
play,5,1,barna001,02,CS.X,9/F9
play,6,1,bettm001,21,BBFX,7/L78D
play,6,1,freef001,32,FBBSBB,W
play,6,1,perad001,11,B1FX,54(1)/FO/G6+.B-1
play,6,1,smitw003,01,CX,9/F9LD
play,7,1,muncm001,22,CBSBS,K
play,7,1,heywj001,10,BX,8/F89
play,7,1,outmj002,32,BCSBBX,13/G4S-
play,8,1,herne001,00,,NP
