Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,julie001,10,BX,S7/L7S
play,1,1,solad001,22,CF*B1BFFS,K
play,1,1,corrc001,12,1CBFT,K
play,1,1,kiria001,22,BBC1S.C,K
play,2,1,lewir003,10,BX,S9/L9LS.BX2(96)
play,2,1,jeffr002,12,BSFS,K
play,2,1,farmk001,12,BCFFX,D7/L78
play,2,1,gallj002,11,BFX,8/F8S
play,3,1,taylm002,02,SF.X,S8/G6+
play,3,1,julie001,32,BT1BFB.F1X,D8/L9D.1-3
play,3,1,solad001,01,CX,S9/L89S.3-H;2-3
play,3,1,corrc001,11,BFX,54(1)/FO/G5.3-H;B-1
play,3,1,kiria001,02,CCC,K
play,3,1,lewir003,12,CBF*S,K
play,4,1,jeffr002,22,CS.BBS,K
play,4,1,farmk001,12,CFBFX,4/L4D+
play,4,1,gallj002,32,BSFBFFFB*B,W
play,4,1,taylm002,11,CBX,5/L5+
play,5,1,julie001,02,CC*S,K
play,5,1,solad001,11,CBX,5/L56+
play,5,1,corrc001,21,BSBX,63/G6S
play,6,1,kiria001,01,CX,63/G4M
play,6,1,lewir003,22,CBBFX,53/G5S
play,6,1,jeffr002,01,TX,7/F78
play,7,1,farmk001,21,BBCX,HR/F7D
play,7,1,gallj002,00,,NP
