id,CHA202308210
version,2
info,visteam,SEA
info,hometeam,CHA
info,site,CHI12
info,date,2023/08/21
info,number,0
info,gametype,regular
info,starttime,7:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,lives901
info,ump1b,belld901
info,ump2b,cuzzp901
info,ump3b,rippm901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/09/08 09:03:03
info,howscored,unknown
info,pitches,pitches
info,oscorer,jackj702
info,temp,73
info,winddir,ltor
info,windspeed,4
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,165
info,attendance,15275
info,wp,castl003
info,lp,toust001
info,save,
start,crawj002,"J.P. Crawford",0,1,6
start,suare001,"Eugenio Suarez",0,2,5
start,frant002,"Ty France",0,3,3
start,ralec001,"Cal Raleigh",0,4,2
start,hernt002,"Teoscar Hernandez",0,5,9
start,canzd001,"Dominic Canzone",0,6,7
start,marlc001,"Cade Marlowe",0,7,8
start,fordm002,"Mike Ford",0,8,10
start,rojaj001,"Josh Rojas",0,9,4
start,castl003,"Luis Castillo",0,0,1
start,andre001,"Elvis Andrus",1,1,6
start,benia002,"Andrew Benintendi",1,2,7
start,robel002,"Luis Robert Jr.",1,3,8
start,jimee001,"Eloy Jimenez",1,4,10
start,moncy001,"Yoan Moncada",1,5,5
start,sheeg001,"Gavin Sheets",1,6,3
start,grany001,"Yasmani Grandal",1,7,2
start,colao001,"Oscar Colas",1,8,9
start,sosal001,"Lenyn Sosa",1,9,4
start,toust001,"Touki Toussaint",1,0,1
play,1,0,crawj002,32,BCBF.BB,W
play,1,0,suare001,30,BB*BB,W.1-2
play,1,0,frant002,11,CBX,S7/G6.2-3;1-2
play,1,0,ralec001,11,F*BB,WP.3-H(NR);2-3;1-2
play,1,0,ralec001,21,F*BB.X,D9/L9D+.3-H;2-H
play,1,0,hernt002,32,BBFBSS,K
play,1,0,canzd001,11,BSX,8/F8XD.2-3
play,1,0,marlc001,32,BCBBFB,W
play,1,0,fordm002,01,C>B,SB2.3-H(E2/TH)(NR)
play,1,0,fordm002,32,C>B.*BFBB,W
play,1,0,rojaj001,00,X,S9/L9.2-H;1-3(E9)
play,1,0,crawj002,11,*BCX,43/G34
play,1,1,andre001,22,BBCCFX,D9/G3
play,1,1,benia002,02,FTFS,K
play,1,1,robel002,22,FFFBFBFX,53/G56-
play,1,1,jimee001,10,BX,D7/L78D+.2-H
play,1,1,moncy001,22,CBCBX,8/L8
play,2,0,suare001,12,CCBX,53/G56
play,2,0,frant002,11,BCX,D7/L7LD
play,2,0,ralec001,02,CFX,5/P5DF/FL
play,2,0,hernt002,32,*SBCBBS,K
play,2,1,sheeg001,00,X,31/G34
play,2,1,grany001,31,BCBBX,13/G1
play,2,1,colao001,02,SFX,8/L78XD+
play,3,0,canzd001,02,CFX,8/F78D
play,3,0,marlc001,32,FBSBFFFB.FFX,3/G3
play,3,0,fordm002,32,CBSBBS,K
play,3,1,sosal001,12,CFBF.S,K
play,3,1,andre001,11,.BSX,23/G2-
play,3,1,benia002,02,CC.FFS,K
play,4,0,rojaj001,22,CBC.BX,3/G3
play,4,0,crawj002,12,CBFX,63/G4M
play,4,0,suare001,00,X,S8/G6M
play,4,0,frant002,20,BBX,8/F78XD
play,4,1,robel002,02,FFC,K
play,4,1,jimee001,01,FX,43/G4D
play,4,1,moncy001,00,X,9/F89XD
play,5,0,ralec001,20,BBX,HR/F9LD
play,5,0,hernt002,01,CX,HR/F7D
play,5,0,canzd001,00,,NP
sub,bankt001,"Tanner Banks",1,0,1
play,5,0,canzd001,01,.CX,31/G34
play,5,0,marlc001,00,X,9/F89S
play,5,0,fordm002,01,CX,8/F89XD+
play,5,1,sheeg001,12,BCST,K
play,5,1,grany001,32,BBBCSFT,K
play,5,1,colao001,22,CBSBS,K
play,6,0,rojaj001,21,CBBX,D7/F7LS
play,6,0,crawj002,12,FBFC,K
play,6,0,suare001,10,BX,S8/F89.2-3
play,6,0,frant002,02,CFH,HP.1-2
play,6,0,ralec001,22,FBBSS,K
play,6,0,hernt002,21,BBFX,S9/L9LD+.3-H;2-H;1-3
play,6,0,canzd001,00,X,7/F7
play,6,1,sosal001,10,BX,63/G6
play,6,1,andre001,02,FFS,K
play,6,1,benia002,12,BSFFX,D7/L7LD
play,6,1,robel002,10,BX,9/F9D
play,7,0,marlc001,00,,NP
sub,thomt002,"Trayce Thompson",1,3,8
play,7,0,marlc001,00,.,NP
sub,honeb001,"Brent Honeywell",1,0,1
play,7,0,marlc001,00,..X,8/F8D
play,7,0,fordm002,22,BCSBS,K
play,7,0,rojaj001,32,FSBBBX,3/G3
play,7,1,jimee001,00,,NP
sub,cabaj001,"Jose Caballero",0,2,4
play,7,1,jimee001,00,.,NP
sub,rojaj001,"Josh Rojas",0,9,5
play,7,1,jimee001,12,..BFC.FC,K
play,7,1,moncy001,11,CBX,S7/L7L
play,7,1,sheeg001,00,X,4/P34
play,7,1,grany001,12,BFSX,S8/L78.1-2
play,7,1,colao001,00,X,9/L9
play,8,0,crawj002,00,,NP
sub,remiz001,"Zach Remillard",1,5,5
play,8,0,crawj002,32,.FBC.BBB,W
play,8,0,cabaj001,00,H,HP.1-2
play,8,0,frant002,32,BBFSFFBX,36(1)/FO/G34.2-3;B-1
com,"$White Sox challenged (play at 1st), call on the field was upheld."
play,8,0,ralec001,12,BFFX,HR/F9LD.3-H;1-H
play,8,0,hernt002,22,BSF.BT,K
play,8,0,canzd001,00,X,HR/F89XD
play,8,0,marlc001,10,BX,S8/L78D
play,8,0,fordm002,20,BBX,7/F7S
play,8,1,sosal001,00,,NP
sub,bazae001,"Eduard Bazardo",0,0,1
play,8,1,sosal001,00,.X,8/F8XD
play,8,1,andre001,02,CFX,S9/G34
play,8,1,benia002,01,CX,S9/L89D.1-3
play,8,1,thomt002,32,BFFBB>S,K.1-2
play,8,1,jimee001,32,F*SFB*BBB,W
play,8,1,remiz001,32,BSF*BB>F>T,K
play,9,0,rojaj001,00,,NP
sub,ramsl001,"Lane Ramsey",1,0,1
play,9,0,rojaj001,02,.FCX,S8/L8XD
play,9,0,crawj002,20,BBX,31/G34+.1-2
play,9,0,cabaj001,01,CB,WP.2-3
