id,NYA202306210
version,2
info,visteam,SEA
info,hometeam,NYA
info,site,NYC21
info,date,2023/06/21
info,number,0
info,gametype,regular
info,starttime,7:05PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,cuzzp901
info,ump1b,lives901
info,ump2b,rippm901
info,ump3b,belld901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/04 09:04:43
info,howscored,unknown
info,pitches,pitches
info,oscorer,kaplh701
info,temp,69
info,winddir,fromrf
info,windspeed,14
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,146
info,attendance,41090
info,wp,britj003
info,lp,castl003
info,save,kahnt001
start,cabaj001,"Jose Caballero",0,1,6
start,rodrj007,"Julio Rodriguez",0,2,8
start,frant002,"Ty France",0,3,3
start,hernt002,"Teoscar Hernandez",0,4,9
start,kelej001,"Jarred Kelenic",0,5,7
start,suare001,"Eugenio Suarez",0,6,5
start,ralec001,"Cal Raleigh",0,7,2
start,fordm002,"Mike Ford",0,8,10
start,wongk001,"Kolten Wong",0,9,4
start,castl003,"Luis Castillo",0,0,1
start,bauej001,"Jake Bauers",1,1,9
start,torrg001,"Gleyber Torres",1,2,4
start,calhw001,"Willie Calhoun",1,3,10
start,rizza001,"Anthony Rizzo",1,4,3
start,donaj001,"Josh Donaldson",1,5,5
start,badeh001,"Harrison Bader",1,6,8
start,mckib001,"Billy McKinney",1,7,7
start,higak001,"Kyle Higashioka",1,8,2
start,volpa001,"Anthony Volpe",1,9,6
start,britj003,"Jhony Brito",1,0,1
play,1,0,cabaj001,21,BBCX,S8/L89D
play,1,0,rodrj007,10,B1X,64(1)/FO/G6.B-1
play,1,0,frant002,01,C>C,SB2
play,1,0,frant002,02,C>C.S,K
play,1,0,hernt002,22,CCBFF*BX,9/F9D
play,1,1,bauej001,12,BCCX,43/G4
play,1,1,torrg001,12,.CSFBX,9/F89
play,1,1,calhw001,32,BBBCCB,W
play,1,1,rizza001,31,BBCB.X,7/F78
play,2,0,kelej001,22,CBBFX,8/L8XD+
play,2,0,suare001,22,SBCBC,K
play,2,0,ralec001,00,X,6/P6D
play,2,1,donaj001,12,CBFX,9/L9D
play,2,1,badeh001,11,BCX,9/F9LS
play,2,1,mckib001,02,FSX,S9/L9
play,2,1,higak001,32,BBBCF>X,8/F8XD+
play,3,0,fordm002,31,BCBBX,63/G8S
play,3,0,wongk001,00,X,43/G34
play,3,0,cabaj001,02,CCX,63/G6
play,3,1,volpa001,32,BCFBFBFB,W
play,3,1,bauej001,32,BT1BSBX,HR/F9D.1-H
play,3,1,torrg001,32,BCSBBF.FFFFFC,K
play,3,1,calhw001,01,CX,S8/L78D
play,3,1,rizza001,00,X,5/P5
play,3,1,donaj001,02,SFFS,K
play,4,0,rodrj007,02,CF.X,9/F89D
play,4,0,frant002,00,X,63/G6
play,4,0,hernt002,12,.BCFS,K
play,4,1,badeh001,12,BCCX,9/F9L
play,4,1,mckib001,10,BX,HR/F9LD
play,4,1,higak001,12,BCS.FX,8/L89XD+
play,4,1,volpa001,01,CX,4/P8S
play,5,0,kelej001,20,BBX,S8/L8D+
play,5,0,suare001,12,FFBX,9/F9LS
play,5,0,ralec001,32,BBSBFX,56(1)/FO/G56.B-1
play,5,0,fordm002,32,BCBSB.>X,31/G34
play,5,1,bauej001,32,SBCBB.B,W
play,5,1,torrg001,32,BBSFBFB,W.1-2
play,5,1,calhw001,22,BFFBFS,K
play,5,1,rizza001,01,FX,9/F9L/DP.1X1(93)
play,6,0,wongk001,32,BFBBSX,9/F9LS
play,6,0,cabaj001,12,CC.BX,6/P6D
play,6,0,rodrj007,32,CBF.FBFBB,W
play,6,0,frant002,00,,NP
sub,cordj001,"Jimmy Cordero",1,0,1
play,6,0,frant002,10,.BX,643/G4M
play,6,1,donaj001,00,,NP
sub,brasm001,"Matt Brash",0,0,1
play,6,1,donaj001,32,.BBCBFX,6/P6MD
play,6,1,badeh001,21,BFBX,9/F89S
play,6,1,mckib001,31,BBBCX,43/G34
play,7,0,hernt002,02,CC.X,9/F34D
play,7,0,kelej001,22,.CBBSC,K
play,7,0,suare001,01,FX,43/G4
play,7,1,higak001,00,,NP
sub,speig001,"Gabe Speier",0,0,1
play,7,1,higak001,32,.BSCBFFBX,6/P6S
play,7,1,volpa001,00,X,HR/F78XD
play,7,1,bauej001,00,,NP
sub,kinei001,"Isiah Kiner-Falefa",1,1,11
play,7,1,kinei001,00,.X,63/G6D
play,7,1,torrg001,32,CBFBBS,K
play,8,0,ralec001,00,,NP
sub,kinei001,"Isiah Kiner-Falefa",1,1,7
play,8,0,ralec001,00,.,NP
sub,mckib001,"Billy McKinney",1,7,9
play,8,0,ralec001,00,..,NP
sub,peraw002,"Wandy Peralta",1,0,1
play,8,0,ralec001,00,...X,63/G6D
play,8,0,fordm002,00,,NP
sub,polla001,"AJ Pollock",0,8,11
play,8,0,polla001,32,.CBF.BBX,63/G6
play,8,0,wongk001,00,,NP
sub,moord002,"Dylan Moore",0,9,11
play,8,0,moord002,01,.CX,HR/F7D
play,8,0,cabaj001,00,,NP
sub,kingm002,"Michael King",1,0,1
play,8,0,cabaj001,02,.FCS,K
play,8,1,calhw001,00,.,NP
sub,moord002,"Dylan Moore",0,9,4
play,8,1,calhw001,00,..,NP
sub,sauct001,"Tayler Saucedo",0,0,1
play,8,1,calhw001,12,...FFBX,53/G6
play,8,1,rizza001,31,BFBBB,W
play,8,1,donaj001,02,CSX,54(1)/FO/G5.B-2(E4/TH)
play,8,1,badeh001,22,SBBCX,6/L6D+
play,9,0,rodrj007,32,BCS.BBB,W
play,9,0,frant002,01,CX,S6/G6.1-2
play,9,0,hernt002,02,CTX,8/F8XD+.2-3
play,9,0,kelej001,00,,NP
sub,kahnt001,"Tommy Kahnle",1,0,1
play,9,0,kelej001,02,.SC.X,8/SF/F78D.3-H
play,9,0,suare001,02,CSC,K
data,er,brasm001,0
data,er,castl003,3
data,er,sauct001,0
data,er,speig001,1
data,er,kingm002,1
data,er,britj003,0
data,er,peraw002,1
data,er,kahnt001,0
data,er,cordj001,0
