id,TEX202306020
version,2
info,visteam,SEA
info,hometeam,TEX
info,site,ARL03
info,date,2023/06/02
info,number,0
info,gametype,regular
info,starttime,7:05PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,diazl901
info,ump1b,estam901
info,ump2b,fleta901
info,ump3b,bacce901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/15 09:03:01
info,howscored,unknown
info,pitches,pitches
info,oscorer,ruizc701
info,temp,74
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,125
info,attendance,31685
info,wp,grayj003
info,lp,castl003
info,save,smitw002
start,crawj002,"J.P. Crawford",0,1,6
start,frant002,"Ty France",0,2,3
start,rodrj007,"Julio Rodriguez",0,3,8
start,kelej001,"Jarred Kelenic",0,4,7
start,suare001,"Eugenio Suarez",0,5,5
start,ralec001,"Cal Raleigh",0,6,2
start,hernt002,"Teoscar Hernandez",0,7,9
start,fordm002,"Mike Ford",0,8,10
start,cabaj001,"Jose Caballero",0,9,4
start,castl003,"Luis Castillo",0,0,1
start,semim001,"Marcus Semien",1,1,4
start,seagc001,"Corey Seager",1,2,6
start,lowen001,"Nathaniel Lowe",1,3,3
start,garca005,"Adolis Garcia",1,4,9
start,jungj001,"Josh Jung",1,5,5
start,grosr001,"Robbie Grossman",1,6,10
start,jankt001,"Travis Jankowski",1,7,7
start,tavel001,"Leody Taveras",1,8,8
start,leons001,"Sandy Leon",1,9,2
start,grayj003,"Jon Gray",1,0,1
play,1,0,crawj002,31,BFBBX,7/F78D
play,1,0,frant002,00,X,4/F8S
play,1,0,rodrj007,01,FX,13/G4MS
play,1,1,semim001,11,.BCX,63/G6
play,1,1,seagc001,12,BSSX,31/G3
play,1,1,lowen001,31,BFBBB,W
play,1,1,garca005,10,BX,5/P56
play,2,0,kelej001,01,CX,43/G34
play,2,0,suare001,22,CBSBX,3/P34S
play,2,0,ralec001,22,CFB.BX,5/P5F/FL
play,2,1,jungj001,00,X,43/G6M
play,2,1,grosr001,32,CBCBBS,K
play,2,1,jankt001,00,X,6/L6M
play,3,0,hernt002,02,CFX,S9/F9LS.BX2(96)
play,3,0,fordm002,32,BBFBSF.S,K
play,3,0,cabaj001,01,CH,HP
play,3,0,crawj002,10,B1,PO1(13)
play,3,1,tavel001,22,CBBTX,9/L89
play,3,1,leons001,22,SCFBBS,K
play,3,1,semim001,32,BBBCFC,K
play,4,0,crawj002,02,CS.S,K
play,4,0,frant002,12,CSFFB.S,K
play,4,0,rodrj007,00,X,S9/L9D
play,4,0,kelej001,22,BSS*B>B,SB2
play,4,0,kelej001,32,BSS*B>B.B,W
play,4,0,suare001,02,FFX,8/F8D
play,4,1,seagc001,02,SFS,K
play,4,1,lowen001,22,CF.BBX,43/G4
play,4,1,garca005,00,X,43/G4
play,5,0,ralec001,02,FF.X,6/F56D
play,5,0,hernt002,00,X,7/L78D
play,5,0,fordm002,01,CX,8/F89D
play,5,1,jungj001,02,FF.C,K
play,5,1,grosr001,01,SX,S9/L9D
play,5,1,jankt001,01,CX,S9/L89.1-2
play,5,1,tavel001,12,SBS.FFB,WP.2-3;1-2
play,5,1,tavel001,32,SBS.FFB.BX,6/P6
play,5,1,leons001,02,CFX,7/F78S
play,6,0,cabaj001,22,FFFFBBX,3/P3D
play,6,0,crawj002,10,BX,8/F8
play,6,0,frant002,10,BX,63/G6
play,6,1,semim001,32,CBBBFX,S8/L89D+
play,6,1,seagc001,10,BX,S8/L78D.1-3
play,6,1,lowen001,31,BBCBX,7/SF/F78.3-H;1-2
play,6,1,garca005,32,BSBFB.FX,S5/G6S.2-2
play,6,1,jungj001,00,X,4/L4M/DP.2X2(4)
play,7,0,rodrj007,12,BFFS,K
play,7,0,kelej001,22,CFBBX,63/G6MD
play,7,0,suare001,12,SBFS,K
play,7,1,grosr001,12,CSBS,K
play,7,1,jankt001,31,BCBBX,43/G34D
play,7,1,tavel001,11,CBX,7/F7D
play,8,0,ralec001,00,,NP
sub,heimj001,"Jonah Heim",1,9,2
play,8,0,ralec001,00,.,NP
sub,andeg002,"Grant Anderson",1,0,1
play,8,0,ralec001,12,..SBF.X,4/P4
play,8,0,hernt002,12,BCF.C,K
play,8,0,fordm002,21,FBBX,S9/L89D+
play,8,0,cabaj001,00,,NP
sub,haggs001,"Sam Haggerty",0,8,12
play,8,0,cabaj001,01,.CX,2/P2F-/FL
play,8,1,heimj001,00,.,NP
sub,brasm001,"Matt Brash",0,0,1
play,8,1,heimj001,22,..CBBFX,S9/F89
play,8,1,semim001,31,BBBCX,8/L8XD+
play,8,1,seagc001,20,*BBS,PB.1-2
play,8,1,seagc001,22,*BBS.FX,D7/L7LS.2-H(UR)
play,8,1,lowen001,00,,NP
sub,speig001,"Gabe Speier",0,0,1
play,8,1,lowen001,12,.BCFS,K
play,8,1,garca005,22,FF*B*BX,43/G4MD
play,9,0,crawj002,00,,NP
sub,smitw002,"Will Smith",1,0,1
play,9,0,crawj002,00,.X,63/G6
play,9,0,frant002,10,BX,6/P6S
play,9,0,rodrj007,02,CFF.S,K
data,er,brasm001,0
data,er,castl003,1
data,er,speig001,0
data,er,andeg002,0
data,er,grayj003,0
data,er,smitw002,0
