Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,hoern001,02,FF.FX,63/G6+
play,1,1,swand001,02,FFT,K
play,1,1,happi001,10,BX,5/P5F/FL
play,2,1,bellc002,12,SCBS,K
play,2,1,manct001,00,X,63/G6
play,2,1,hosme001,02,CF.FX,S8/L8D
play,2,1,wisdp001,31,BBBFX,7/F7D
play,3,1,gomey001,02,CSS,K
play,3,1,mastm001,12,BCF.X,31/G34
play,3,1,hoern001,20,BBX,S8/L8S+
play,3,1,swand001,31,BB1CBX,9/F9D+
play,4,1,happi001,32,CBCBFBB,W
play,4,1,bellc002,01,S1>B,SB2.1-3(E2/TH)
play,4,1,bellc002,12,S1>B.TFFFX,D9/G3+.3-H
play,4,1,manct001,00,X,S9/L89S.2-3
play,4,1,hosme001,01,SX,S7/L7D.3-H;1-2
play,4,1,wisdp001,32,SBC*BBS,K
play,4,1,gomey001,00,X,4/L4M+/DP.2X2(4)
play,5,1,mastm001,22,BBCFX,8/F78XD
play,5,1,hoern001,22,CBBCX,S9/G34
play,5,1,swand001,00,>C,SB2
play,5,1,swand001,12,>C.CBS,K
play,5,1,happi001,11,CBX,7/L7L
play,6,1,bellc002,00,X,31/G3
play,6,1,manct001,21,CBBX,63/G6
play,6,1,hosme001,32,CBBCFBB,W
play,6,1,wisdp001,10,BX,8/F89D
play,7,1,gomey001,00,,NP
play,7,1,gomey001,00,.,NP
play,7,1,gomey001,00,..,NP
play,7,1,gomey001,00,...,NP
