Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,bauej001,12,BCCX,43/G4
play,1,1,torrg001,12,.CSFBX,9/F89
play,1,1,calhw001,32,BBBCCB,W
play,1,1,rizza001,31,BBCB.X,7/F78
play,2,1,donaj001,12,CBFX,9/L9D
play,2,1,badeh001,11,BCX,9/F9LS
play,2,1,mckib001,02,FSX,S9/L9
play,2,1,higak001,32,BBBCF>X,8/F8XD+
play,3,1,volpa001,32,BCFBFBFB,W
play,3,1,bauej001,32,BT1BSBX,HR/F9D.1-H
play,3,1,torrg001,32,BCSBBF.FFFFFC,K
play,3,1,calhw001,01,CX,S8/L78D
play,3,1,rizza001,00,X,5/P5
play,3,1,donaj001,02,SFFS,K
play,4,1,badeh001,12,BCCX,9/F9L
play,4,1,mckib001,10,BX,HR/F9LD
play,4,1,higak001,12,BCS.FX,8/L89XD+
play,4,1,volpa001,01,CX,4/P8S
play,5,1,bauej001,32,SBCBB.B,W
play,5,1,torrg001,32,BBSFBFB,W.1-2
play,5,1,calhw001,22,BFFBFS,K
play,5,1,rizza001,01,FX,9/F9L/DP.1X1(93)
play,6,1,donaj001,00,,NP
