Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,sprig001,12,SBFFX,2/P2F/FL
play,1,1,bichb001,00,X,8/F8S
play,1,1,guerv002,20,BBX,53/G56S
play,2,1,chapm001,32,FSBBFBX,3/P3DF/FL
play,2,1,varsd001,32,BFFBFBFFT,K
play,2,1,kirka001,20,BBX,HR/L78XD
play,2,1,beltb001,32,BBLBCFB,W
play,2,1,merrw001,31,BBFBX,D7/F7LD+.1-3
play,2,1,kierk001,20,BBX,63/G6D
play,3,1,sprig001,11,BSX,63/G6
play,3,1,bichb001,21,CBBX,31/G34
play,3,1,guerv002,31,BFBBB,W
play,3,1,chapm001,10,BX,D8/L8XD+.1-H
play,3,1,varsd001,02,SFX,3/G3+
play,4,1,kirka001,12,CBFX,S8/G6M
play,4,1,beltb001,12,SBCS,K
play,4,1,merrw001,00,X,S7/L7D+.1-2
play,4,1,kierk001,02,C*SS,K
play,4,1,sprig001,32,SBSB*B>F>X,3/P3F/FL
play,5,1,bichb001,00,X,9/L9D+
play,5,1,guerv002,32,CBBFFFBFFC,K
play,5,1,chapm001,00,X,S8/G6M+
play,5,1,varsd001,12,BFFX,2/P1S
play,6,1,kirka001,00,,NP
