id,BOS202305160
version,2
info,visteam,SEA
info,hometeam,BOS
info,site,BOS07
info,date,2023/05/16
info,number,0
info,gametype,regular
info,starttime,7:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,diazl901
info,ump1b,estam901
info,ump2b,fleta901
info,ump3b,bacce901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/05/20 17:39:36
info,howscored,unknown
info,pitches,pitches
info,oscorer,foxxl701
info,temp,77
info,winddir,torf
info,windspeed,7
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,160
info,attendance,31476
info,wp,piven001
info,lp,castl003
info,save,
start,crawj002,"J.P. Crawford",0,1,6
start,frant002,"Ty France",0,2,3
start,rodrj007,"Julio Rodriguez",0,3,8
start,kelej001,"Jarred Kelenic",0,4,7
start,suare001,"Eugenio Suarez",0,5,5
start,ralec001,"Cal Raleigh",0,6,2
start,hernt002,"Teoscar Hernandez",0,7,9
start,tramt001,"Taylor Trammell",0,8,10
start,wongk001,"Kolten Wong",0,9,4
start,castl003,"Luis Castillo",0,0,1
start,verda001,"Alex Verdugo",1,1,9
start,yoshm002,"Masataka Yoshida",1,2,7
start,turnj001,"Justin Turner",1,3,10
start,dever001,"Rafael Devers",1,4,5
start,duraj001,"Jarren Duran",1,5,8
start,casat001,"Triston Casas",1,6,3
start,valde002,"Enmanuel Valdez",1,7,4
start,mcgur002,"Reese McGuire",1,8,2
start,reyep001,"Pablo Reyes",1,9,6
start,piven001,"Nick Pivetta",1,0,1
play,1,0,crawj002,22,CBFBC,K
play,1,0,frant002,00,X,3/L34
play,1,0,rodrj007,22,BCCBFS,K
play,1,1,verda001,02,CCFFX,E4/G4.B-1
play,1,1,yoshm002,01,CX,T8/L8XD+.1-H(UR)
play,1,1,turnj001,01,CX,HR/F78XD.3-H
play,1,1,dever001,00,X,3/G3
play,1,1,duraj001,02,CFS,K
play,1,1,casat001,00,X,HR/F9LD.B-H(UR)
play,1,1,valde002,31,BFBBB,W
play,1,1,mcgur002,12,BFFS,K
play,2,0,kelej001,22,BCBC.X,3/L34
play,2,0,suare001,31,SBBBB,W
play,2,0,ralec001,11,CBX,S9/L9.1-2
play,2,0,hernt002,31,BFBBX,23/G2-.2-3;1-2
play,2,0,tramt001,02,SS.FC,K
play,2,1,reyep001,02,FCC,K
play,2,1,verda001,10,BX,9/L9LD
play,2,1,yoshm002,21,BBFX,43/G4
play,3,0,wongk001,11,CBX,63/G6M
play,3,0,crawj002,30,BBBB,W
play,3,0,frant002,22,CFBFFBX,4(1)3/GDP/G4M
play,3,1,turnj001,32,BCFBBFX,63/G6
play,3,1,dever001,12,BFS.*S,K
play,3,1,duraj001,32,CBBF.BFFFS,K
play,4,0,rodrj007,12,CFBX,8/F8XD+
play,4,0,kelej001,12,BCFS,K
play,4,0,suare001,01,CX,S7/L7+
play,4,0,ralec001,31,BBFBB,W.1-2
play,4,0,hernt002,22,B2BCSX,T89/L89XD.2-H;1-H
play,4,0,tramt001,01,S.X,HR/F9LD.3-H
play,4,0,wongk001,10,BX,D8/L8XD
play,4,0,crawj002,11,BCX,9/F89XD
play,4,1,casat001,32,CBBF.BB,W
play,4,1,valde002,00,X,5/P5SF/FL
play,4,1,mcgur002,00,X,3/G3.1-2
play,4,1,reyep001,00,X,63/G6
play,5,0,frant002,01,FX,D7/L7L
play,5,0,rodrj007,11,FBX,53/G56.2-3
play,5,0,kelej001,32,BSBBSFS,K
play,5,0,suare001,31,BCBBB,W
play,5,0,ralec001,12,BCSS,K
play,5,1,verda001,32,BBBFCX,D7/F7L
play,5,1,yoshm002,31,BBBCX,DGR/F9LD+.2-H
play,5,1,turnj001,22,BFBFX,9/F9D.2-3
play,5,1,dever001,12,BFFB,WP.3-H(NR)
play,5,1,dever001,22,BFFB.FFS,K
play,5,1,duraj001,00,X,HR/F89XD
play,5,1,casat001,32,BFBS.BX,9/F89XD+
play,6,0,hernt002,01,FX,8/F8XD+
play,6,0,tramt001,00,,NP
sub,sherr001,"Ryan Sherriff",1,0,1
play,6,0,tramt001,00,.,NP
sub,polla001,"AJ Pollock",0,8,11
play,6,0,polla001,22,..CBFFFBF.S,K
play,6,0,wongk001,00,X,13/BG34S-
play,6,1,valde002,00,.,NP
