id,OAK202309190
version,2
info,visteam,SEA
info,hometeam,OAK
info,site,OAK01
info,date,2023/09/19
info,number,0
info,gametype,regular
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,kulpr901
info,ump1b,viscj901
info,ump2b,riggj901
info,ump3b,torrc901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/10/03 09:09:17
info,howscored,unknown
info,pitches,pitches
info,oscorer,younj701
info,temp,66
info,winddir,torf
info,windspeed,11
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,172
info,attendance,6294
info,wp,castl003
info,lp,blacp001
info,save,
start,crawj002,"J.P. Crawford",0,1,6
start,rodrj007,"Julio Rodriguez",0,2,8
start,ralec001,"Cal Raleigh",0,3,2
start,hernt002,"Teoscar Hernandez",0,4,9
start,suare001,"Eugenio Suarez",0,5,5
start,kelej001,"Jarred Kelenic",0,6,7
start,frant002,"Ty France",0,7,3
start,fordm002,"Mike Ford",0,8,10
start,rojaj001,"Josh Rojas",0,9,4
start,castl003,"Luis Castillo",0,0,1
start,kempt001,"Tony Kemp",1,1,7
start,geloz001,"Zack Gelof",1,2,4
start,nodar001,"Ryan Noda",1,3,3
start,brows003,"Seth Brown",1,4,9
start,diaza003,"Aledmys Diaz",1,5,5
start,langs001,"Shea Langeliers",1,6,2
start,sodet001,"Tyler Soderstrom",1,7,10
start,allen002,"Nick Allen",1,8,6
start,ruize001,"Esteury Ruiz",1,9,8
start,blacp001,"Paul Blackburn",1,0,1
play,1,0,crawj002,10,BX,8/F8D
play,1,0,rodrj007,11,BFX,53/G56
play,1,0,ralec001,02,FFS,K
play,1,1,kempt001,01,CX,9/L9D
play,1,1,geloz001,10,BX,S6/G6
play,1,1,nodar001,12,SFB>X,43/G34.1-2
play,1,1,brows003,32,FCBFBBB,W
play,1,1,diaza003,12,BCS.X,54(1)/FO/G56.B-1
play,2,0,hernt002,22,BBCFFX,13/G1S
play,2,0,suare001,22,BCCBFFX,D7/L7LD+
play,2,0,kelej001,00,X,S7/F78.2-H
play,2,0,frant002,01,CX,S6/G56.1-2
play,2,0,fordm002,22,BS*BCX,6/P78S
play,2,0,rojaj001,32,*BSB.BS>X,9/F9D
play,2,1,langs001,02,FF.S,K
play,2,1,sodet001,12,FFBX,43/G4D
play,2,1,allen002,12,SBSX,43/G4M
play,3,0,crawj002,21,BBCX,43/G13
play,3,0,rodrj007,32,SBS.BBFX,7/F7D
play,3,0,ralec001,12,SS.BC,K
play,3,1,ruize001,00,X,S4/F8S
play,3,1,kempt001,00,1>C,CS2(26)
play,3,1,kempt001,12,1>C.BF.X,S7/L7
play,3,1,geloz001,32,BBFF*B>F>S,K+CS2(24)/DP
play,4,0,hernt002,32,BFF.BBFB,W
play,4,0,suare001,22,BCFB>B,SB2
play,4,0,suare001,32,BCFB>B.FS,K
play,4,0,kelej001,22,B.CC*BFX,S7/L7.2-H;B-2
play,4,0,frant002,12,BSTFX,13/G13.2-3
play,4,0,fordm002,32,SBFBB.C,K
play,4,1,nodar001,32,BCBBF.B,W
play,4,1,brows003,01,FX,7/F7LSF/FL.1-2
play,4,1,diaza003,22,BFBS+2FS,K
play,4,1,langs001,32,CBF*B*BB,W
play,4,1,sodet001,12,CFFBS,K
play,5,0,rojaj001,21,CBBX,53/G56
play,5,0,crawj002,00,X,8/L8D
com,"ej,kotsm001,M,viscj901,Check swing"
com,"$Athletics manager Mark Kotsay ejected by 1B umpire Jansen Visconti"
com,"for arguing check swing ruling"
play,5,0,rodrj007,12,FB.FFF.FX,63/G6M
com,"$Athletics challenged (play at 1st), call on the field was overturned."
play,5,1,allen002,02,FSS,K
play,5,1,ruize001,12,BCFX,63/G56
play,5,1,kempt001,12,BFF.S,K
play,6,0,ralec001,00,,NP
sub,ercel001,"Lucas Erceg",1,0,1
play,6,0,ralec001,32,.CBC.FBBS,K
play,6,0,hernt002,01,CX,S7/G56
play,6,0,suare001,22,BSS.BS,K
play,6,0,kelej001,12,BSS1X,8/L8D
play,6,1,geloz001,00,X,8/F8D
play,6,1,nodar001,32,BBBCFS,K
play,6,1,brows003,01,SX,8/F8
play,7,0,frant002,22,CSBFBS,K
play,7,0,fordm002,00,,NP
sub,lucae002,"Easton Lucas",1,0,1
play,7,0,fordm002,00,.,NP
sub,haggs001,"Sam Haggerty",0,8,11
play,7,0,haggs001,00,..X,S6/G56
play,7,0,rojaj001,00,,NP
sub,moord002,"Dylan Moore",0,9,11
play,7,0,moord002,02,.SF1>B,SB2.1-3(E2/TH)
play,7,0,moord002,12,.SF1>B.X,FC/G56.3XH(525);B-1
play,7,0,crawj002,10,BX,D9/L89XD.1-H
play,7,0,rodrj007,30,VVVV,IW
play,7,0,ralec001,00,X,S7/L7.2-H;1-2
play,7,0,hernt002,32,SF.B*BB>X,D7/G6.2-H;1-3
play,7,0,suare001,12,CBSFFB,WP.3-H(NR);2-3
play,7,0,suare001,22,CBSFFB.S,K
play,7,1,diaza003,00,.,NP
sub,moord002,"Dylan Moore",0,9,4
play,7,1,diaza003,22,..BCBFX,D7/L7LD
play,7,1,langs001,01,SX,T8/F89XD+.2-H
play,7,1,sodet001,00,X,8/SF/F8XD.3-H
play,7,1,allen002,00,X,43/G4MD
play,7,1,ruize001,02,SFS,K
play,8,0,kelej001,00,,NP
sub,sweed002,"Devin Sweet",1,0,1
play,8,0,kelej001,20,.BBX,31/G3
play,8,0,frant002,31,BFBBB,W
play,8,0,haggs001,11,FBX,53/G56S.1-2
play,8,0,moord002,20,B*BX,63/G6
play,8,1,kempt001,00,,NP
