id,BAL202307280
version,2
info,visteam,NYA
info,hometeam,BAL
info,site,BAL12
info,date,2023/07/28
info,number,0
info,gametype,regular
info,starttime,7:05PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,lives901
info,ump1b,belld901
info,ump2b,cuzzp901
info,ump3b,rippm901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/30 11:47:28
info,howscored,unknown
info,pitches,pitches
info,oscorer,hetrd701
info,temp,84
info,winddir,unknown
info,windspeed,5
info,fieldcond,unknown
info,precip,none
info,sky,overcast
info,timeofgame,155
info,attendance,34558
info,wp,bautf001
info,lp,kahnt001
info,save,
start,torrg001,"Gleyber Torres",0,1,4
start,judga001,"Aaron Judge",0,2,10
start,rizza001,"Anthony Rizzo",0,3,3
start,stanm004,"Giancarlo Stanton",0,4,9
start,lemad001,"DJ LeMahieu",0,5,5
start,mckib001,"Billy McKinney",0,6,7
start,badeh001,"Harrison Bader",0,7,8
start,volpa001,"Anthony Volpe",0,8,6
start,rortb001,"Ben Rortvedt",0,9,2
start,coleg001,"Gerrit Cole",0,0,1
start,hendg002,"Gunnar Henderson",1,1,6
start,rutsa001,"Adley Rutschman",1,2,2
start,santa003,"Anthony Santander",1,3,9
start,ohear001,"Ryan O'Hearn",1,4,3
start,mounr001,"Ryan Mountcastle",1,5,10
start,fraza001,"Adam Frazier",1,6,4
start,haysa001,"Austin Hays",1,7,7
start,cowsc001,"Colton Cowser",1,8,8
start,uriar001,"Ramon Urias",1,9,5
start,rodrg003,"Grayson Rodriguez",1,0,1
play,1,0,torrg001,11,SBX,4/P4D
play,1,0,judga001,00,X,9/L89D+
play,1,0,rizza001,02,CFFS,K
play,1,1,hendg002,00,X,9/L89+
play,1,1,rutsa001,22,BCBFX,4/L4D
play,1,1,santa003,12,CSFBFX,7/F78S
play,2,0,stanm004,12,CFFBX,8/L89
play,2,0,lemad001,12,CCBS,K
play,2,0,mckib001,02,FCX,3/G3
play,2,1,ohear001,22,CBFBX,163/G4MS
play,2,1,mounr001,02,CCX,S8/L8D+
play,2,1,fraza001,12,CB*SS,K
play,2,1,haysa001,32,BFBFFB>F>F>F.>X,43/G4M
play,3,0,badeh001,00,X,9/F9
play,3,0,volpa001,12,CFBFX,7/F78XD
play,3,0,rortb001,01,CX,43/G34D
play,3,1,cowsc001,22,BFSBF.C,K
play,3,1,uriar001,31,BBBCX,63/G6
play,3,1,hendg002,32,BBCFBX,43/G4D
play,4,0,torrg001,12,CCBX,8/F8D
play,4,0,judga001,32,SSBBBB,W
play,4,0,rizza001,00,X,S7/L78.1-2
play,4,0,stanm004,12,FBSX,54(1)3/GDP/G56
play,4,1,rutsa001,22,CF.BBX,S9/L9L+
play,4,1,santa003,21,BSBX,9/F9D+
play,4,1,ohear001,02,CC.X,36(1)/FO/G3S.B-1
play,4,1,mounr001,00,X,64(1)/FO/G6.B-1
play,5,0,lemad001,02,CFFX,S8/G4M
play,5,0,mckib001,21,BSBX,36(1)/FO/G34.B-1
play,5,0,badeh001,01,CX,3/P34S-
play,5,0,volpa001,12,C1BFFFX,53/G5
play,5,1,fraza001,11,CBX,9/F9D
play,5,1,haysa001,22,FBFBF.C,K
play,5,1,cowsc001,22,BBSCS,K
play,6,0,rortb001,02,CFFS,K
play,6,0,torrg001,32,FBF.BBFX,9/L9D
play,6,0,judga001,32,CBBBCFB,W
play,6,0,rizza001,32,BSS.FFFFBFB>X,53/G56
play,6,1,uriar001,12,BCFX,S9/L89D+
play,6,1,hendg002,12,CF*BX,8/F8D
play,6,1,rutsa001,32,BBCBC>F.>X,43/G3.1-2
play,6,1,santa003,01,CX,43/G3
play,7,0,stanm004,32,BBCSBS,K
play,7,0,lemad001,11,BFX,S9/G3
play,7,0,mckib001,00,,NP
sub,fujis001,"Shintaro Fujinami",1,0,1
play,7,0,mckib001,32,.BFCBBB,W.1-2
play,7,0,badeh001,10,BX,6(1)3/GDP/G6MD
play,7,1,ohear001,12,SBSFFS,K
play,7,1,mounr001,21,CBBX,43/G4D
play,7,1,fraza001,22,CSBBX,3/G3
play,8,0,volpa001,00,,NP
sub,canoy001,"Yennier Cano",1,0,1
play,8,0,volpa001,11,.CBX,9/L9LD+
play,8,0,rortb001,00,,NP
sub,bauej001,"Jake Bauers",0,9,11
play,8,0,bauej001,20,.BBX,S8/L8S
play,8,0,torrg001,01,FX,54(1)/FO/G56.B-1
play,8,0,judga001,31,FB*BBB,W.1-2
play,8,0,rizza001,00,,NP
sub,could001,"Danny Coulombe",1,0,1
play,8,0,rizza001,11,.CBX,43/G34
play,8,1,haysa001,00,,NP
sub,kingm002,"Michael King",0,0,1
play,8,1,haysa001,00,.,NP
sub,higak001,"Kyle Higashioka",0,9,2
play,8,1,haysa001,32,..CSBBBB,W
play,8,1,cowsc001,12,F*B>FS,K
play,8,1,uriar001,02,CFS,K
play,8,1,hendg002,00,,NP
sub,peraw002,"Wandy Peralta",0,0,1
play,8,1,hendg002,00,.X,6(1)/FO/G6.B-1
play,9,0,stanm004,00,,NP
sub,bautf001,"Felix Bautista",1,0,1
play,9,0,stanm004,22,.CSBBS,K
play,9,0,lemad001,01,CX,9/F9LD
play,9,0,mckib001,12,BSF.S,K
play,9,1,rutsa001,00,,NP
sub,kahnt001,"Tommy Kahnle",0,0,1
