Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,kwans001,02,CCX,S8/L8
play,1,1,gimea001,10,BX,S4/G4.1-3
play,1,1,ramij003,01,CX,D9/L9LD.3-H;1-3
play,1,1,naylj001,21,*BBFX,9/SF/F9D.3-H;2-3
play,1,1,bellj005,12,CS*BC,K
play,1,1,brenw002,12,CBFX,43/G4
play,2,1,gonzo001,12,BFSFX,9/L89
play,2,1,zunim001,32,CF.BBBB,W
play,2,1,ariag002,22,BBFCS,K
play,2,1,kwans001,01,CX,36(1)/FO/G34.B-1
play,3,1,gimea001,21,CBBX,3/G3S
play,3,1,ramij003,01,CX,53/G25
play,3,1,naylj001,00,X,43/G4D
play,4,1,bellj005,22,CBBFFX,31/G3
play,4,1,brenw002,00,X,D9/L9LD
play,4,1,gonzo001,32,BFBBFX,63/G6D.2-3
play,4,1,zunim001,22,SBSFBFS,K
play,5,1,ariag002,00,X,8/L8D
play,5,1,kwans001,32,CBCBFFBFX,8/F8XD
play,5,1,gimea001,12,CFBX,8/L78XD
play,6,1,ramij003,22,BBCFX,S8/L89
play,6,1,naylj001,11,FBX,6(1)3/GDP/G6M
play,6,1,bellj005,11,CBX,8/F8
play,7,1,brenw002,01,FX,5/P5
play,7,1,gonzo001,31,BBBCB,W
play,7,1,vilom001,00,X,54(1)3/GDP/G56
play,8,1,ariag002,00,,NP
play,8,1,ariag002,00,.,NP
