Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,badda001,01,CX,31/G3
play,1,1,greer003,32,BBFCBFFX,7/F7D
play,1,1,torks001,22,CBSFBC,K
play,2,1,carpk001,02,CFS,K
play,2,1,mckiz001,32,BFFBBFX,8/F78
play,2,1,vierm001,10,BX,S16/L4
play,2,1,meadp001,12,C1FB>X,9/F9
play,3,1,ibana001,12,F.BSX,53/G56
play,3,1,rogej004,01,CX,HR/F89XD
play,3,1,badda001,22,CFBBS,K
play,3,1,greer003,32,CBBBFB,W
play,3,1,torks001,32,BBF*BF>S,K
play,4,1,carpk001,22,CBBSX,S46/G34
play,4,1,mckiz001,01,CX,46(1)3/GDP/G4
play,4,1,vierm001,11,CBX,63/G6
play,5,1,meadp001,11,BFX,6/P6MD
play,5,1,ibana001,31,BFBBB,W
play,5,1,rogej004,12,C*BFS,K
play,5,1,badda001,00,X,7/F78S
play,6,1,greer003,21,BCBX,63/G6
play,6,1,torks001,10,BX,HR/F7LD
play,6,1,carpk001,12,BFFS,K
play,6,1,mckiz001,12,FCB*S,K.BX1(23)
play,7,1,vierm001,00,,NP
