Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,0,wadel001,30,BBBB,W
play,1,0,confm001,12,FBFFC,K
play,1,0,florw001,22,CBBFC,K
play,1,0,pedej001,32,CB+1BSF1B.>S,K
play,2,0,yastm001,22,FBFBS,K
play,2,0,estrt001,01,CX,S8/L8
play,2,0,crawb001,22,S1SB>FBS,K
play,2,0,sabob001,11,SB>S,SB2
play,2,0,sabob001,22,SB>S.*BS,K
play,3,0,perer003,22,FBF.BC,K
play,3,0,wadel001,22,FLBBX,43/G4D
play,3,0,confm001,22,CBB.FC,K
play,4,0,florw001,31,FBBBB,W
play,4,0,pedej001,22,SFBBS,K
play,4,0,yastm001,32,BBSSBS,K
play,4,0,estrt001,00,X,63/G6
play,5,0,crawb001,12,CBS.X,7/F78D
play,5,0,sabob001,10,BX,31/G34
play,5,0,perer003,11,CBX,S8/L89D+
play,5,0,wadel001,22,CBF*BX,3/G3S
play,6,0,confm001,00,X,S7/L78
play,6,0,florw001,32,*BCBBFX,64(1)3/GDP/G6
play,6,0,pedej001,02,SFS,K
play,7,0,yastm001,00,,NP
play,1,0,turnt001,22,FBBFFC,K
play,1,0,schwk001,32,CBBFBFX,6/P4M
play,1,0,realj001,02,CFFC,K
play,2,0,halld003,11,CBX,5/P6S
play,2,0,castn001,22,BCSBC,K
play,2,0,stotb001,22,BTFFFFBFX,DGR/L7LD
play,2,0,bohma001,12,SSBX,43/G4
play,3,0,cavej001,00,,NP
play,3,0,cavej001,32,.CBBBSFS,K
play,3,0,pachc001,00,X,53/G56
play,3,0,turnt001,02,SFX,S5/G6S
play,3,0,schwk001,00,1,PO1(13)
play,4,0,schwk001,00,X,8/L78XD
play,4,0,realj001,20,BBX,63/G6
play,4,0,halld003,00,X,S9/L9LS+.BX2(96)
play,5,0,castn001,02,CFC,K
play,5,0,stotb001,11,BCX,6/P6MD
play,5,0,bohma001,32,BCBFBFFB,W
play,5,0,cavej001,32,C.BBBS>F>B,W.1-2
play,5,0,pachc001,10,BX,2/P2F/FL
play,6,0,turnt001,32,BFSBFFBS,K
play,6,0,schwk001,01,SX,9/L9D
play,6,0,realj001,02,CFS,K
play,7,0,sosae001,32,CSBBBFS,K
play,7,0,castn001,32,SBBSFBV,W
play,7,0,stotb001,00,,NP
play,1,0,julie001,22,BBSFS,K
play,1,0,corrc001,32,CCFBFFBBF.X,43/G4D
play,1,0,buxtb001,12,BFS.S,K
play,2,0,larnt001,30,BBBB,W
play,2,0,miraj002,01,CX,54(1)3/GDP/G56
play,2,0,solad001,01,SX,8/F89D
play,3,0,keplm001,12,.BFFC,K
play,3,0,vazqc001,32,BCCBB.T,K
play,3,0,taylm002,32,SBC.BBX,8/F8XD+
play,4,0,julie001,02,CFS,K
play,4,0,corrc001,02,FFS,K
play,4,0,buxtb001,12,FCB*S,K
play,5,0,larnt001,22,BCFBC,K
play,5,0,miraj002,00,X,53/G5
play,5,0,solad001,22,BCFFBFX,S7/L7
play,5,0,keplm001,11,CBX,13/G13
play,6,0,vazqc001,02,TSX,43/G4D
play,6,0,taylm002,22,CC.BBFX,S7/L8
play,6,0,julie001,00,X,13/SH/BG2.1-2
play,6,0,corrc001,31,BBBCX,53/G56
play,7,0,buxtb001,12,BSS.C,K
play,7,0,larnt001,10,BX,9/F9D+
play,7,0,miraj002,11,BSX,63/G6
play,8,0,solad001,02,CFS,K
play,8,0,keplm001,00,X,3/G3
play,8,0,vazqc001,00,X,63/G6M
play,9,0,taylm002,32,SC.BBBX,4/P4D
play,9,0,julie001,21,SBBX,7/F7
play,9,0,corrc001,00,X,9/F89XD
play,1,0,sprig001,11,BFX,S7/G6
play,1,0,bichb001,00,X,9/F9L
play,1,0,guerv002,00,X,D7/L7L.1-3
play,1,0,chapm001,32,*BBBCCC,K
play,1,0,varsd001,02,CCS,K
play,2,0,kirka001,01,CX,D9/G3
play,2,0,beltb001,22,CBCBS,K
play,2,0,merrw001,22,CSFFBBFX,9/F9
play,2,0,espis001,02,CFH,HP
play,2,0,sprig001,00,,NP
play,2,0,sprig001,10,.BX,63/G6
play,3,0,bichb001,32,FCBBBX,3/G3
play,3,0,guerv002,10,BX,8/F8XD+
play,3,0,chapm001,11,CBX,9/F89S
play,4,0,varsd001,02,CSX,8/L8XD
play,4,0,kirka001,02,CF.X,9/F9D
play,4,0,beltb001,22,BBCCC,K
play,5,0,merrw001,01,CX,8/F8D
play,5,0,biggc002,11,CBX,8/F89
play,5,0,sprig001,32,BFBCBB,W
play,5,0,bichb001,22,F1BC*BF1F>B,CS2(26)
play,6,0,bichb001,12,FSBX,63/G6
play,6,0,guerv002,31,BBBCB,W
play,6,0,chapm001,32,FB+1SBFB>F>X,6/P78S
play,6,0,varsd001,12,FFF*BX,S9/G34.1-3
play,6,0,kirka001,00,,NP
play,1,0,kwans001,32,CBFBBB,W
play,1,0,rosaa003,02,F>FX,4/P3D
play,1,0,ramij003,10,1B>C,SB2
play,1,0,ramij003,11,1B>C.X,9/F89S
play,1,0,naylj001,12,BFST,K
play,2,0,bellj005,30,BBBB,W
play,2,0,gimea001,21,BBCH,HP.1-2
play,2,0,zunim001,22,BBCFC,K
play,2,0,brenw002,02,FSC,K
play,2,0,stram002,22,CFFBBC,K
play,3,0,kwans001,12,CFBFX,43/G34
play,3,0,rosaa003,10,BX,S8/L89D+
play,3,0,ramij003,12,BCS.X,S8/L89.1-2
play,3,0,naylj001,32,BBCC*B.X,D9/G3.2-H;1-3
play,3,0,bellj005,32,T*BC*BFBFFB,W
play,3,0,gimea001,00,X,3/G3-.3-H;2-3;1-2
play,3,0,zunim001,12,CSBC,K
play,4,0,brenw002,01,CX,43/G34
play,4,0,stram002,02,CCX,13/G4MS
play,4,0,kwans001,12,CFFBX,63/G6M
play,5,0,rosaa003,12,CFBT,K
play,5,0,ramij003,00,X,S7/F78S
play,5,0,naylj001,22,>FCBB1>X,8/F8
play,5,0,bellj005,22,1BFSB>X,8/F8
play,6,0,gimea001,22,CFBBS,K
play,6,0,zunim001,12,FBFT,K
play,6,0,brenw002,11,FBX,S1/G3S-.B-2(E1/TH)
play,6,0,stram002,10,BX,9/F9D
