Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,donob001,00,X,S8/G4M+
play,1,1,nootl001,32,BCSBBB,W.1-2
play,1,1,goldp001,00,>C,CS3(25).1-2
play,1,1,goldp001,02,>C.FS,K
play,1,1,arenn001,01,CX,9/F1S
play,2,1,burla001,12,CBC.FC,K
play,2,1,walkj003,22,SBCBX,9/F89
play,2,1,gormn001,32,BBSBCB,W
play,2,1,kniza001,12,FBSFC,K
play,3,1,edmat001,10,BX,43/G34
play,3,1,donob001,01,CH,HP
play,3,1,nootl001,00,X,23/SH/BG2-.1-2
play,3,1,goldp001,22,CCFFBBFFFX,13/G13
play,4,1,arenn001,32,CBBCB.FFX,D7/L7L+
play,4,1,burla001,01,CX,S9/L89S.2-3
play,4,1,walkj003,00,X,S8/L8.3-H;1-2
play,4,1,gormn001,22,SBSBX,8/L8D
play,4,1,kniza001,10,BX,S8/L8.2-H;1-2
play,4,1,edmat001,10,BX,6(1)3/GDP/G6M
play,5,1,donob001,12,BCS.FX,S7/L7S
play,5,1,nootl001,01,CX,6/P6D
play,5,1,goldp001,11,CBX,7/F7+
play,5,1,arenn001,12,C*BCX,3/P23
play,6,1,burla001,10,BX,C/E2.B-1
play,6,1,walkj003,02,SS.T,K
play,6,1,gormn001,22,BBSFS,K
play,6,1,kniza001,22,B+1FFBFX,13/G1S
play,7,1,edmat001,00,,NP
play,7,1,edmat001,00,.,NP
