Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,semim001,22,FBFBX,53/G56S
play,1,1,grosr001,32,CBBBFC,K
play,1,1,lowen001,12,CBSX,D7/L7L+
play,1,1,garca005,01,FX,4/P34
play,2,1,heimj001,11,BCX,5/P6S
play,2,1,durae002,00,X,S8/L8+
play,2,1,smitj007,32,FBCB+11BS,K
play,2,1,tavel001,12,FBFC,K
play,3,1,leons001,02,MCC,K
play,3,1,semim001,22,CBBFFFFFX,D78/L78D
play,3,1,grosr001,01,SX,8/F8S
play,3,1,lowen001,01,SX,7/L7D
play,4,1,garca005,00,,NP
play,4,1,garca005,01,.FX,9/F89
play,4,1,heimj001,22,BCSBFFFFS,K
play,4,1,durae002,21,BSBX,8/F8D+
play,5,1,smitj007,01,CX,7/F7D
play,5,1,tavel001,02,CFS,K
play,5,1,leons001,01,CX,63/G6M
play,6,1,semim001,02,CFX,S8/G4M
play,6,1,grosr001,00,X,S7/G56.1-2
play,6,1,lowen001,30,B*BBB,W.2-3;1-2
play,6,1,garca005,12,FSBS,K
play,6,1,heimj001,01,FX,36(1)/FO/G3S.3-H;2-3;B-1
play,6,1,durae002,12,FS*BX,S5/G15.3-H;1-2
play,6,1,smitj007,00,X,43/G34D
play,7,1,tavel001,02,SCS,K
play,7,1,leons001,00,X,8/F8XD+
play,7,1,semim001,00,,NP
