id,COL202307160
version,2
info,visteam,NYA
info,hometeam,COL
info,site,DEN02
info,date,2023/07/16
info,number,0
info,gametype,regular
info,starttime,1:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,carav901
info,ump1b,jimee901
info,ump2b,hamaa901
info,ump3b,mahrn901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/08/02 12:05:14
info,howscored,unknown
info,pitches,pitches
info,oscorer,geibj701
info,temp,86
info,winddir,fromcf
info,windspeed,5
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,218
info,attendance,47211
info,wp,hollg002
info,lp,marir001
info,save,
start,torrg001,"Gleyber Torres",0,1,4
start,stanm004,"Giancarlo Stanton",0,2,10
start,rizza001,"Anthony Rizzo",0,3,3
start,lemad001,"DJ LeMahieu",0,4,5
start,badeh001,"Harrison Bader",0,5,8
start,kinei001,"Isiah Kiner-Falefa",0,6,7
start,volpa001,"Anthony Volpe",0,7,6
start,cabro002,"Oswaldo Cabrera",0,8,9
start,trevj001,"Jose Trevino",0,9,2
start,coleg001,"Gerrit Cole",0,0,1
start,tovae001,"Ezequiel Tovar",1,1,6
start,bryak001,"Kris Bryant",1,2,9
start,mcmar001,"Ryan McMahon",1,3,5
start,cronc002,"C.J. Cron",1,4,10
start,jonen002,"Nolan Jones",1,5,7
start,toglm001,"Michael Toglia",1,6,3
start,casth001,"Harold Castro",1,7,4
start,doylb001,"Brenton Doyle",1,8,8
start,wynna001,"Austin Wynns",1,9,2
start,andec001,"Chase Anderson",1,0,1
play,1,0,torrg001,01,SX,S6/G6M
play,1,0,stanm004,20,BBX,14(1)3/GDP/G1
play,1,0,rizza001,21,BCBX,7/F7
play,1,1,tovae001,10,BX,8/F8XD+
play,1,1,bryak001,10,BX,4/P4
play,1,1,mcmar001,32,CSBFBBX,E6/G6M.B-2
play,1,1,cronc002,12,BFTFX,7/L78D
play,2,0,lemad001,12,CBCX,8/F89
play,2,0,badeh001,31,BFBBX,53/G56
play,2,0,kinei001,01,CX,9/F9L
play,2,1,jonen002,12,BSS.S,K
play,2,1,toglm001,21,FBBX,HR/F7D
play,2,1,casth001,02,SSFX,7/F7L
play,2,1,doylb001,22,SBBFS,K
play,3,0,volpa001,32,BBBCFX,8/F8
play,3,0,cabro002,11,SBX,S7/G56
play,3,0,trevj001,21,BC+1BX,S9/G34.1-2
play,3,0,torrg001,01,SX,7/L7D
play,3,0,stanm004,31,BBBCB,W.2-3;1-2
play,3,0,rizza001,32,BBFC.FB>F>F>F>X,9/F9
play,3,1,wynna001,22,BF.BST,K
play,3,1,tovae001,22,SFBFBFS,K
play,3,1,bryak001,32,BCFF.BFBX,S8/L78S
play,3,1,mcmar001,12,BTCS,K
play,4,0,lemad001,02,CCFX,8/L8
play,4,0,badeh001,00,X,63/G6M
play,4,0,kinei001,21,BCBX,63/G6M
play,4,1,cronc002,32,SBCB.BS,K
play,4,1,jonen002,22,FBBFC,K
play,4,1,toglm001,12,CBCS,K
play,5,0,volpa001,22,FFBBFC,K
play,5,0,cabro002,32,FBSFBB.FFFB,W
play,5,0,trevj001,01,FH,HP.1-2
play,5,0,torrg001,32,BFC*BB.FX,9/F9LD.2-3
play,5,0,stanm004,00,X,8/F89
play,5,1,casth001,02,CFF*S,K.BX1(23)
play,5,1,doylb001,12,BCFS,K
play,5,1,wynna001,32,BBCF.BB,W
play,5,1,tovae001,11,BFX,43/G4
play,6,0,rizza001,00,,NP
sub,birdj001,"Jake Bird",1,0,1
play,6,0,rizza001,22,.BSS.FBX,9/L9
play,6,0,lemad001,22,CFBBX,S6/G4M
play,6,0,badeh001,02,CFX,S9/G34.1-2
play,6,0,kinei001,12,CS*BX,S8/G6M.2-H;1-H(E5/TH)(NR);B-3
play,6,0,volpa001,02,FFFFX,63/G6.3-H(UR)
play,6,0,cabro002,32,BCBBFFFB,W
play,6,0,trevj001,00,,NP
sub,lawrj002,"Justin Lawrence",1,0,1
play,6,0,trevj001,12,.C1CBS,K
play,6,1,bryak001,20,BBX,5/L5
play,6,1,mcmar001,02,FC.X,31/G34
play,6,1,cronc002,32,BCCBFBT,K
play,7,0,torrg001,22,BBCSFC,K
play,7,0,stanm004,31,BFBBX,8/F89XD
play,7,0,rizza001,32,BBCBS.S,K
play,7,1,jonen002,00,,NP
