id,DET202308300
version,2
info,visteam,NYA
info,hometeam,DET
info,site,DET05
info,date,2023/08/30
info,number,0
info,gametype,regular
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,mahrn901
info,ump1b,metzj901
info,ump2b,carav901
info,ump3b,hamaa901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/09/22 09:02:16
info,howscored,unknown
info,pitches,pitches
info,oscorer,libea701
info,temp,64
info,winddir,ltor
info,windspeed,8
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,157
info,attendance,15731
info,wp,coleg001
info,lp,whitb002
info,save,hamii001
start,lemad001,"DJ LeMahieu",0,1,3
start,judga001,"Aaron Judge",0,2,9
start,torrg001,"Gleyber Torres",0,3,4
start,stanm004,"Giancarlo Stanton",0,4,10
start,volpa001,"Anthony Volpe",0,5,6
start,badeh001,"Harrison Bader",0,6,8
start,peree005,"Everson Pereira",0,7,7
start,perao002,"Oswald Peraza",0,8,5
start,rortb001,"Ben Rortvedt",0,9,2
start,coleg001,"Gerrit Cole",0,0,1
start,badda001,"Akil Baddoo",1,1,7
start,greer003,"Riley Greene",1,2,9
start,torks001,"Spencer Torkelson",1,3,3
start,carpk001,"Kerry Carpenter",1,4,10
start,mckiz001,"Zach McKinstry",1,5,6
start,vierm001,"Matt Vierling",1,6,5
start,meadp001,"Parker Meadows",1,7,8
start,ibana001,"Andy Ibanez",1,8,4
start,rogej004,"Jake Rogers",1,9,2
start,whitb002,"Brendan White",1,0,1
play,1,0,lemad001,12,CSB.S,K
play,1,0,judga001,12,BTC.T,K
play,1,0,torrg001,31,BCBBB,W
play,1,0,stanm004,10,B>B,SB2
play,1,0,stanm004,22,B>B.FFFX,S9/L9.2-H
play,1,0,volpa001,12,CCFFBFH,HP.1-2
play,1,0,badeh001,00,X,S7/L7+.2-3;1-2
play,1,0,peree005,11,BFH,HP.3-H;2-3;1-2
play,1,0,perao002,00,,NP
sub,wentj001,"Joey Wentz",1,0,1
play,1,0,perao002,01,.FX,4/P4D
play,1,1,badda001,01,CX,31/G3
play,1,1,greer003,32,BBFCBFFX,7/F7D
play,1,1,torks001,22,CBSFBC,K
play,2,0,rortb001,32,CBCBFFFBX,6/L6M
play,2,0,lemad001,11,CBX,HR/F78XD
play,2,0,judga001,32,BFBCBB,W
play,2,0,torrg001,11,C*BX,7/F78D
play,2,0,stanm004,02,CCS,K
play,2,1,carpk001,02,CFS,K
play,2,1,mckiz001,32,BFFBBFX,8/F78
play,2,1,vierm001,10,BX,S16/L4
play,2,1,meadp001,12,C1FB>X,9/F9
play,3,0,volpa001,11,BFX,D7/G56
play,3,0,badeh001,00,>C,SB3
play,3,0,badeh001,02,>C.FS,K
play,3,0,peree005,11,*BSX,S7/G6.3-H
play,3,0,perao002,11,FB>S,SB2
play,3,0,perao002,12,FB>S.FX,5/P5SF/FL
play,3,0,rortb001,02,CFS,K
play,3,1,ibana001,12,F.BSX,53/G56
play,3,1,rogej004,01,CX,HR/F89XD
play,3,1,badda001,22,CFBBS,K
play,3,1,greer003,32,CBBBFB,W
play,3,1,torks001,32,BBF*BF>S,K
play,4,0,lemad001,32,BCFBBF.X,6/P7S
play,4,0,judga001,32,CBFFBBX,63/G56
play,4,0,torrg001,10,BX,HR/F9D
play,4,0,stanm004,00,X,HR/F89XD
play,4,0,volpa001,12,CFBFS,K
play,4,1,carpk001,22,CBBSX,S46/G34
play,4,1,mckiz001,01,CX,46(1)3/GDP/G4
com,"$Yankees challenged (play at 1st), call on the field was overturned."
play,4,1,vierm001,11,CBX,63/G6
play,5,0,badeh001,30,BBBB,W
play,5,0,peree005,00,X,8/L89D
play,5,0,perao002,10,B1>B,SB2
play,5,0,perao002,20,B1>B.X,8/F89XD.2-3
play,5,0,rortb001,12,C*BSS,K
play,5,1,meadp001,11,BFX,6/P6MD
play,5,1,ibana001,31,BFBBB,W
play,5,1,rogej004,12,C*BFS,K
play,5,1,badda001,00,X,7/F78S
play,6,0,lemad001,32,BBBCC.FB,W
play,6,0,judga001,22,CBBCFS,K
play,6,0,torrg001,32,CBS.BBFFX,9/F89S
play,6,0,stanm004,00,,NP
sub,cisnj001,"Jose Cisnero",1,0,1
play,6,0,stanm004,12,.*BCFF*S,K
play,6,1,greer003,21,BCBX,63/G6
play,6,1,torks001,10,BX,HR/F7LD
play,6,1,carpk001,12,BFFS,K
play,6,1,mckiz001,12,FCB*S,K.BX1(23)
play,7,0,volpa001,22,BSBSFS,K
play,7,0,badeh001,12,CBFX,8/L8XD+
play,7,0,peree005,02,FSS,K
play,7,1,vierm001,00,,NP
