id,LAN202306030
version,2
info,visteam,NYA
info,hometeam,LAN
info,site,LOS03
info,date,2023/06/03
info,number,0
info,gametype,regular
info,starttime,4:15PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,tumpj901
info,ump1b,blakr901
info,ump2b,hudsm901
info,ump3b,wendh902
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/15 09:03:02
info,howscored,unknown
info,pitches,pitches
info,oscorer,whitj701
info,temp,72
info,winddir,torf
info,windspeed,8
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,158
info,attendance,52975
info,wp,coleg001
info,lp,grovm001
info,save,holmc001
start,torrg001,"Gleyber Torres",0,1,4
start,judga001,"Aaron Judge",0,2,9
start,rizza001,"Anthony Rizzo",0,3,3
start,donaj001,"Josh Donaldson",0,4,10
start,lemad001,"DJ LeMahieu",0,5,5
start,bauej001,"Jake Bauers",0,6,7
start,kinei001,"Isiah Kiner-Falefa",0,7,8
start,trevj001,"Jose Trevino",0,8,2
start,volpa001,"Anthony Volpe",0,9,6
start,coleg001,"Gerrit Cole",0,0,1
start,bettm001,"Mookie Betts",1,1,4
start,freef001,"Freddie Freeman",1,2,3
start,smitw003,"Will Smith",1,3,2
start,muncm001,"Max Muncy",1,4,5
start,martj006,"J.D. Martinez",1,5,10
start,heywj001,"Jason Heyward",1,6,9
start,perad001,"David Peralta",1,7,7
start,outmj002,"James Outman",1,8,8
start,rojam002,"Miguel Rojas",1,9,6
start,grovm001,"Michael Grove",1,0,1
play,1,0,torrg001,01,SX,6/L6+
play,1,0,judga001,02,SSFX,9/F9D
play,1,0,rizza001,31,BFBBX,8/F8
play,1,1,bettm001,11,CBX,4/P4MD
play,1,1,freef001,00,X,8/F78
play,1,1,smitw003,22,CBC.BS,K
play,2,0,donaj001,22,SBBCS,K
play,2,0,lemad001,11,BCX,T7/L8XD
play,2,0,bauej001,11,BCX,HR/F9D.3-H
play,2,0,kinei001,02,CFS,K
play,2,0,trevj001,32,BCBBCFFC,K
play,2,1,muncm001,10,BX,6/P4M
play,2,1,martj006,00,X,8/F8XD+
play,2,1,heywj001,02,.CCH,HP
play,2,1,perad001,10,BX,S76/P5D.1-H;B-2
play,2,1,outmj002,12,BCSC,K
play,3,0,volpa001,32,CSBFFBBS,K
play,3,0,torrg001,12,CFBFX,7/L78D
play,3,0,judga001,22,BSBS.S,K
play,3,1,rojam002,12,FBCX,8/F8D
play,3,1,bettm001,32,BFCBBX,9/F9D
play,3,1,freef001,12,BFFT,K
play,4,0,rizza001,12,BCF.X,S7/L78
play,4,0,donaj001,22,C*BBSC,K
play,4,0,lemad001,12,C*BCS,K
play,4,0,bauej001,22,C1BBFX,HR/F89XD.1-H
play,4,0,kinei001,12,FBFFFFX,8/L89
play,4,1,smitw003,12,FS.BFX,S9/F9L
play,4,1,muncm001,30,BBBB,W.1-2
play,4,1,martj006,21,BBSX,8/F8XD+.2-3
play,4,1,heywj001,20,*BBX,5/P5DF/FL
play,4,1,perad001,11,FBX,56(1)/FO/G56.B-1
play,5,0,trevj001,01,CX,7/F7S
play,5,0,volpa001,12,CFBX,8/L8
play,5,0,torrg001,00,X,13/G1
play,5,1,outmj002,02,CS.C,K
play,5,1,rojam002,12,FFBX,S7/L78D+
play,5,1,bettm001,00,>B,CS2(24)
play,5,1,bettm001,22,>B.FBCFS,K
play,6,0,judga001,00,,NP
sub,mills001,"Shelby Miller",1,0,1
play,6,0,judga001,11,.BFX,HR/L7LD
play,6,0,rizza001,02,SFS,K
play,6,0,donaj001,00,X,7/L7D
play,6,0,lemad001,12,FFBC,K
play,6,1,freef001,02,CCX,S7/L7LS
play,6,1,smitw003,10,BX,64(1)3/GDP/G6
play,6,1,muncm001,32,BBCSBB,W
play,6,1,martj006,01,SX,8/F89D+
play,7,0,bauej001,00,,NP
sub,vesia001,"Alex Vesia",1,0,1
play,7,0,bauej001,12,.BSFS,K
play,7,0,kinei001,11,TBX,9/F9
play,7,0,trevj001,00,X,4/L4+
play,7,1,heywj001,00,,NP
sub,cabro002,"Oswaldo Cabrera",0,6,7
play,7,1,heywj001,00,.,NP
