Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,haysa001,31,BSBBX,S8/G6
play,1,1,rutsa001,11,CBX,9/F89XD+
play,1,1,santa003,21,1S*BBX,9/F89
play,1,1,hicka001,00,>C,SB2
play,1,1,hicka001,22,>C.B*S*BX,13/G1
play,2,1,hendg002,00,X,6/P6D
play,2,1,westj002,22,CBFBX,S5/G2-
play,2,1,mccaj001,01,C1X,S9/F89S.1-2
play,2,1,mullc002,11,SBX,46(1)/FO/G34.2-3;B-1
play,2,1,matej003,02,S1FX,9/F9LD
play,3,1,haysa001,31,CBBBB,W
play,3,1,rutsa001,12,CBFX,HR/F78XD.1-H
play,3,1,santa003,01,CX,53/G5
play,3,1,hicka001,20,BBX,9/F9D
play,3,1,hendg002,02,CSX,43/G34
play,4,1,westj002,31,CBBBX,63/G6
play,4,1,mccaj001,12,CBFFX,53/G56
play,4,1,mullc002,02,CFS,K
play,5,1,matej003,30,BBBB,W
play,5,1,haysa001,12,C1FBS,K
play,5,1,rutsa001,00,B,PB.1-2
play,5,1,rutsa001,10,B.>B,SB3
play,5,1,rutsa001,21,B.>B.CX,S9/L9.3-H
play,5,1,santa003,21,B*SBX,S9/G34.1-3
play,5,1,hicka001,30,BBBB,W.1-2
play,5,1,hendg002,20,BBX,12(3)/FO/G2-.2-3;1-2;B-1
play,5,1,westj002,32,FBBFB>B,W.3-H;2-3;1-2
play,5,1,mccaj001,00,,NP
