Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,hoern001,21,BFBX,3/P3
play,1,1,suzus001,12,CCBX,S7/L7+
play,1,1,happi001,32,BBSBCS,K
play,1,1,bellc002,12,CBFS,K
play,2,1,gomey001,01,CX,5/L56
play,2,1,manct001,22,BSSBS,K
play,2,1,amaym001,22,BFS.B*S,K
play,3,1,wisdp001,20,BBX,13/G6MS
play,3,1,mastm001,22,CSBBFX,S14/L4MS
play,3,1,hoern001,20,B1BX,46(1)/FO/G34.B-1
play,3,1,suzus001,32,BF*BBF>S,K
play,4,1,happi001,32,FSBBFBB,W
play,4,1,bellc002,10,BX,S7/L78D.1-3
play,4,1,gomey001,01,FX,8/SF/L8D+.3-H
play,4,1,manct001,01,11CX,64(1)3/GDP/G56
play,5,1,amaym001,12,CCBX,63/G6
play,5,1,wisdp001,31,BCBBX,13/G1S-
play,5,1,mastm001,02,CCS,K
play,6,1,hoern001,22,FBFBFX,9/F9
play,6,1,suzus001,22,CS.FBFBX,HR/F7LD
play,6,1,happi001,22,CFBFFBX,S4/G4
play,6,1,bellc002,10,*B>B,SB2
play,6,1,bellc002,32,*B>B.FC*BX,S4/G4.2-H(E4/TH)(NR)
play,6,1,gomey001,00,,NP
