Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,delae003,22,BBFFS,K
play,1,1,senzn001,01,FX,HR/F9D
play,1,1,mclam001,00,X,HR/F8XD
play,1,1,stees001,32,CS.BBBX,8/F8XD
play,1,1,newmk001,01,CX,8/F78XD
play,2,1,vottj001,22,FFBBS,K
play,2,1,encac001,00,X,4/L4MD
play,2,1,stept001,02,FFX,43/G4
play,3,1,fairs001,31,BBFBX,53/G5
play,3,1,delae003,31,SBBBX,HR/F7D
play,3,1,senzn001,11,CBX,53/G5D
play,3,1,mclam001,22,CBBSX,3/G3
play,4,1,stees001,32,BCBFBB,W
play,4,1,newmk001,21,B1BSX,E4/G34.1-2;B-1
play,4,1,vottj001,01,SX,46(1)3/GDP/G34.2-3
play,4,1,encac001,10,BX,63/G6
play,5,1,stept001,32,CBBBF.X,63/G6
play,5,1,fairs001,01,FX,43/G4MD
play,5,1,delae003,11,BFX,9/F9D
play,6,1,senzn001,11,BCX,63/G6
play,6,1,mclam001,21,CBBX,D9/L9LD+
play,6,1,stees001,00,X,7/F7D
play,6,1,newmk001,32,CBBF*BX,8/F8XD
play,7,1,vottj001,00,X,43/G4
play,7,1,encac001,00,,NP
