Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,bettm001,21,BCBX,HR/F7D
play,1,1,freef001,00,X,S7/L78XD+
play,1,1,smitw003,01,CX,HR/F89XD.1-H
play,1,1,martj006,31,CBBBB,W
play,1,1,muncm001,10,BX,36(1)3/GDP/G34
play,1,1,taylc001,00,X,S8/L8D
play,1,1,vargm001,01,C>B,SB2
play,1,1,vargm001,21,C>B.BX,6/F56D
play,2,1,rojam002,01,.CX,4/L4
play,2,1,thomt002,12,CCBS,K
play,2,1,bettm001,01,.CX,63/G6D
play,3,1,freef001,32,CBBFBX,E4/G34D.B-1
play,3,1,smitw003,01,1C>B,SB2
play,3,1,smitw003,21,1C>B.BX,S9/L9S+.2-3;B-2
play,3,1,martj006,32,FBBFBB,W
play,3,1,muncm001,30,BBBB,W.3-H(UR);2-3;1-2
play,3,1,taylc001,22,FCF*BBS,K
play,3,1,vargm001,01,TX,3/P3F/FL
play,3,1,rojam002,02,CF.X,64(1)/FO/G6.B-1
play,4,1,thomt002,31,FBBBX,S7/L7D+
play,4,1,bettm001,01,C1X,9/F9D
play,4,1,freef001,11,CBX,36(1)1/GDP/G34
play,5,1,smitw003,22,SBBC.X,7/L78XD+
play,5,1,martj006,00,X,D8/L78XD
play,5,1,muncm001,01,CX,8/F78D
play,5,1,taylc001,32,BSC*B*B*B,W
play,5,1,vargm001,32,CB*BTB>X,9/F9LD
play,6,1,rojam002,00,,NP
