Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,canhm001,32,.BBBCCB,W
play,1,1,contw002,21,BCBX,S5/G56S.1-2
play,1,1,santc002,00,X,64(1)/FO/G6.2-3;B-1
play,1,1,adamw002,00,.X,4/F8S
play,1,1,donaj001,31,BFBBX,8/F8D
play,2,1,monaa001,32,CBBFBS,K
play,2,1,taylt002,31,BFBBX,8/F8D
play,2,1,carav001,22,CFF.BBX,9/F9S
play,3,1,perkb002,31,BBBCX,8/F8D
play,3,1,canhm001,10,BX,S6/G56
play,3,1,contw002,02,SCS,K
play,3,1,santc002,12,C11B>F>F>F>*B,SB2
play,3,1,santc002,22,C11B>F>F>F>*B.X,53/G56
play,4,1,adamw002,30,BBBB,W
play,4,1,donaj001,21,BCBX,14(1)3/GDP/G13
play,4,1,monaa001,01,CX,9/F9
play,5,1,taylt002,11,BCX,63/G6D
play,5,1,carav001,10,BX,S8/G6M
play,5,1,perkb002,31,BF*BBX,14(1)3/GDP/G6MS
play,6,1,canhm001,32,CBFFBBX,S7/G56
play,6,1,contw002,01,S>B,SB2
play,6,1,contw002,11,S>B.X,13/SH/BG2-.2-3
play,6,1,santc002,10,BX,9/SF/F89.3-H
play,6,1,adamw002,22,BCBFX,8/F89
play,7,1,donaj001,00,,NP
