Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,lemad001,21,BFBX,43/G4
play,1,1,judga001,00,X,HR/F89XD
play,1,1,torrg001,10,BX,S7/L7
play,1,1,stanm004,00,X,S9/L89XD+.1-3
play,1,1,badeh001,22,BC*BSFS,K
play,1,1,volpa001,01,CX,8/F8
play,2,1,peree005,12,SSB*S,K
play,2,1,higak001,10,BX,D9/F89XD
play,2,1,perao002,20,BBX,FC/G6.2X3(65);B-1
play,2,1,lemad001,11,BC1,POCS2(134)
play,3,1,lemad001,31,BBCBB,W
play,3,1,judga001,30,*BBBX,3/P3F/FL
play,3,1,torrg001,01,CX,HR/F7LD.1-H
play,3,1,stanm004,32,BBBCFX,DGR/L9LD
play,3,1,badeh001,32,CB*B*BSC,K
play,3,1,volpa001,32,BBCFBX,7/F7
play,4,1,peree005,02,FSC,K
play,4,1,higak001,00,X,9/F9L
play,4,1,perao002,12,CCB*S,K
play,5,1,lemad001,12,CCBX,S9/L9LD
play,5,1,judga001,11,C*BB,WP.1-2
play,5,1,judga001,31,C*BB.BB,W
play,5,1,torrg001,22,BF>FBX,64(1)/FO/G6.2-3;B-1
play,5,1,stanm004,10,BX,46(1)3/GDP/G4+
play,6,1,badeh001,02,SS*S,K.BX1(23)
play,6,1,volpa001,32,LBBSB.B,W
play,6,1,peree005,02,C1FS,K
play,6,1,higak001,00,1X,53/G56S
play,7,1,perao002,00,,NP
