Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,nimmb001,12,CFFBX,7/F7S
play,1,1,lindf001,01,CX,S8/L8D
play,1,1,alonp001,11,CBX,64(1)/FO/G6D.B-1
play,1,1,phamt001,12,SC*B*S,K
play,2,1,mcnej002,12,BFCX,3/G3
play,2,1,canhm001,02,CFX,S7/L7
play,2,1,alvaf001,31,BBSBX,9/F9LS
play,2,1,vienm001,12,C*S*BB,WP.1-2
play,2,1,vienm001,32,C*S*BB.F*BFX,D7/G5.2-H
play,2,1,mendd002,22,FBBFFC,K
play,3,1,nimmb001,32,CBBBCFX,31/G34D
play,3,1,lindf001,10,BX,6/L6D
play,3,1,alonp001,01,CX,43/G6M
play,4,1,phamt001,10,BX,HR/F7D
play,4,1,mcnej002,21,FBBX,31/G3
play,4,1,canhm001,21,BBCX,4/P4MD
play,4,1,alvaf001,32,FBS.BBFX,63/G6
play,5,1,vienm001,20,BBX,63/G6
play,5,1,mendd002,12,BCCX,6/P6
play,5,1,nimmb001,12,CBFH,HP
play,5,1,lindf001,21,1BCBX,HR/F7D.1-H
play,5,1,alonp001,01,CX,8/F8D
play,6,1,phamt001,31,BCBBX,63/G4MS
play,6,1,mcnej002,00,X,63/G4M
play,6,1,canhm001,01,CX,D8/L8XD+
play,6,1,alvaf001,00,,NP
