Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,hayek001,00,X,7/F78
play,1,1,reynb001,02,CF*S,K
play,1,1,joe-c001,11,BSX,6/L6
play,2,1,andum001,02,CS.*S,K
play,2,1,rodre006,11,CBX,9/L9LD
play,2,1,pegul001,11,FBX,S8/G6
play,2,1,bae-j001,10,1BX,6/L6
play,3,1,trioj001,20,BBX,S5/G56S-
play,3,1,willa005,32,BBSF1FFB*S,K
play,3,1,hayek001,21,BFB>C,SB2
play,3,1,hayek001,22,BFB>C.X,43/G6M.2-3
play,3,1,reynb001,10,BX,S8/G6M.3-H
play,3,1,joe-c001,01,SB,WP.1-2
play,3,1,joe-c001,21,SB.*B>*S,SB3
play,3,1,joe-c001,32,SB.*B>*S.B*B,W
play,3,1,andum001,10,*B11,CSH(1342)
play,4,1,andum001,21,BCBX,7/F7D
play,4,1,rodre006,21,BBCX,8/F8S
play,4,1,pegul001,12,CCBS,K
play,5,1,bae-j001,12,BCS.S,K
play,5,1,trioj001,32,CCBBFBS,K
play,5,1,willa005,02,CF*S,K.BX1(23)
play,6,1,hayek001,22,BBSS.X,13/G1
play,6,1,reynb001,11,BSX,63/G6
play,6,1,joe-c001,31,SBBBX,9/L9D
play,7,1,andum001,31,BBCB.X,D9/L9L
play,7,1,rodre006,01,CX,53/G56
play,7,1,pegul001,32,FCB*BBS,K
play,7,1,bae-j001,11,BCX,D9/G3.2-H
play,7,1,trioj001,00,,NP
