Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,crawj002,12,CBFS,K
play,1,1,rodrj007,32,SS.BBBX,9/F9D
play,1,1,frant002,12,CBSFC,K
play,2,1,hernt002,02,CF*S,K
play,2,1,suare001,00,X,S8/L8D+
play,2,1,murpt002,21,BBFX,S9/L9LS.1-3
play,2,1,polla001,22,FBF*BS,K
play,2,1,moord002,10,BX,6/P6D
play,3,1,cabaj001,02,FCX,9/L9D
play,3,1,crawj002,01,CX,3/G3S
play,3,1,rodrj007,00,X,9/F9LS
play,4,1,frant002,32,SFBFFBBS,K
play,4,1,hernt002,32,CBFBBX,8/F89XD
play,4,1,suare001,02,FFC,K
play,5,1,murpt002,12,SBCX,S7/G56
play,5,1,polla001,22,FFBBS,K
play,5,1,moord002,01,FX,9/F89XD
play,5,1,cabaj001,11,BFX,S7/L7.1-2
play,5,1,crawj002,22,BCB+1FX,8/F78XD
play,6,1,rodrj007,20,BBX,63/G6
play,6,1,frant002,31,BBBCX,43/G4
play,6,1,hernt002,12,FCBF.C,K
play,7,1,suare001,11,CBX,6/L6
play,7,1,murpt002,11,FBX,S68/G6M
play,7,1,polla001,32,FSBF*BBX,14(1)/FO/G15-.B-1
play,7,1,moord002,12,1FF*BS,K
play,8,1,cabaj001,00,,NP
