Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,sprig001,01,FX,8/F8
play,1,1,schnd001,31,BBSBB,W
play,1,1,guerv002,22,C*BBCX,S65/G56.1-2
play,1,1,merrw001,32,CSB*BFFF*BC,K
play,1,1,kirka001,00,>C,SB3;SB2
play,1,1,kirka001,01,>C.X,D8/F78XD.3-H;2-H
play,1,1,varsd001,11,CBX,5/P5SF/FL
play,2,1,cleme002,02,CFX,8/L89
play,2,1,espis001,01,CX,9/F89
play,2,1,biggc002,32,CBCBFFBX,D9/F9D
play,2,1,sprig001,22,FBSBX,6/P6D
play,3,1,schnd001,00,X,S7/L7LD.BX2(74)
play,3,1,guerv002,22,BBCCC,K
play,3,1,merrw001,11,BFX,43/G4
play,4,1,kirka001,21,CBBX,D7/L78XD+
play,4,1,varsd001,22,BFL*B*S,K
play,4,1,cleme002,00,X,S7/G6.2-3
play,4,1,espis001,21,FBB1X,S9/L89.3-H;1-3;B-2
play,4,1,biggc002,31,BBBCX,8/SF/F8XD.3-H;2-3
play,4,1,sprig001,22,BFF*BS,K
play,5,1,schnd001,00,X,4/P34D
play,5,1,guerv002,22,BFFB*S,K
play,5,1,merrw001,21,FBBX,9/F9LD
play,6,1,kirka001,22,CCBBX,S8/G4M
play,6,1,varsd001,10,*BX,D8/L89XD+.1-3
play,6,1,cleme002,01,CX,S8/L8.3-H;2-3
play,6,1,espis001,00,,NP
