id,BAL202309270
version,2
info,visteam,WAS
info,hometeam,BAL
info,site,BAL12
info,date,2023/09/27
info,number,0
info,gametype,regular
info,starttime,6:35PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,mahrn901
info,ump1b,clemp901
info,ump2b,merzd901
info,ump3b,carav901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/10/05 09:13:38
info,howscored,unknown
info,pitches,pitches
info,oscorer,jacom701
info,temp,67
info,winddir,fromrf
info,windspeed,7
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,148
info,attendance,24278
info,wp,rodrg003
info,lp,corbp001
info,save,
start,abrac001,"CJ Abrams",0,1,6
start,thoml002,"Lane Thomas",0,2,9
start,ruizk001,"Keibert Ruiz",0,3,2
start,menej001,"Joey Meneses",0,4,10
start,garcl006,"Luis Garcia",0,5,4
start,smitd008,"Dominic Smith",0,6,3
start,vargi001,"Ildemaro Vargas",0,7,5
start,alu-j001,"Jake Alu",0,8,7
start,younj004,"Jacob Young",0,9,8
start,corbp001,"Patrick Corbin",0,0,1
start,haysa001,"Austin Hays",1,1,7
start,rutsa001,"Adley Rutschman",1,2,10
start,santa003,"Anthony Santander",1,3,3
start,hicka001,"Aaron Hicks",1,4,9
start,hendg002,"Gunnar Henderson",1,5,5
start,westj002,"Jordan Westburg",1,6,4
start,mccaj001,"James McCann",1,7,2
start,mullc002,"Cedric Mullins",1,8,8
start,matej003,"Jorge Mateo",1,9,6
start,rodrg003,"Grayson Rodriguez",1,0,1
play,1,0,abrac001,12,BFFX,5/P5F/FL
play,1,0,thoml002,02,TFFS,K
play,1,0,ruizk001,12,.BFSFFFX,S9/G3
play,1,0,menej001,00,X,64(1)/FO/G6.B-1
play,1,1,haysa001,31,BSBBX,S8/G6
play,1,1,rutsa001,11,CBX,9/F89XD+
play,1,1,santa003,21,1S*BBX,9/F89
play,1,1,hicka001,00,>C,SB2
play,1,1,hicka001,22,>C.B*S*BX,13/G1
play,2,0,garcl006,02,FCX,8/F8S
play,2,0,smitd008,22,CS.FBBFX,43/G4
play,2,0,vargi001,31,BBBCX,8/F78D
play,2,1,hendg002,00,X,6/P6D
play,2,1,westj002,22,CBFBX,S5/G2-
play,2,1,mccaj001,01,C1X,S9/F89S.1-2
play,2,1,mullc002,11,SBX,46(1)/FO/G34.2-3;B-1
play,2,1,matej003,02,S1FX,9/F9LD
play,3,0,alu-j001,11,BCX,43/G34
play,3,0,younj004,22,BBCFS,K
play,3,0,abrac001,02,CFS,K
play,3,1,haysa001,31,CBBBB,W
play,3,1,rutsa001,12,CBFX,HR/F78XD.1-H
play,3,1,santa003,01,CX,53/G5
play,3,1,hicka001,20,BBX,9/F9D
play,3,1,hendg002,02,CSX,43/G34
play,4,0,thoml002,20,BBX,63/G6
play,4,0,ruizk001,12,CBCX,43/G4
play,4,0,menej001,32,BBFSBFC,K
play,4,1,westj002,31,CBBBX,63/G6
play,4,1,mccaj001,12,CBFFX,53/G56
play,4,1,mullc002,02,CFS,K
play,5,0,garcl006,22,FSBBFX,8/L8
play,5,0,smitd008,22,FBFBF.X,D9/L9LS
play,5,0,vargi001,21,FBBX,7/L7D
play,5,0,alu-j001,00,X,S7/L7L.2-H
play,5,0,younj004,10,BX,S6/G56.1X3(35)
play,5,1,matej003,30,BBBB,W
play,5,1,haysa001,12,C1FBS,K
play,5,1,rutsa001,00,B,PB.1-2
play,5,1,rutsa001,10,B.>B,SB3
play,5,1,rutsa001,21,B.>B.CX,S9/L9.3-H
play,5,1,santa003,21,B*SBX,S9/G34.1-3
play,5,1,hicka001,30,BBBB,W.1-2
play,5,1,hendg002,20,BBX,12(3)/FO/G2-.2-3;1-2;B-1
play,5,1,westj002,32,FBBFB>B,W.3-H;2-3;1-2
play,5,1,mccaj001,00,,NP
