id,SDN202306230
version,2
info,visteam,WAS
info,hometeam,SDN
info,site,SAN02
info,date,2023/06/23
info,number,0
info,gametype,regular
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,libkj901
info,ump1b,hoyej901
info,ump2b,reybd901
info,ump3b,vondc901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/06/25 09:02:35
info,howscored,unknown
info,pitches,pitches
info,oscorer,mathd701
info,temp,66
info,winddir,ltor
info,windspeed,11
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,149
info,attendance,42510
info,wp,musgj001
info,lp,corbp001
info,save,
start,thoml002,"Lane Thomas",0,1,9
start,garcl006,"Luis Garcia",0,2,4
start,candj002,"Jeimer Candelario",0,3,5
start,menej001,"Joey Meneses",0,4,10
start,dickc002,"Corey Dickerson",0,5,7
start,ruizk001,"Keibert Ruiz",0,6,2
start,smitd008,"Dominic Smith",0,7,3
start,hilld002,"Derek Hill",0,8,8
start,abrac001,"CJ Abrams",0,9,6
start,corbp001,"Patrick Corbin",0,0,1
start,kim-h002,"Ha-Seong Kim",1,1,4
start,tatif002,"Fernando Tatis Jr.",1,2,9
start,sotoj001,"Juan Soto",1,3,7
start,machm001,"Manny Machado",1,4,5
start,bogax001,"Xander Bogaerts",1,5,6
start,sancg002,"Gary Sanchez",1,6,2
start,cronj001,"Jake Cronenworth",1,7,3
start,cruzn002,"Nelson Cruz",1,8,10
start,grist001,"Trent Grisham",1,9,8
start,musgj001,"Joe Musgrove",1,0,1
play,1,0,thoml002,01,FX,7/F7D
play,1,0,garcl006,11,CBX,8/F8XD+
play,1,0,candj002,32,CBCBBC,K
play,1,1,kim-h002,11,BCX,HR/F8XD
play,1,1,tatif002,32,FBFBB.FX,S8/G4M
play,1,1,sotoj001,32,CBC*BB11>S,K+SB2
play,1,1,machm001,10,BX,8/F78XD.2-3
play,1,1,bogax001,00,X,7/F78XD
play,2,0,menej001,02,CFX,63/G6
play,2,0,dickc002,12,CBC*S,K
play,2,0,ruizk001,11,BFX,8/F8
play,2,1,sancg002,12,CCBFS,K
play,2,1,cronj001,00,X,S5/BG5S-
play,2,1,cruzn002,11,FBX,46(1)3/GDP/G34
play,3,0,smitd008,12,SF.FBFFS,K
play,3,0,hilld002,02,SS.X,S16/G6M
play,3,0,abrac001,12,FSBF1X,D9/L9L.1-3
play,3,0,thoml002,12,BCSFFS,K
play,3,0,garcl006,12,C*BFX,43/G34
play,3,1,grist001,32,BBFS.BX,7/F7LD
play,3,1,kim-h002,02,CFX,63/G6
play,3,1,tatif002,01,FX,53/G56S
play,4,0,candj002,10,BX,43/G34
play,4,0,menej001,11,BCX,8/L8D+
play,4,0,dickc002,00,X,D7/L7LS
play,4,0,ruizk001,20,BBX,6/L6MD
play,4,1,sotoj001,32,CBBBC.B,W
play,4,1,machm001,12,CFBX,64(1)3/GDP/G6
play,4,1,bogax001,22,CBCBFX,S7/L7S+
play,4,1,sancg002,00,X,54(1)/FO/G56.B-1
play,5,0,smitd008,02,CSX,5/P5DF/FL
play,5,0,hilld002,12,CBFS,K
play,5,0,abrac001,32,BBBCCFX,7/L78
play,5,1,cronj001,10,BX,S6/G6
play,5,1,cruzn002,22,BCBF1C,K
play,5,1,grist001,01,CH,HP.1-2
play,5,1,kim-h002,00,B,PB.2-3;1-2
play,5,1,kim-h002,10,B.X,S8/L8.3-H;2-H
play,5,1,tatif002,32,CC*B*BB>B,W.1-2
play,5,1,sotoj001,32,FBSBBB,W.2-3;1-2
play,5,1,machm001,32,FBBBSX,46(1)/FO/G4.3-H;2-3;B-1
play,5,1,bogax001,11,BCX,HR/F78XD.3-H;1-H
play,5,1,sancg002,20,BBX,53/G5
play,6,0,thoml002,12,BCS*S,K
play,6,0,garcl006,01,FX,13/G13
play,6,0,candj002,21,BBCX,DGR/L7D+
play,6,0,menej001,10,BX,S7/L78.2-H
play,6,0,dickc002,02,CFC,K
play,6,1,cronj001,00,,NP
