id,SEA202306280
version,2
info,visteam,WAS
info,hometeam,SEA
info,site,SEA03
info,date,2023/06/28
info,number,0
info,gametype,regular
info,starttime,1:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,thomd901
info,ump1b,gibsh902
info,ump2b,carlm901
info,ump3b,millb903
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/01 09:05:04
info,howscored,unknown
info,pitches,pitches
info,oscorer,peted701
info,temp,72
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,145
info,attendance,26437
info,wp,corbp001
info,lp,gilbl002
info,save,harvh001
start,thoml002,"Lane Thomas",0,1,9
start,garcl006,"Luis Garcia",0,2,4
start,candj002,"Jeimer Candelario",0,3,5
start,ruizk001,"Keibert Ruiz",0,4,10
start,smitd008,"Dominic Smith",0,5,3
start,vargi001,"Ildemaro Vargas",0,6,6
start,dickc002,"Corey Dickerson",0,7,7
start,hilld002,"Derek Hill",0,8,8
start,adamr004,"Riley Adams",0,9,2
start,corbp001,"Patrick Corbin",0,0,1
start,crawj002,"J.P. Crawford",1,1,6
start,rodrj007,"Julio Rodriguez",1,2,8
start,frant002,"Ty France",1,3,3
start,hernt002,"Teoscar Hernandez",1,4,9
start,suare001,"Eugenio Suarez",1,5,5
start,murpt002,"Tom Murphy",1,6,2
start,polla001,"AJ Pollock",1,7,10
start,moord002,"Dylan Moore",1,8,7
start,cabaj001,"Jose Caballero",1,9,4
start,gilbl002,"Logan Gilbert",1,0,1
play,1,0,thoml002,32,BSBFBX,S5/G6
play,1,0,garcl006,02,F>FX,S9/L89.1-2
play,1,0,candj002,32,BSS*BBX,D9/L89D.2-H;1-3
play,1,0,ruizk001,01,CX,S8/G4M.3-H;2-H
play,1,0,smitd008,01,CX,7/L78D
play,1,0,vargi001,11,BTX,8/F8
play,1,0,dickc002,22,BFF.BS,K
play,1,1,crawj002,12,CBFS,K
play,1,1,rodrj007,32,SS.BBBX,9/F9D
play,1,1,frant002,12,CBSFC,K
play,2,0,hilld002,12,FBFX,S1/G2-
play,2,0,adamr004,12,BSCX,143/G4MS.1-2
play,2,0,thoml002,12,*BC2FX,53/G56
play,2,0,garcl006,01,FX,3/G3
play,2,1,hernt002,02,CF*S,K
play,2,1,suare001,00,X,S8/L8D+
play,2,1,murpt002,21,BBFX,S9/L9LS.1-3
play,2,1,polla001,22,FBF*BS,K
play,2,1,moord002,10,BX,6/P6D
play,3,0,candj002,30,BBBB,W
play,3,0,ruizk001,21,BCB>B,SB2
play,3,0,ruizk001,31,BCB>B.B,W
play,3,0,smitd008,12,FFFFBFS,K
play,3,0,vargi001,31,F*BB.BX,46(1)3/GDP/G4
play,3,1,cabaj001,02,FCX,9/L9D
play,3,1,crawj002,01,CX,3/G3S
play,3,1,rodrj007,00,X,9/F9LS
play,4,0,dickc002,12,SFBS,K
play,4,0,hilld002,22,BBT.FC,K
play,4,0,adamr004,01,FX,8/L8D
play,4,1,frant002,32,SFBFFBBS,K
play,4,1,hernt002,32,CBFBBX,8/F89XD
play,4,1,suare001,02,FFC,K
play,5,0,thoml002,11,CBX,53/G5
play,5,0,garcl006,10,BX,63/G6M
play,5,0,candj002,12,CFBFX,31/G3D
play,5,1,murpt002,12,SBCX,S7/G56
play,5,1,polla001,22,FFBBS,K
play,5,1,moord002,01,FX,9/F89XD
play,5,1,cabaj001,11,BFX,S7/L7.1-2
play,5,1,crawj002,22,BCB+1FX,8/F78XD
play,6,0,ruizk001,22,BFFBX,S8/L78D+
play,6,0,smitd008,00,X,D9/L9LD+.1XH(942)
com,"ej,martd002,M,thomd901,Running out of baseline"
com,"$Nationals manager Dave Martinez ejected by HP umpire Derek Thomas"
com,"for arguing running-out-of-baseline-to-avoid-tag ruling"
play,6,0,vargi001,11,.M*BX,D7/L7L.2-H
play,6,0,dickc002,00,X,53/G56
play,6,0,hilld002,22,FBFBFFX,7/F7LS
play,6,1,rodrj007,20,BBX,63/G6
play,6,1,frant002,31,BBBCX,43/G4
play,6,1,hernt002,12,FCBF.C,K
play,7,0,adamr004,00,,NP
sub,adcot001,"Ty Adcock",1,0,1
play,7,0,adamr004,20,.BBX,2/P2F/FL
play,7,0,thoml002,32,BBBCFFFX,3/P3SF/FL
play,7,0,garcl006,22,BBCFFX,7/L7L
play,7,1,suare001,11,CBX,6/L6
play,7,1,murpt002,11,FBX,S68/G6M
play,7,1,polla001,32,FSBF*BBX,14(1)/FO/G15-.B-1
play,7,1,moord002,12,1FF*BS,K
play,8,0,candj002,22,BFFBC,K
play,8,0,ruizk001,12,CCFFBX,7/L78D+
play,8,0,smitd008,22,BFBFX,7/L7
play,8,1,cabaj001,00,,NP
