id,CHA202304280
version,2
info,visteam,TBA
info,hometeam,CHA
info,site,CHI12
info,date,2023/04/28
info,number,0
info,gametype,regular
info,starttime,6:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,hudsm901
info,ump1b,wendh902
info,ump2b,tumpj901
info,ump3b,macka901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/09/17 07:18:36
info,howscored,unknown
info,pitches,pitches
info,oscorer,lissr701
info,temp,55
info,winddir,torf
info,windspeed,10
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,156
info,attendance,16681
info,wp,pochc001
info,lp,gravk001
info,save,kellk004
start,diazy001,"Yandy Diaz",0,1,3
start,franw002,"Wander Franco",0,2,6
start,arozr001,"Randy Arozarena",0,3,7
start,loweb001,"Brandon Lowe",0,4,4
start,ramih004,"Harold Ramirez",0,5,10
start,parei001,"Isaac Paredes",0,6,5
start,bethc001,"Christian Bethancourt",0,7,2
start,margm001,"Manuel Margot",0,8,9
start,sirij001,"Jose Siri",0,9,8
start,efliz001,"Zach Eflin",0,0,1
start,benia002,"Andrew Benintendi",1,1,7
start,vauga001,"Andrew Vaughn",1,2,3
start,robel002,"Luis Robert Jr.",1,3,8
start,jimee001,"Eloy Jimenez",1,4,10
start,sheeg001,"Gavin Sheets",1,5,9
start,burgj001,"Jake Burger",1,6,5
start,zavas001,"Seby Zavala",1,7,2
start,andre001,"Elvis Andrus",1,8,6
start,sosal001,"Lenyn Sosa",1,9,4
start,gioll001,"Lucas Giolito",1,0,1
play,1,0,diazy001,31,BFBBX,D7/L78D+
play,1,0,franw002,22,FFBBC,K
play,1,0,arozr001,11,CBX,S7/L78.2-3
play,1,0,loweb001,00,X,4/F4D.3-H(NR);1-2
play,1,0,ramih004,01,CX,8/L8D
play,1,1,benia002,01,FX,43/G34
play,1,1,vauga001,10,BX,HR/F78XD
play,1,1,robel002,00,H,HP
com,"ej,grifp801,M,hudsm901,Warning issued"
com,"$White Sox manager Pedro Grifol ejected by HP umpire Marvin Hudson"
com,"for arguing warning issued"
play,1,1,jimee001,31,.BFBBB,W.1-2
play,1,1,sheeg001,00,X,36(1)1/GDP/G3+
play,2,0,parei001,22,BCBFX,43/G4M
play,2,0,bethc001,21,BBSX,8/F8D+
play,2,0,margm001,02,FSX,S5/G5
play,2,0,sirij001,22,BBSFC,K
play,2,1,burgj001,12,CBS.X,HR/F7D
play,2,1,zavas001,02,SCS,K
play,2,1,andre001,01,SX,23/BG25
play,2,1,sosal001,00,X,63/G56
play,3,0,diazy001,32,CBBBCX,4/P34
play,3,0,franw002,10,BX,63/G6
com,"$Rays challenged (play at 1st), call on the field was upheld."
play,3,0,arozr001,11,FBX,S7/G56
play,3,0,loweb001,00,X,4/F89S
play,3,1,benia002,02,CFX,8/L8XD+
play,3,1,vauga001,01,CX,S5/G56
play,3,1,robel002,10,BX,63/G6.1-2
play,3,1,jimee001,12,BCFS,K
play,4,0,ramih004,00,X,63/G6
play,4,0,parei001,01,CX,D9/L9L
play,4,0,bethc001,00,X,53/G56S
play,4,0,margm001,12,C*B*SX,S7/G56.2-H
play,4,0,sirij001,02,1FS.S,K
play,4,1,sheeg001,22,BCBFX,S8/G6M+
play,4,1,burgj001,10,BX,S7/L78S.1-2
play,4,1,zavas001,11,L*BX,9/F9D.2-3
play,4,1,andre001,32,BF*BBF>B,W.1-2
play,4,1,sosal001,12,CF*BS,K
play,4,1,benia002,11,BFX,43/G34
play,5,0,diazy001,00,,NP
sub,wallt003,"Taylor Walls",0,1,11
play,5,0,wallt003,01,.FX,7/F7
play,5,0,franw002,32,CBCFBFBFFS,K
play,5,0,arozr001,32,CBBBCFX,9/F89
play,5,1,vauga001,00,,NP
sub,wallt003,"Taylor Walls",0,1,5
play,5,1,vauga001,00,.,NP
sub,parei001,"Isaac Paredes",0,6,3
play,5,1,vauga001,32,..BFBBCS,K
play,5,1,robel002,32,BBBCFX,53/G15-
play,5,1,jimee001,11,FBX,S8/L8D+
play,5,1,sheeg001,12,C*BSS,K
play,6,0,loweb001,00,X,6/F6D
play,6,0,ramih004,10,BX,43/G4
play,6,0,parei001,01,CX,D7/L7L
play,6,0,bethc001,22,F*BFFBS,K
play,6,1,burgj001,00,,NP
sub,thomr007,"Ryan Thompson",0,0,1
play,6,1,burgj001,12,.BSCX,4/P4D
play,6,1,zavas001,22,BBCCX,63/G56D
play,6,1,andre001,31,BBCBB,W
play,6,1,sosal001,10,B>C,SB2
play,6,1,sosal001,22,B>C.CBX,63/G56
play,7,0,margm001,01,CX,D7/L7LD+
play,7,0,sirij001,22,BSBSX,63/G6MS.2-3
play,7,0,wallt003,12,CF*BT,K
play,7,0,franw002,00,,NP
sub,loper003,"Reynaldo Lopez",1,0,1
play,7,0,franw002,01,.CX,7/F7LF/FL
play,7,1,benia002,00,,NP
sub,adamj002,"Jason Adam",0,0,1
play,7,1,benia002,00,.X,S8/L8S
play,7,1,vauga001,22,CBCBS,K
play,7,1,robel002,01,C>C,SB2
play,7,1,robel002,02,C>C.X,53/G5
play,7,1,jimee001,02,SS.X,63/G6
play,8,0,arozr001,02,CCFX,9/F89D
play,8,0,loweb001,01,CX,7/F7
play,8,0,ramih004,11,BFX,53/G5D+
play,8,1,sheeg001,00,,NP
sub,pochc001,"Colin Poche",0,0,1
play,8,1,sheeg001,00,.,NP
sub,grany001,"Yasmani Grandal",1,5,11
play,8,1,grany001,12,..CBFS,K
play,8,1,burgj001,21,BBCX,7/F78XD+
play,8,1,zavas001,32,CBFFBBX,8/L8D
play,9,0,parei001,00,,NP
sub,hasea001,"Adam Haseley",1,5,9
play,9,0,parei001,00,.,NP
sub,gravk001,"Kendall Graveman",1,0,1
play,9,0,parei001,10,..BX,HR/F7D
play,9,0,bethc001,22,FBBFS,K
play,9,0,margm001,20,BBX,9/F9
play,9,0,sirij001,02,SS.S,K
play,9,1,andre001,00,,NP
sub,fairp001,"Pete Fairbanks",0,0,1
play,9,1,andre001,01,.CX,13/G1
play,9,1,sosal001,00,,NP
sub,colao001,"Oscar Colas",1,9,11
play,9,1,colao001,32,.BCBBF*S,K.BX1(23)
play,9,1,benia002,01,SH,HP
play,9,1,vauga001,21,F*B*B>B,SB2
play,9,1,vauga001,32,F*B*B>B.CB,W
play,9,1,robel002,00,,NP
sub,kellk004,"Kevin Kelly",0,0,1
play,9,1,robel002,00,.,NP
sub,gonzr003,"Romy Gonzalez",1,2,12
play,9,1,robel002,10,..BX,6/P6D
data,er,fairp001,0
data,er,adamj002,0
data,er,efliz001,2
data,er,kellk004,0
data,er,pochc001,0
data,er,thomr007,0
data,er,gravk001,1
data,er,loper003,0
data,er,gioll001,2
