Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,mullc002,22,CBBSX,7/F7S
play,1,1,rutsa001,10,BX,43/G4
play,1,1,santa003,01,CX,6/P4M
play,2,1,mounr001,00,X,3/P4S
play,2,1,fraza001,22,BCSBFX,7/L7
play,2,1,haysa001,12,BCC.S,K
play,3,1,hendg002,10,BX,T9/L89XD
play,3,1,matej003,10,BX,43/G4MS.3-H
play,3,1,stowk001,22,BTS.BC,K
play,3,1,mullc002,00,X,D7/F78XD+
play,3,1,rutsa001,11,BFX,HR/F9LD.2-H
play,3,1,santa003,22,CS.FBBC,K
play,4,1,mounr001,21,BCBX,S7/G6
play,4,1,fraza001,31,BFBBB,W.1-2
play,4,1,haysa001,20,BBX,S7/G56.2-H;1-2
play,4,1,hendg002,00,X,7/F7
play,4,1,matej003,10,BX,9/F9
play,4,1,stowk001,00,X,43/G34
play,5,1,mullc002,00,X,1/BP1S-
play,5,1,rutsa001,22,BFBCS,K
play,5,1,santa003,10,BX,S9/L9L
play,5,1,mounr001,01,FX,S34/G34.1-2
play,5,1,fraza001,12,BFFX,43/G34
play,6,1,haysa001,12,BCC.FX,13/G13
play,6,1,hendg002,11,BFX,53/G56
play,6,1,matej003,11,BSX,63/G6
play,7,1,stowk001,00,,NP
play,1,1,hendg002,12,CF.BX,E5/G2.B-1
play,1,1,rutsa001,11,BFX,6/P56
play,1,1,santa003,02,FFFX,3(B)6(1)/GDP/G3
play,2,1,ohear001,12,FFBX,43/G34
play,2,1,hicka001,00,X,9/L9+
play,2,1,mullc002,02,CS.*S,K
play,3,1,kjerh001,12,SFBC,K
play,3,1,westj002,02,CFX,8/F8
play,3,1,fraza001,12,BFFS,K
play,4,1,hendg002,01,CX,43/G34
play,4,1,rutsa001,12,BFFC,K
play,4,1,santa003,22,BCBFS,K
play,5,1,ohear001,12,BFT.*S,K
play,5,1,hicka001,32,BSBFFBS,K
play,5,1,mullc002,21,BTBX,43/G34
play,6,1,kjerh001,11,.SBX,HR/F9D
play,6,1,westj002,22,BBSF.FS,K
play,6,1,fraza001,22,BCBFX,8/L8D
play,6,1,hendg002,01,CX,23/G2-
play,7,1,rutsa001,01,FX,43/G34
play,7,1,santa003,20,BBX,9/F89D+
play,7,1,ohear001,32,FCBBFBX,31/G3
play,8,1,hicka001,00,,NP
