Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,benia002,01,FX,43/G34
play,1,1,vauga001,10,BX,HR/F78XD
play,1,1,robel002,00,H,HP
play,1,1,jimee001,31,.BFBBB,W.1-2
play,1,1,sheeg001,00,X,36(1)1/GDP/G3+
play,2,1,burgj001,12,CBS.X,HR/F7D
play,2,1,zavas001,02,SCS,K
play,2,1,andre001,01,SX,23/BG25
play,2,1,sosal001,00,X,63/G56
play,3,1,benia002,02,CFX,8/L8XD+
play,3,1,vauga001,01,CX,S5/G56
play,3,1,robel002,10,BX,63/G6.1-2
play,3,1,jimee001,12,BCFS,K
play,4,1,sheeg001,22,BCBFX,S8/G6M+
play,4,1,burgj001,10,BX,S7/L78S.1-2
play,4,1,zavas001,11,L*BX,9/F9D.2-3
play,4,1,andre001,32,BF*BBF>B,W.1-2
play,4,1,sosal001,12,CF*BS,K
play,4,1,benia002,11,BFX,43/G34
play,5,1,vauga001,00,,NP
play,5,1,vauga001,00,.,NP
play,5,1,vauga001,32,..BFBBCS,K
play,5,1,robel002,32,BBBCFX,53/G15-
play,5,1,jimee001,11,FBX,S8/L8D+
play,5,1,sheeg001,12,C*BSS,K
play,6,1,burgj001,00,,NP
