Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,0,maton001,01,CX,3/G3
play,1,0,greer003,12,FBSFX,7/F7LD
play,1,0,baezj001,22,CBFBS,K
play,2,0,carpk001,02,CSS,K
play,2,0,meada001,02,CFC,K
play,2,0,torks001,01,CX,S8/L78D+
play,2,0,cabrm001,00,X,E5/G56.1-2;B-1
play,2,0,mckiz001,12,VFFS,K
play,3,0,haase001,11,BCX,63/G6
play,3,0,maton001,32,BBSBC.B,W
play,3,0,greer003,00,X,6/L6M+
play,3,0,baezj001,11,CBX,7/F7D
play,4,0,carpk001,32,BFBSFBFX,D9/F9LD+
play,4,0,meada001,12,SSBFX,9/F9L.2-3
play,4,0,torks001,02,CFFFX,13/G1S
play,4,0,cabrm001,12,SC*BFFFX,S9/L9S.3-H
play,4,0,mckiz001,11,BSX,3/G3S
play,5,0,haase001,00,,NP
play,5,0,haase001,00,.,NP
play,5,0,haase001,10,..BX,53/G56S
play,5,0,maton001,12,SBCX,31/G3
play,5,0,greer003,02,FFS,K
play,6,0,baezj001,00,,NP
play,1,0,kempt001,11,CBX,43/G4
play,1,0,nodar001,21,BBFX,43/G34
play,1,0,diaza003,12,CBFS,K
play,2,0,brows003,11,BSX,S9/L9LS
play,2,0,aguij001,02,CFS,K
play,2,0,laurr001,31,BBBCX,D7/L7LD.1-3
play,2,0,petej002,02,SFFX,S8/G4M.3-H;2XH(82)
play,2,0,langs001,00,X,S8/G6+.1-2
play,2,0,ruize001,02,FSS,K
play,3,0,kempt001,11,BCX,31/G3
play,3,0,nodar001,11,BCX,HR/F89XD
play,3,0,diaza003,02,CFS,K
play,3,0,brows003,12,CBF.C,K
play,4,0,aguij001,20,BBX,S8/G6M+
play,4,0,laurr001,11,CBX,8/F8XD+
play,4,0,petej002,01,FX,9/F9D
play,4,0,langs001,01,CX,4(1)/FO/G4M.B-1
play,5,0,ruize001,01,MX,S7/L78D+
play,5,0,kempt001,01,F1>X,7/F7
play,5,0,nodar001,01,C>B,SB2
play,5,0,nodar001,11,C>B.X,43/G34.2-3
play,5,0,diaza003,32,C*BBCFBX,DGR/L78XD+.3-H
play,5,0,brows003,12,*BCFC,K
play,6,0,aguij001,12,BCC.*S,K
play,6,0,laurr001,22,CBBS.FX,S14/G1+
play,6,0,petej002,00,X,16(1)3/GDP/G4S
play,7,0,langs001,00,,NP
play,1,0,robel002,02,FCX,S84/L8S
play,1,0,benia002,01,FX,9/F9LD
play,1,0,vauga001,00,>B,SB2.1-3(E2/TH)
play,1,0,vauga001,22,>B.CBCX,53/G56S
play,1,0,jimee001,22,BFFBS,K
play,2,0,sheeg001,12,BFSFC,K
play,2,0,burgj001,12,BCCX,53/G5
play,2,0,andre001,22,CBSBX,63/G56
play,3,0,zavas001,11,CBX,63/G6
play,3,0,sosal001,32,CBFBBX,7/F7S
play,3,0,robel002,20,BBX,63/G56
play,4,0,benia002,32,BBBCCFX,D8/F89XD+
play,4,0,vauga001,12,BCCX,3/P3F/FL
play,4,0,jimee001,00,X,D8/F78XD+.2-H
play,4,0,sheeg001,00,X,9/F9D.2-3
play,4,0,burgj001,32,BCBF*B.S,K
play,5,0,andre001,12,CBCS,K
play,5,0,zavas001,00,X,63/G6
play,5,0,sosal001,01,CX,43/G4+
play,6,0,robel002,00,,NP
play,1,0,marct001,00,X,3/G3
play,1,0,reynb001,01,CX,7/F78S
play,1,0,mccua001,22,BCFBC,K
play,2,0,santc002,02,CSX,3/G3
play,2,0,suwij001,20,BBX,7/F8
play,2,0,joe-c001,22,CBCBC,K
play,3,0,hayek001,12,CSBX,S9/G34
play,3,0,bae-j001,00,X,46(1)/FO/G34.B-1
play,3,0,delaj004,01,FX,64(1)3/GDP/G6
play,4,0,marct001,12,CC.BC,K
play,4,0,reynb001,12,SBFX,S8/G4
play,4,0,mccua001,02,CSS,K
play,4,0,santc002,10,*BX,3/G3
play,5,0,suwij001,12,FBSC,K
play,5,0,joe-c001,22,FBBFFF.C,K
play,5,0,hayek001,11,SBX,8/L8XD+
play,6,0,bae-j001,32,CFBBBX,63/G6D
play,6,0,delaj004,02,CSS,K
play,6,0,marct001,12,CBFC,K
play,7,0,reynb001,22,SS.BFBC,K
play,7,0,mccua001,01,FX,53/G5
play,7,0,santc002,00,X,D9/G3
play,7,0,suwij001,12,BSFFS,K
play,8,0,joe-c001,00,,NP
play,1,0,yelic001,01,CX,8/F8XD+
play,1,0,winkj002,12,CBCS,K
play,1,0,adamw002,12,FS.BFFX,8/F89XD
play,2,0,tellr001,01,CX,3/G3
play,2,0,andeb006,02,CS.X,13/G1
play,2,0,carav001,22,BF.BSC,K
play,3,0,millo002,12,CBFX,HR/L7LD
play,3,0,turab002,00,X,S7/L7S
play,3,0,taylt002,00,>C,CS2(24)
play,3,0,taylt002,22,>C.BBFFS,K
play,3,0,yelic001,12,SSBX,31/G34
play,4,0,winkj002,01,FX,9/F9LD
play,4,0,adamw002,11,CBX,S9/L9
play,4,0,tellr001,01,FX,5/P56
play,4,0,andeb006,12,TF*BX,HR/F7D.1-H
play,4,0,carav001,22,BCBFS,K
play,5,0,millo002,22,CFBBC,K
play,5,0,turab002,00,X,6/P6D
play,5,0,taylt002,02,CCS,K
play,6,0,yelic001,01,CX,43/G4S
play,6,0,winkj002,22,SSBBX,31/G3D
play,6,0,adamw002,12,CS.BX,9/F89
play,7,0,tellr001,12,CFB*S,K
play,7,0,andeb006,10,BX,8/F8XD
play,7,0,carav001,22,CS.BFBS,K
play,8,0,millo002,00,,NP
play,8,0,millo002,00,.,NP
play,1,0,bichb001,12,CBCFX,43/G34
play,1,0,varsd001,31,BBBCB,W
play,1,0,guerv002,10,BX,S8/G6M.1-3
play,1,0,beltb001,11,CBX,S7/L7L.3-H;1-2
play,1,0,chapm001,00,X,7/L7D
play,1,0,luken001,10,BX,9/F9LF/FL
play,2,0,kirka001,12,CBSFFX,S7/G6
play,2,0,kierk001,00,X,46(1)3/GDP/G34
play,2,0,biggc002,21,BCBX,9/F9
play,3,0,bichb001,21,BSBX,9/L9D
play,3,0,varsd001,00,X,3/G3
play,3,0,guerv002,22,CCBBX,63/G6
play,4,0,beltb001,12,BCFX,E3/G3.B-1
play,4,0,chapm001,02,CFX,54(1)/FO/G56S.B-1
play,4,0,luken001,00,X,13/G23-.1-2
play,4,0,kirka001,22,*BBFFX,9/L9LD
play,5,0,kierk001,12,CSFFBX,31/G3D
play,5,0,biggc002,31,BBBCX,31/G3
play,5,0,bichb001,21,BBCX,S5/G5
play,5,0,varsd001,01,FX,9/F9LD
play,6,0,guerv002,21,BBCX,53/G56
play,6,0,beltb001,32,CBBCBB,W
play,6,0,chapm001,00,X,64(1)/FO/G56.B-1
play,6,0,luken001,10,BX,8/L8D+
play,7,0,kirka001,00,X,S57/G56
play,7,0,kierk001,11,CBX,6(1)3/GDP/G6M
play,7,0,biggc002,22,FBBC.X,S9/G3
play,7,0,bichb001,11,BCX,64(1)/FO/G6.B-1
play,8,0,varsd001,00,,NP
play,1,0,polaj001,22,FBFFFBFFS,K
play,1,0,kiria001,22,BFBFC,K
