id,CHN202305310
version,2
info,visteam,TBA
info,hometeam,CHN
info,site,CHI11
info,date,2023/05/31
info,number,0
info,gametype,regular
info,starttime,1:20PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,littw901
info,ump1b,addir901
info,ump2b,merzd901
info,ump3b,barkl901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/06/13 09:05:22
info,howscored,unknown
info,pitches,pitches
info,oscorer,lissr701
info,temp,83
info,winddir,rtol
info,windspeed,8
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,173
info,attendance,29360
info,wp,pochc001
info,lp,leitm002
info,save,beekj001
start,diazy001,"Yandy Diaz",0,1,3
start,arozr001,"Randy Arozarena",0,2,7
start,ramih004,"Harold Ramirez",0,3,10
start,parei001,"Isaac Paredes",0,4,5
start,margm001,"Manuel Margot",0,5,9
start,loweb001,"Brandon Lowe",0,6,4
start,bethc001,"Christian Bethancourt",0,7,2
start,wallt003,"Taylor Walls",0,8,6
start,sirij001,"Jose Siri",0,9,8
start,efliz001,"Zach Eflin",0,0,1
start,hoern001,"Nico Hoerner",1,1,10
start,swand001,"Dansby Swanson",1,2,6
start,happi001,"Ian Happ",1,3,7
start,suzus001,"Seiya Suzuki",1,4,9
start,taucm001,"Mike Tauchman",1,5,8
start,mervm001,"Matt Mervis",1,6,3
start,wisdp001,"Patrick Wisdom",1,7,5
start,mastm001,"Miles Mastrobuoni",1,8,4
start,barnt001,"Tucker Barnhart",1,9,2
start,steej002,"Justin Steele",1,0,1
play,1,0,diazy001,11,CBX,13/G1S
play,1,0,arozr001,32,CBSBFBFS,K
play,1,0,ramih004,10,BX,63/G6
play,1,1,hoern001,32,CBBBCB,W
play,1,1,swand001,01,C>S,SB2
play,1,1,swand001,02,C>S.X,53/G56
play,1,1,happi001,32,C*BFBBFX,S8/G4.2-H
play,1,1,suzus001,02,CC>B,SB2
play,1,1,suzus001,22,CC>B.BFC,K
play,1,1,taucm001,00,X,S9/L9+.2-H
play,1,1,mervm001,20,B1B>B,CS2(26)
play,2,0,parei001,10,BX,7/F7
play,2,0,margm001,12,CFBX,63/G6
play,2,0,loweb001,10,BX,5/P56D
play,2,1,mervm001,00,X,3/G23-
play,2,1,wisdp001,21,BBCX,E5/G56.B-1
play,2,1,mastm001,00,>C,CS2(26)
play,2,1,mastm001,12,>C.BFS,K
play,3,0,bethc001,02,SC.X,53/G56
play,3,0,wallt003,11,BFX,5/L5F/FL
play,3,0,sirij001,10,BX,53/G5
play,3,1,barnt001,21,BFBX,53/G6S-
play,3,1,hoern001,11,FBX,9/L9L
play,3,1,swand001,01,SX,6/L6
play,4,0,diazy001,00,,NP
sub,wesnh001,"Hayden Wesneski",1,0,1
play,4,0,diazy001,32,.CBSBFBX,9/L9D+
play,4,0,arozr001,32,BBCBSB,W
play,4,0,ramih004,11,BF1X,5/P15
play,4,0,parei001,12,1CC.*BS,K
play,4,1,happi001,10,BX,43/G34
play,4,1,suzus001,01,CX,S7/G56
play,4,1,taucm001,22,BTBFX,8/F8D
play,4,1,mervm001,32,BCBFB>F>S,K
play,5,0,margm001,11,BCX,S6/G56
play,5,0,loweb001,22,BFBFC,K
play,5,0,bethc001,12,CFBX,2/P2F-/FL
play,5,0,wallt003,11,1CBX,43/G34
play,5,1,wisdp001,32,BSBF.BX,23/G2-
play,5,1,mastm001,12,CSBFX,63/G2
play,5,1,barnt001,10,BX,63/G6M
play,6,0,sirij001,02,CSS,K
play,6,0,diazy001,11,BFX,9/F9LS
play,6,0,arozr001,00,X,63/G6
com,"$Cubs pitcher Justin Steele left the game due to an injured arm."
play,6,1,hoern001,22,.CBFBS,K
play,6,1,swand001,00,X,63/G6D
play,6,1,happi001,22,SSBBFS,K
play,7,0,ramih004,32,BBCCBS,K
play,7,0,parei001,22,BFCBX,63/G1S-
play,7,0,margm001,32,CBBBFB,W
play,7,0,loweb001,00,,NP
sub,leitm002,"Mark Leiter Jr.",1,0,1
play,7,0,loweb001,01,.CX,HR/F8XD.1-H
play,7,0,bethc001,02,FCS,K
play,7,1,suzus001,22,CBFBX,D7/L7L
play,7,1,taucm001,00,,NP
