id,KCA202307160
version,2
info,visteam,TBA
info,hometeam,KCA
info,site,KAN06
info,date,2023/07/16
info,number,0
info,gametype,regular
info,starttime,1:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,willr901
info,ump1b,fleta901
info,ump2b,mosce901
info,ump3b,bacce901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/08/02 12:05:14
info,howscored,unknown
info,pitches,pitches
info,oscorer,butcp701
info,temp,70
info,winddir,rtol
info,windspeed,5
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,114
info,attendance,15632
info,wp,singb001
info,lp,efliz001
info,save,
start,loweb001,"Brandon Lowe",0,1,4
start,franw002,"Wander Franco",0,2,6
start,arozr001,"Randy Arozarena",0,3,7
start,ralel001,"Luke Raley",0,4,10
start,lowej002,"Josh Lowe",0,5,9
start,parei001,"Isaac Paredes",0,6,5
start,aranj001,"Jonathan Aranda",0,7,3
start,margm001,"Manuel Margot",0,8,8
start,mejif001,"Francisco Mejia",0,9,2
start,efliz001,"Zach Eflin",0,0,1
start,massm001,"Michael Massey",1,1,4
start,wittb002,"Bobby Witt Jr.",1,2,6
start,peres002,"Salvador Perez",1,3,2
start,melem001,"MJ Melendez",1,4,10
start,garcm003,"Maikel Garcia",1,5,5
start,isbek001,"Kyle Isbel",1,6,8
start,wated001,"Drew Waters",1,7,9
start,pratn001,"Nick Pratto",1,8,3
start,lopen001,"Nicky Lopez",1,9,7
start,singb001,"Brady Singer",1,0,1
play,1,0,loweb001,00,X,43/G34
play,1,0,franw002,01,CX,3/G3
play,1,0,arozr001,02,CCFX,63/G6
play,1,1,massm001,00,X,5/P6S
play,1,1,wittb002,10,BX,53/G5D
play,1,1,peres002,10,BX,S7/L78D
play,1,1,melem001,12,FBFX,D8/L89XD+.1-H;BX3(8425)
play,2,0,ralel001,11,CBX,6/F78S
play,2,0,lowej002,10,BX,43/G34
play,2,0,parei001,00,X,53/G5
play,2,1,garcm003,12,SBCX,53/G56
play,2,1,isbek001,10,BX,S9/G34
play,2,1,wated001,00,X,T8/F78XD+.1-H
play,2,1,pratn001,12,SSBFX,S8/L8D+.3-H
play,2,1,lopen001,10,BX,S8/G6M.1-3
play,2,1,massm001,01,CX,6/P6D
play,2,1,wittb002,22,FFFF>FBBX,T8/F8XD+.3-H;1-H
play,2,1,peres002,00,,NP
sub,fermf002,"Freddy Fermin",1,3,11
play,2,1,fermf002,31,.CBBBX,63/G6
play,3,0,aranj001,00,,NP
sub,fermf002,"Freddy Fermin",1,3,2
play,3,0,aranj001,11,.CBX,3/G3
play,3,0,margm001,22,CBBCX,S4/G4
play,3,0,mejif001,01,1CX,3/P3F/FL
play,3,0,loweb001,00,X,43/G34
play,3,1,melem001,00,X,8/L8XD+
play,3,1,garcm003,12,BCFX,63/G6
play,3,1,isbek001,11,BFX,8/F8D
play,4,0,franw002,01,FX,S9/L89D+
play,4,0,arozr001,10,BX,64(1)3/GDP/G6+
play,4,0,ralel001,11,SBX,D5/F7LS
play,4,0,lowej002,12,CBSX,8/F8D
play,4,1,wated001,00,,NP
