id,MIA202308300
version,2
info,visteam,TBA
info,hometeam,MIA
info,site,MIA02
info,date,2023/08/30
info,number,0
info,gametype,regular
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,addir901
info,ump1b,barkl901
info,ump2b,dejer901
info,ump3b,littw901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/09/22 09:02:16
info,howscored,unknown
info,pitches,pitches
info,oscorer,garnj701
info,temp,72
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,152
info,attendance,9803
info,wp,armss001
info,lp,robed002
info,save,fairp001
start,diazy001,"Yandy Diaz",0,1,3
start,arozr001,"Randy Arozarena",0,2,7
start,ramih004,"Harold Ramirez",0,3,10
start,parei001,"Isaac Paredes",0,4,5
start,loweb001,"Brandon Lowe",0,5,4
start,basao001,"Osleivis Basabe",0,6,6
start,sirij001,"Jose Siri",0,7,8
start,bethc001,"Christian Bethancourt",0,8,2
start,brujv001,"Vidal Brujan",0,9,9
start,efliz001,"Zach Eflin",0,0,1
start,arral001,"Luis Arraez",1,1,4
start,bellj005,"Josh Bell",1,2,10
start,burgj001,"Jake Burger",1,3,5
start,chisj001,"Jazz Chisholm Jr.",1,4,8
start,delab001,"Bryan De La Cruz",1,5,7
start,sancj003,"Jesus Sanchez",1,6,9
start,gurry001,"Yuli Gurriel",1,7,3
start,wendj002,"Joey Wendle",1,8,6
start,fortn001,"Nick Fortes",1,9,2
start,luzaj001,"Jesus Luzardo",1,0,1
play,1,0,diazy001,02,CFFS,K
play,1,0,arozr001,22,BCBCX,63/G6
play,1,0,ramih004,12,CSBT,K
play,1,1,arral001,01,CX,S7/F7S
play,1,1,bellj005,10,BX,46(1)3/GDP/G34
play,1,1,burgj001,22,CC.BBFX,8/L8D+
play,2,0,parei001,12,FC.BFFX,8/F78D
play,2,0,loweb001,22,BSS.FBS,K
play,2,0,basao001,32,BBBCFF.S,K
play,2,1,chisj001,02,CCC,K
play,2,1,delab001,00,X,D7/L7LD+
play,2,1,sancj003,22,BBCCX,163/G4MS.2-3
play,2,1,gurry001,22,CSFBBS,K
play,3,0,sirij001,02,SSFS,K
play,3,0,bethc001,10,BX,3/G34S-
play,3,0,brujv001,11,BFX,4/F9S
play,3,1,wendj002,01,FX,3/G3
play,3,1,fortn001,11,BFX,53/G5
play,3,1,arral001,01,FX,43/G4
play,4,0,diazy001,32,FBFFBFBB,W
play,4,0,arozr001,30,*B*BBB,W.1-2
play,4,0,ramih004,02,FFX,64(1)/FO/G6.2-3;B-1
play,4,0,parei001,01,SC,WP.1-2
play,4,0,parei001,22,SC.*B*BX,9/F3D
play,4,0,loweb001,32,CB*BS.*BC,K
play,4,1,bellj005,12,CBFS,K
play,4,1,burgj001,12,BCS.S,K
play,4,1,chisj001,20,BBX,8/F8XD+
play,5,0,basao001,11,FBX,13/G34S
play,5,0,sirij001,22,CBBSFFX,9/F89D
play,5,0,bethc001,12,FSBS,K
play,5,1,delab001,00,X,9/F89D
play,5,1,sancj003,10,BX,D9/L89XD+
play,5,1,gurry001,12,CCFBX,43/G4.2-3
play,5,1,wendj002,10,B+3,PO3(25)
play,6,0,brujv001,01,CX,7/L7D+
play,6,0,diazy001,20,BBX,D8/L89D
play,6,0,arozr001,32,BB*BFFFX,8/F78XD
play,6,0,ramih004,02,FCS,K
play,6,1,wendj002,10,BX,8/F8D
play,6,1,fortn001,22,FBFBX,63/G6S
play,6,1,arral001,22,BCBFX,3/G3
play,7,0,parei001,00,,NP
sub,puk-a001,"A.J. Puk",1,0,1
play,7,0,parei001,12,.BFF*S,K
play,7,0,loweb001,31,BCBBB,W
play,7,0,basao001,31,BBCBB,W.1-2
play,7,0,sirij001,31,BFBBB,W.2-3;1-2
play,7,0,bethc001,00,,NP
sub,narda001,"Andrew Nardi",1,0,1
play,7,0,bethc001,12,.FBFFFS,K
play,7,0,brujv001,10,BX,9/F9LS
play,7,1,bellj005,01,FX,8/F78XD+
play,7,1,burgj001,11,BCX,S7/G6
play,7,1,chisj001,00,,NP
