id,ATL202304100
version,2
info,visteam,CIN
info,hometeam,ATL
info,site,ATL03
info,date,2023/04/10
info,number,0
info,gametype,regular
info,starttime,7:20PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,tumpj901
info,ump1b,blakr901
info,ump2b,hudsm901
info,ump3b,wendh902
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/05/20 17:38:56
info,howscored,unknown
info,pitches,pitches
info,oscorer,mustr701
info,temp,65
info,winddir,ltor
info,windspeed,9
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,167
info,attendance,30237
info,wp,lee-d005
info,lp,law-d001
info,save,
start,indij001,"Jonathan India",0,1,4
start,friet001,"TJ Friedl",0,2,8
start,fralj001,"Jake Fraley",0,3,9
start,stept001,"Tyler Stephenson",0,4,2
start,myerw001,"Wil Myers",0,5,10
start,voslj001,"Jason Vosler",0,6,3
start,stees001,"Spencer Steer",0,7,5
start,bensw001,"Will Benson",0,8,7
start,garcj007,"Jose Barrero",0,9,6
start,ashcg001,"Graham Ashcraft",0,0,1
start,acunr001,"Ronald Acuna Jr.",1,1,9
start,olsom001,"Matt Olson",1,2,3
start,rilea001,"Austin Riley",1,3,5
start,murps001,"Sean Murphy",1,4,2
start,albio001,"Ozzie Albies",1,5,4
start,rosae001,"Eddie Rosario",1,6,10
start,arcio002,"Orlando Arcia",1,7,6
start,pillk001,"Kevin Pillar",1,8,7
start,white006,"Eli White",1,9,8
start,eldeb001,"Bryce Elder",1,0,1
play,1,0,indij001,01,CX,S7/L7D
play,1,0,friet001,32,CCBBB>B,W.1-2
play,1,0,fralj001,22,FBTBX,6(1)3/GDP/G6M.2-3
play,1,0,stept001,12,CBSS,K
play,1,1,acunr001,02,CFFX,S14/G4MS
play,1,1,olsom001,30,BBBB,W.1-2
play,1,1,rilea001,02,CSX,46(1)3/GDP/G4.2-3
play,1,1,murps001,22,*BBFCFS,K
play,2,0,myerw001,22,BSBSFS,K
play,2,0,voslj001,12,CFFFBT,K
play,2,0,stees001,01,CX,D9/L9
play,2,0,bensw001,32,BBCSBC,K
play,2,1,albio001,12,CCBX,1/G34S
play,2,1,rosae001,32,BFFBFBB,W
play,2,1,arcio002,00,X,S9/G3.1-2
play,2,1,pillk001,20,BBX,2/P2F/FL
play,2,1,white006,22,BFBSS,K
play,3,0,garcj007,00,X,S56/G56
play,3,0,indij001,22,CBFBX,9/F9LS
play,3,0,friet001,32,BBBCC>X,7/F78S
play,3,0,fralj001,00,X,S7/F7L.1-2
play,3,0,stept001,22,C*BFBFS,K
play,3,1,acunr001,00,X,S8/G6M+
play,3,1,olsom001,11,1BCX,36(1)1/GDP/G3S+
play,3,1,rilea001,12,BFFS,K
play,4,0,myerw001,32,BBFSBFFX,63/G6
play,4,0,voslj001,00,X,13/G1S
play,4,0,stees001,12,CBT.C,K
play,4,1,murps001,31,FBBBX,D7/G5
play,4,1,albio001,32,BFBBTS,K
play,4,1,rosae001,00,X,7/F7L
play,4,1,arcio002,12,CSBS,K
play,5,0,bensw001,11,TBX,43/G4D
play,5,0,garcj007,11,BCX,S6/G6+
play,5,0,indij001,11,BCX,46(1)3/GDP/G4
play,5,1,pillk001,12,FFBX,3/P3
play,5,1,white006,10,BX,13/G34S
play,5,1,acunr001,21,FBBX,8/F8XD+
play,6,0,friet001,12,CBFL,K
play,6,0,fralj001,02,FCX,9/L9D+
play,6,0,stept001,11,BSX,13/G1S-
play,6,1,olsom001,12,CCBS,K
play,6,1,rilea001,01,FX,S9/L9
play,6,1,murps001,01,CX,D7/G5.1-H
play,6,1,albio001,12,BFFFFS,K
play,6,1,rosae001,02,FFFFFFX,31/G3
play,7,0,myerw001,12,CBCX,S7/L7D
play,7,0,voslj001,32,CBSF*BFFFFBX,3/P3F/FL
play,7,0,stees001,00,,NP
sub,chavj001,"Jesse Chavez",1,0,1
play,7,0,stees001,12,.CC1BX,54(1)/FO/G56S+.B-1
play,7,0,bensw001,22,BSBCX,8/F8XD+
play,7,1,arcio002,31,BBBCB,W
play,7,1,pillk001,00,,NP
sub,farmb001,"Buck Farmer",0,0,1
play,7,1,pillk001,02,.FFC,K
play,7,1,white006,22,C1BSBFS,K
play,7,1,acunr001,11,C.BX,S7/G5.1-3
play,7,1,olsom001,00,,NP
sub,sanmr001,"Reiver Sanmartin",0,0,1
play,7,1,olsom001,30,.BBBB,W.1-2
play,7,1,rilea001,12,BFFB,WP.3-H(NR);2-3;1-2
play,7,1,rilea001,22,BFFB.S,K
play,8,0,garcj007,00,,NP
sub,anden001,"Nick Anderson",1,0,1
play,8,0,garcj007,22,.BCBTS,K
play,8,0,indij001,12,CCBX,D7/L7LD+
play,8,0,friet001,01,CX,9/L9
play,8,0,fralj001,00,X,S9/L9LS.2-H
play,8,0,stept001,22,CSBFB>X,53/G56
play,8,1,murps001,32,SCBFBBS,K
play,8,1,albio001,22,SBFFFBX,S67/G6+
