id,CHN202308050
version,2
info,visteam,ATL
info,hometeam,CHN
info,site,CHI11
info,date,2023/08/05
info,number,0
info,gametype,regular
info,starttime,1:20PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,blakr901
info,ump1b,hudsm901
info,ump2b,wendh902
info,ump3b,tumpj901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/08/12 12:30:46
info,howscored,unknown
info,pitches,pitches
info,oscorer,speaa701
info,temp,73
info,winddir,fromrf
info,windspeed,11
info,fieldcond,unknown
info,precip,rain
info,sky,overcast
info,timeofgame,190
info,attendance,40201
info,wp,fulmm001
info,lp,eldeb001
info,save,
start,acunr001,"Ronald Acuna Jr.",0,1,9
start,albio001,"Ozzie Albies",0,2,4
start,rilea001,"Austin Riley",0,3,5
start,olsom001,"Matt Olson",0,4,3
start,murps001,"Sean Murphy",0,5,2
start,ozunm001,"Marcell Ozuna",0,6,10
start,rosae001,"Eddie Rosario",0,7,7
start,arcio002,"Orlando Arcia",0,8,6
start,harrm004,"Michael Harris II",0,9,8
start,eldeb001,"Bryce Elder",0,0,1
start,taucm001,"Mike Tauchman",1,1,9
start,hoern001,"Nico Hoerner",1,2,4
start,happi001,"Ian Happ",1,3,7
start,bellc002,"Cody Bellinger",1,4,8
start,swand001,"Dansby Swanson",1,5,6
start,morec001,"Christopher Morel",1,6,10
start,candj002,"Jeimer Candelario",1,7,3
start,gomey001,"Yan Gomes",1,8,2
start,madrn001,"Nick Madrigal",1,9,5
start,assaj001,"Javier Assad",1,0,1
play,1,0,acunr001,32,CS.BFBFBX,S9/L9L+
play,1,0,albio001,30,BB1B>C,SB2
play,1,0,albio001,32,BB1B>C.CS,K
play,1,0,rilea001,00,X,53/G56
play,1,0,olsom001,00,X,7/L7D+
play,1,1,taucm001,31,BBBCB,W
play,1,1,hoern001,31,BC*BBB,W.1-2
play,1,1,happi001,01,CX,31/G34.2-3;1-2
play,1,1,bellc002,12,S*B.CX,E3/G34D.3-H;2-H(NR);B-1
play,1,1,swand001,12,SC*B>B,SB2
play,1,1,swand001,32,SC*B>B.B.FX,HR/F8XD.2-H(UR)
play,1,1,morec001,12,CCBS,K
play,1,1,candj002,11,BCX,HR/F89XD.B-H(UR)
play,1,1,gomey001,21,BCBX,6/L6
play,2,0,murps001,32,BCBFFBX,S7/L7D
play,2,0,ozunm001,32,BFFBBX,S9/L9+.1-2
play,2,0,rosae001,22,B*BFCFX,3/G3.2-3;1-2
play,2,0,arcio002,32,*BBFBFX,9/SF/F9S.3-H;2-3
play,2,0,harrm004,31,BCBBX,3/G34
play,2,1,madrn001,21,BCBX,63/G6
play,2,1,taucm001,10,BX,6/L6D
play,2,1,hoern001,02,CT.S,K
play,3,0,acunr001,02,FSFS,K
play,3,0,albio001,20,BBX,HR/F78XD
play,3,0,rilea001,30,BBBB,W
play,3,0,olsom001,22,BCFBFFX,46(1)3/GDP/G34
play,3,1,happi001,32,FTBFBBX,8/L8XD+
play,3,1,bellc002,11,C.BX,S7/L78
play,3,1,swand001,32,B*BBC1F.>X,8/F89
play,3,1,morec001,32,CB*BB1C.>C,K
play,4,0,murps001,12,CFBX,7/F7S
play,4,0,ozunm001,12,BCC.FFFC,K
com,"ej,ozunm001,P,blakr901,Called third strike"
com,"$Braves designated hitter Marcell Ozuna ejected by HP umpire Ryan Blakney"
com,"for arguing called third strike"
play,4,0,rosae001,30,.BBBB,W
play,4,0,arcio002,21,*BBCX,D7/L78XD+.1-3
play,4,0,harrm004,00,,NP
sub,fulmm001,"Michael Fulmer",1,0,1
play,4,0,harrm004,22,.BBCSFFX,31/G34
play,4,1,candj002,00,X,D8/F8XD+
play,4,1,gomey001,11,FBX,63/G6
play,4,1,madrn001,02,C.FX,S9/L89.2-H
play,4,1,taucm001,22,BCFBX,S5/G5-.1-2
play,4,1,hoern001,32,BBBCC>X,43/G4M.2-3;1-2
play,4,1,happi001,02,SSX,9/L9D+
play,5,0,acunr001,11,FBX,S8/L8
play,5,0,albio001,22,BCBFX,84(1)/FO/F8S.B-1
com,"$Cubs challenged (force play), call on the field was overturned."
play,5,0,rilea001,32,SSB*B*B>S,K+SB2
play,5,0,olsom001,12,CBFS,K
play,5,1,bellc002,30,BBBB,W
play,5,1,swand001,11,C*BX,43/G34.1-2
play,5,1,morec001,21,BSBX,S9/F9S.2-H
play,5,1,candj002,00,,NP
sub,tonkm001,"Michael Tonkin",0,0,1
play,5,1,candj002,01,.CX,3/G3S.1-2
play,5,1,gomey001,22,F*BFFBC,K
play,6,0,murps001,00,,NP
sub,paled001,"Daniel Palencia",1,0,1
play,6,0,murps001,31,.BCBBX,63/G56
play,6,0,ozunm001,00,,NP
sub,darnt001,"Travis d'Arnaud",0,6,11
play,6,0,darnt001,30,.BBBB,W
play,6,0,rosae001,32,BBCBFB,W.1-2
play,6,0,arcio002,32,SBC*BB*B,W.2-3;1-2
play,6,0,harrm004,00,,NP
sub,leitm002,"Mark Leiter Jr.",1,0,1
play,6,0,harrm004,21,.BBCX,7/SF/L7D+.3-H
play,6,0,acunr001,21,BBFX,S9/L89D.2-H;1-3
play,6,0,albio001,32,FBBBC>B,W.1-2
play,6,0,rilea001,12,BCSS,K
play,6,1,madrn001,10,.BX,7/F78S
play,6,1,taucm001,32,CBBF.BC,K
play,6,1,hoern001,02,CFX,13/G1
play,7,0,olsom001,00,,NP
sub,merrj001,"Julian Merryweather",1,0,1
play,7,0,olsom001,32,.BFSBFBFX,63/G6M+
play,7,0,murps001,12,BSS.FX,6/P6M
play,7,0,darnt001,21,BFBX,S9/L9
play,7,0,rosae001,12,BSFS,K
play,7,1,happi001,00,,NP
sub,minta001,"A.J. Minter",0,0,1
play,7,1,happi001,00,.X,HR/F78XD
play,7,1,bellc002,32,BFBFBX,D9/L9LD+
play,7,1,swand001,12,BCSFT,K
play,7,1,morec001,01,FX,53/G5+
play,7,1,candj002,31,BBBCX,4/P4MD
play,8,0,arcio002,02,CFFX,43/G34
play,8,0,harrm004,30,BBBB,W
play,8,0,acunr001,21,BFBX,64(1)3/GDP/G6
play,8,1,gomey001,00,,NP
sub,johnp001,"Pierce Johnson",0,0,1
play,8,1,gomey001,10,.BX,23/G2-
play,8,1,madrn001,11,CBX,S9/L89D
play,8,1,taucm001,12,FFBX,46(1)/FO/G34.B-1
play,8,1,hoern001,12,CC>FFBFC,K
play,9,0,albio001,00,,NP
sub,alzoa001,"Adbert Alzolay",1,0,1
play,9,0,albio001,11,.BFX,8/F89XD+
play,9,0,rilea001,10,BX,S7/G5+
play,9,0,olsom001,11,SBN,BK.1-2
play,9,0,olsom001,32,SBN.CFBFFBX,HR/F8XD.2-H
play,9,0,murps001,00,X,13/G2-
play,9,0,darnt001,32,BCBB.CX,43/G34
data,er,tonkm001,0
data,er,johnp001,0
data,er,minta001,1
data,er,eldeb001,5
data,er,alzoa001,2
data,er,paled001,2
data,er,assaj001,2
data,er,leitm002,0
data,er,fulmm001,0
data,er,merrj001,0
