id,MIA202305020
version,2
info,visteam,ATL
info,hometeam,MIA
info,site,MIA02
info,date,2023/05/02
info,number,0
info,gametype,regular
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,barrl901
info,ump1b,ramoc901
info,ump2b,dejer901
info,ump3b,eddid901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/05/20 17:39:20
info,howscored,unknown
info,pitches,pitches
info,oscorer,garnj701
info,temp,72
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,160
info,attendance,8626
info,wp,eldeb001
info,lp,alcas001
info,save,
start,acunr001,"Ronald Acuna Jr.",0,1,9
start,olsom001,"Matt Olson",0,2,3
start,rilea001,"Austin Riley",0,3,5
start,murps001,"Sean Murphy",0,4,2
start,rosae001,"Eddie Rosario",0,5,7
start,albio001,"Ozzie Albies",0,6,4
start,harrm004,"Michael Harris II",0,7,8
start,ozunm001,"Marcell Ozuna",0,8,10
start,grisv001,"Vaughn Grissom",0,9,6
start,eldeb001,"Bryce Elder",0,0,1
start,chisj001,"Jazz Chisholm Jr.",1,1,8
start,solej001,"Jorge Soler",1,2,10
start,gurry001,"Yuli Gurriel",1,3,3
start,arral001,"Luis Arraez",1,4,4
start,delab001,"Bryan De La Cruz",1,5,7
start,sancj003,"Jesus Sanchez",1,6,9
start,seguj002,"Jean Segura",1,7,5
start,stalj001,"Jacob Stallings",1,8,2
start,bertj001,"Jon Berti",1,9,6
start,alcas001,"Sandy Alcantara",1,0,1
play,1,0,acunr001,11,FBX,D8/L8XD+
play,1,0,olsom001,32,BBFBSFFFT,K
play,1,0,rilea001,00,X,53/G56
play,1,0,murps001,02,SSS,K
play,1,1,chisj001,12,FBCX,53/G56
play,1,1,solej001,12,CFBS,K
play,1,1,gurry001,32,CBFFBFBX,53/G56
play,2,0,rosae001,02,FSFX,8/L78D
play,2,0,albio001,11,FBX,HR/F9LD
play,2,0,harrm004,21,BBCX,5/P5
play,2,0,ozunm001,31,BBSBX,S8/L8D
play,2,0,grisv001,32,S*BFF*BFBH,HP.1-2
play,2,0,acunr001,32,*BBBCS>F2>F>S,K
play,2,1,arral001,01,CX,S7/L7
play,2,1,delab001,12,FCBFS,K
play,2,1,sancj003,12,BCFF1F*S,K
play,2,1,seguj002,32,BBSBC>X,3/G1S
play,3,0,olsom001,11,BCX,S8/G4M
play,3,0,rilea001,12,CCBX,S7/G56.1-2
play,3,0,murps001,01,FH,HP.2-3;1-2
play,3,0,rosae001,00,X,46(1)3/GDP/G4.3-H(NR);2-3
play,3,0,albio001,00,X,43/G4
play,3,1,stalj001,21,BBCX,53/G5
play,3,1,bertj001,10,BX,E5/TH/G5.B-1
play,3,1,chisj001,12,FBC.*S,K
play,3,1,solej001,00,N,BK.1-2
play,3,1,solej001,30,N.BBBX,4/F6MD
play,4,0,harrm004,02,FSFT,K
play,4,0,ozunm001,12,CCBFX,2/P2F/FL
play,4,0,grisv001,00,X,63/G6M
play,4,1,gurry001,00,X,7/F7S
play,4,1,arral001,01,CX,3/G3
play,4,1,delab001,22,BCBFS,K
play,5,0,acunr001,12,BFCC,K
play,5,0,olsom001,32,BFCFBBFFFB,W
play,5,0,rilea001,01,CX,6/P6D
play,5,0,murps001,00,B,WP.1-2
play,5,0,murps001,32,B.BFFFBB,W
play,5,0,rosae001,01,CX,S9/G34.2-H;1-3
play,5,0,albio001,00,>*B,SB2
play,5,0,albio001,32,>*B.BCSBFB,W
play,5,0,harrm004,01,FX,3/G3
play,5,1,sancj003,02,.SSX,53/G56D
play,5,1,seguj002,22,CC.FBFFBX,63/G6
play,5,1,stalj001,21,CBBX,53/G5
play,6,0,ozunm001,00,,NP
sub,barnm001,"Matt Barnes",1,0,1
play,6,0,ozunm001,21,.BCBX,S7/L78D+
play,6,0,grisv001,12,SFBX,64(1)3/GDP/G6M
play,6,0,acunr001,32,BBCCBB,W
play,6,0,olsom001,02,1CC>*B,SB2
play,6,0,olsom001,22,1CC>*B.BS,K
play,6,1,bertj001,11,CBX,S14/G4M
play,6,1,chisj001,21,CBBX,16(1)3/GDP/G4S
play,6,1,solej001,22,CBBFT,K
play,7,0,rilea001,00,,NP
sub,okers001,"Steven Okert",1,0,1
play,7,0,rilea001,12,.FSFBX,6/F6D
play,7,0,murps001,12,SFBS,K
play,7,0,rosae001,02,FFS,K
play,7,1,gurry001,01,CX,4/F8S
play,7,1,arral001,12,CFBX,3/G3
play,7,1,delab001,32,FFBBBX,S8/L8XD+.BX2(84)
play,8,0,albio001,00,,NP
sub,quezj001,"Johan Quezada",1,0,1
play,8,0,albio001,10,.BX,8/L78D
play,8,0,harrm004,10,BX,D8/G4
play,8,0,ozunm001,31,BFB*BB,W
play,8,0,grisv001,30,BBBB,W.2-3;1-2
play,8,0,acunr001,10,*BX,9/SF/F9D.3-H;2-3
play,8,0,olsom001,31,BBCBB,W.1-2
play,8,0,rilea001,32,CFBB*B>B,W.3-H;2-3;1-2
play,8,0,murps001,32,BBCBC>B,W.3-H;2-3;1-2
play,8,0,rosae001,00,,NP
sub,narda001,"Andrew Nardi",1,0,1
play,8,0,rosae001,02,.FFFC,K
play,8,1,sancj003,00,,NP
sub,yatek001,"Kirby Yates",0,0,1
play,8,1,sancj003,32,.CBBSFBS,K
play,8,1,seguj002,32,BFBCFFBFV,W
play,8,1,stalj001,22,BFBCS,K
play,8,1,bertj001,32,BBFCB>*B,W.1-2
play,8,1,chisj001,10,BX,7/F6D
play,9,0,albio001,22,BBFFX,D9/L9L
play,9,0,harrm004,00,X,6/L6M/DP.2X2(6)
play,9,0,ozunm001,22,BCSBC,K
play,9,1,solej001,00,,NP
sub,jimej003,"Joe Jimenez",0,0,1
play,9,1,solej001,10,.BX,63/G6
play,9,1,gurry001,02,CCX,DGR/L78XD+
play,9,1,arral001,00,,NP
sub,edwax001,"Xavier Edwards",1,4,11
play,9,1,edwax001,01,.SX,7/L78
play,9,1,delab001,12,CF*BFS,K
data,er,jimej003,0
data,er,yatek001,0
data,er,eldeb001,0
data,er,alcas001,3
data,er,quezj001,3
data,er,okers001,0
data,er,narda001,0
data,er,barnm001,0
id,MIA202309150
version,2
info,visteam,ATL
info,hometeam,MIA
info,site,MIA02
info,date,2023/09/15
info,number,0
info,gametype,regular
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,ramoc901
info,ump1b,johna901
info,ump2b,gonzm901
info,ump3b,wolcq901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/10/05 05:53:05
info,howscored,unknown
info,pitches,pitches
info,oscorer,jernr701
info,temp,72
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,175
info,attendance,17692
info,wp,puk-a001
info,lp,handb001
info,save,scott003
start,acunr001,"Ronald Acuna Jr.",0,1,9
start,albio001,"Ozzie Albies",0,2,4
start,rilea001,"Austin Riley",0,3,5
start,olsom001,"Matt Olson",0,4,3
start,ozunm001,"Marcell Ozuna",0,5,10
start,rosae001,"Eddie Rosario",0,6,7
start,darnt001,"Travis d'Arnaud",0,7,2
start,arcio002,"Orlando Arcia",0,8,6
start,harrm004,"Michael Harris II",0,9,8
start,eldeb001,"Bryce Elder",0,0,1
start,arral001,"Luis Arraez",1,1,3
start,bellj005,"Josh Bell",1,2,10
start,burgj001,"Jake Burger",1,3,5
start,chisj001,"Jazz Chisholm Jr.",1,4,8
start,delab001,"Bryan De La Cruz",1,5,7
start,sancj003,"Jesus Sanchez",1,6,9
start,edwax001,"Xavier Edwards",1,7,4
start,stalj001,"Jacob Stallings",1,8,2
start,wendj002,"Joey Wendle",1,9,6
start,cuetj001,"Johnny Cueto",1,0,1
play,1,0,acunr001,01,CX,S9/L89
play,1,0,albio001,01,SX,S7/F7L.1-2
play,1,0,rilea001,32,BBCSBS,K
play,1,0,olsom001,01,FX,16(1)/FO/G13.2-3;B-1
play,1,0,ozunm001,00,X,64(1)/FO/G6.B-1
play,1,1,arral001,12,CFFBX,HR/F9D
play,1,1,bellj005,32,BBFBFT,K
play,1,1,burgj001,32,BSBS.BX,D7/L7D+
play,1,1,chisj001,12,BFSS,K
play,1,1,delab001,00,X,S4/L4MD+.2-H
play,1,1,sancj003,01,SB,WP.1-2
play,1,1,sancj003,11,SB.X,T8/L89S.2-H
play,1,1,edwax001,21,C*BBX,7/L78
play,2,0,rosae001,22,.BCCBFFX,7/F7S
play,2,0,darnt001,21,BBCX,7/F7+
play,2,0,arcio002,12,CCBFS,K
play,2,1,stalj001,31,BBFBX,D8/L89XD+
play,2,1,wendj002,01,FX,6/F6D
play,2,1,arral001,20,B*BX,43/G34.2-3
play,2,1,bellj005,22,BS*BFX,C/E2.B-1
play,2,1,burgj001,00,X,S7/G56.3-H;1-2
play,2,1,chisj001,22,CSB*B.C,K
play,3,0,harrm004,00,X,HR/F7D
play,3,0,acunr001,32,BFFBBFFFX,S9/G34
play,3,0,albio001,12,1B1FFF>X,3/G3S.1-2
play,3,0,rilea001,10,BX,S9/G34.2-H
play,3,0,olsom001,22,CBBFX,S7/L78D.1-2
play,3,0,ozunm001,00,H,HP.2-3;1-2
play,3,0,rosae001,01,SX,12(3)/FO/G1S.2-3;1-2;B-1
play,3,0,darnt001,11,SBX,2/P1S/FL
play,3,1,delab001,01,CX,53/G56
play,3,1,sancj003,22,BBCSS,K
play,3,1,edwax001,10,BX,S4/G34
play,3,1,stalj001,22,LFB1BS,K
play,4,0,arcio002,00,,NP
sub,hampg001,"Garrett Hampson",1,5,7
play,4,0,arcio002,11,.BSX,D7/L7LD+
play,4,0,harrm004,20,BBX,43/G34.2-3
play,4,0,acunr001,00,X,9/SF/F9LD.3-H
play,4,0,albio001,22,BSFFBX,43/G34
play,4,1,wendj002,12,BFSX,S8/L8
play,4,1,arral001,11,CBX,6(1)/FO/G4.B-1
play,4,1,bellj005,32,B*BCBS.FFS,K
play,4,1,burgj001,32,CBBF*B.>X,63/G6
play,5,0,rilea001,00,,NP
sub,charj001,"JT Chargois",1,0,1
play,5,0,rilea001,20,.BBX,D7/L78+
play,5,0,olsom001,32,BCBFB*B,W
play,5,0,ozunm001,10,BX,9/L9D+.2-3
play,5,0,rosae001,21,*BBSX,8/SF/F8.3-H;1-2
play,5,0,darnt001,00,X,53/G56
play,5,1,chisj001,01,FX,3/G3
play,5,1,hampg001,01,CX,S1/G25-
play,5,1,sancj003,20,BBX,36(1)3/GDP/G3
play,6,0,arcio002,00,,NP
sub,robed002,"David Robertson",1,0,1
play,6,0,arcio002,02,.CS.FX,D9/F9L
play,6,0,harrm004,11,CBX,9/L9D.2-3
play,6,0,acunr001,31,*BFB*BB,W
play,6,0,albio001,32,*BTC*BFB>F>F1F>X,S8/L89.3-H;1-H;B-2
play,6,0,rilea001,00,X,63/G6.2-3
play,6,0,olsom001,00,,NP
sub,puk-a001,"A.J. Puk",1,0,1
play,6,0,olsom001,02,.CSS,K
play,6,1,edwax001,00,,NP
sub,johnp001,"Pierce Johnson",0,0,1
play,6,1,edwax001,32,.CBBBCB,W
play,6,1,stalj001,22,.BCCBX,54(1)3/GDP/G56
play,6,1,wendj002,02,CC.X,43/G4
play,7,0,ozunm001,12,CBS.X,63/G6
play,7,0,rosae001,00,,NP
sub,pillk001,"Kevin Pillar",0,6,11
play,7,0,pillk001,12,.SS.BS,K
play,7,0,darnt001,12,CBSS,K
play,7,1,arral001,00,,NP
sub,pillk001,"Kevin Pillar",0,6,7
play,7,1,arral001,02,.FC.X,HR/F9LD
play,7,1,bellj005,01,CX,9/L9
play,7,1,burgj001,00,X,43/G4M
play,7,1,chisj001,00,,NP
sub,handb001,"Brad Hand",0,0,1
play,7,1,chisj001,12,.BCFX,S9/L9LD+
play,7,1,hampg001,01,CX,D8/L89D.1-H
play,7,1,sancj003,00,,NP
sub,gurry001,"Yuli Gurriel",1,6,11
play,7,1,gurry001,30,.VVVV,IW
play,7,1,edwax001,12,CSBH,HP.2-3;1-2
play,7,1,stalj001,11,CBX,D7/L7LS.3-H;2-H;1-H
play,7,1,wendj002,32,BCSBBFS,K
play,8,0,arcio002,00,,NP
sub,arral001,"Luis Arraez",1,1,4
play,8,0,arcio002,00,.,NP
sub,hampg001,"Garrett Hampson",1,5,9
play,8,0,arcio002,00,..,NP
sub,gurry001,"Yuli Gurriel",1,6,3
play,8,0,arcio002,00,...,NP
sub,bertj001,"Jon Berti",1,7,7
play,8,0,arcio002,00,....,NP
sub,narda001,"Andrew Nardi",1,0,1
play,8,0,arcio002,12,.....BCFX,53/G5
play,8,0,harrm004,11,BFX,S7/F78S
play,8,0,acunr001,11,BFX,64(1)3/GDP/G6
play,8,1,arral001,00,,NP
sub,jimej003,"Joe Jimenez",0,0,1
play,8,1,arral001,00,.,NP
sub,wallf001,"Forrest Wall",0,1,7
play,8,1,arral001,00,..,NP
sub,pillk001,"Kevin Pillar",0,6,9
play,8,1,arral001,00,...X,7/L7D
play,8,1,bellj005,12,CBFFC,K
play,8,1,burgj001,22,FBC.BC,K
play,9,0,albio001,00,,NP
sub,scott003,"Tanner Scott",1,0,1
play,9,0,albio001,20,.BBX,9/F9
play,9,0,rilea001,02,CFS,K
play,9,0,olsom001,12,SBC.FX,63/G6
data,er,johnp001,1
data,er,jimej003,0
data,er,handb001,4
data,er,eldeb001,4
data,er,cuetj001,3
data,er,scott003,0
data,er,puk-a001,0
data,er,narda001,0
data,er,charj001,1
data,er,robed002,2
