Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,kwans001,12,CBSX,S8/L8
play,1,1,rosaa003,20,BBX,3/P4S-
play,1,1,ramij003,00,X,7/F78S
play,1,1,naylj001,31,B*B*BFB,W.1-2
play,1,1,gimea001,10,BX,9/L9
play,2,1,bellj005,00,X,43/G4
play,2,1,brenw002,20,BBX,43/G4
play,2,1,stram002,01,CX,D7/L7
play,2,1,naylb001,11,*BFB,WP.2-3
play,2,1,naylb001,21,*BFB.X,6/P6
play,3,1,kwans001,12,CBFX,13/G25
play,3,1,rosaa003,11,FBX,S7/L6D+
play,3,1,ramij003,31,CBBBX,7/F7LS
play,3,1,naylj001,31,1BBSB.>S,SB2
play,3,1,naylj001,32,1BBSB.>S.X,31/G3
play,4,1,gimea001,11,CBX,9/F89D
play,4,1,bellj005,32,BCF.BBX,43/G34
play,4,1,brenw002,12,BCFX,63/G6M
play,5,1,stram002,00,X,4/P4
play,5,1,naylb001,22,FBFBX,43/G4
play,5,1,kwans001,20,BBX,S7/G56
play,5,1,rosaa003,01,CX,64(1)/FO/G6.B-1
play,6,1,ramij003,31,BBFBB,W
play,6,1,naylj001,12,FBFT,K
play,6,1,gimea001,01,CX,7/F7L
play,6,1,bellj005,21,FBBX,63/G6M
play,7,1,brenw002,01,CX,43/G4D
play,7,1,stram002,02,CSX,S5/G5S
play,7,1,naylb001,00,X,5/F5DF/FL
play,7,1,kwans001,00,X,D8/L78.1-3
play,7,1,rosaa003,11,*BSX,S7/G56.3-H;2-H
play,7,1,ramij003,00,,NP
