Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,chisj001,12,FBCX,53/G56
play,1,1,solej001,12,CFBS,K
play,1,1,gurry001,32,CBFFBFBX,53/G56
play,2,1,arral001,01,CX,S7/L7
play,2,1,delab001,12,FCBFS,K
play,2,1,sancj003,12,BCFF1F*S,K
play,2,1,seguj002,32,BBSBC>X,3/G1S
play,3,1,stalj001,21,BBCX,53/G5
play,3,1,bertj001,10,BX,E5/TH/G5.B-1
play,3,1,chisj001,12,FBC.*S,K
play,3,1,solej001,00,N,BK.1-2
play,3,1,solej001,30,N.BBBX,4/F6MD
play,4,1,gurry001,00,X,7/F7S
play,4,1,arral001,01,CX,3/G3
play,4,1,delab001,22,BCBFS,K
play,5,1,sancj003,02,.SSX,53/G56D
play,5,1,seguj002,22,CC.FBFFBX,63/G6
play,5,1,stalj001,21,CBBX,53/G5
play,6,1,bertj001,11,CBX,S14/G4M
play,6,1,chisj001,21,CBBX,16(1)3/GDP/G4S
play,6,1,solej001,22,CBBFT,K
play,7,1,gurry001,01,CX,4/F8S
play,7,1,arral001,12,CFBX,3/G3
play,7,1,delab001,32,FFBBBX,S8/L8XD+.BX2(84)
play,8,1,sancj003,00,,NP
play,1,1,arral001,12,CFFBX,HR/F9D
play,1,1,bellj005,32,BBFBFT,K
play,1,1,burgj001,32,BSBS.BX,D7/L7D+
play,1,1,chisj001,12,BFSS,K
play,1,1,delab001,00,X,S4/L4MD+.2-H
play,1,1,sancj003,01,SB,WP.1-2
play,1,1,sancj003,11,SB.X,T8/L89S.2-H
play,1,1,edwax001,21,C*BBX,7/L78
play,2,1,stalj001,31,BBFBX,D8/L89XD+
play,2,1,wendj002,01,FX,6/F6D
play,2,1,arral001,20,B*BX,43/G34.2-3
play,2,1,bellj005,22,BS*BFX,C/E2.B-1
play,2,1,burgj001,00,X,S7/G56.3-H;1-2
play,2,1,chisj001,22,CSB*B.C,K
play,3,1,delab001,01,CX,53/G56
play,3,1,sancj003,22,BBCSS,K
play,3,1,edwax001,10,BX,S4/G34
play,3,1,stalj001,22,LFB1BS,K
play,4,1,wendj002,12,BFSX,S8/L8
play,4,1,arral001,11,CBX,6(1)/FO/G4.B-1
play,4,1,bellj005,32,B*BCBS.FFS,K
play,4,1,burgj001,32,CBBF*B.>X,63/G6
play,5,1,chisj001,01,FX,3/G3
play,5,1,hampg001,01,CX,S1/G25-
play,5,1,sancj003,20,BBX,36(1)3/GDP/G3
play,6,1,edwax001,00,,NP
