Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,yelic001,31,BBBCX,63/G6M
play,1,1,contw002,11,CBX,7/F7D
play,1,1,adamw002,32,CBFBF.FBB,W
play,1,1,frels001,10,BX,43/G34
play,2,1,monaa001,32,BCBBC.X,8/L89XD+
play,2,1,carav001,01,CX,9/F89D
play,2,1,millo002,32,BCFBFFF.FBS,K
play,3,1,turab002,01,CX,HR/F9D
play,3,1,perkb002,00,X,43/G4
play,3,1,yelic001,32,CBBFBF.X,S9/G34
play,3,1,contw002,00,X,53/G5.1-2
play,3,1,adamw002,01,CX,63/G6
play,4,1,frels001,32,BBCSBB,W
play,4,1,monaa001,32,CFF*BF1B*B>X,9/F9
play,4,1,carav001,32,B*BFF.1B>X,S9/L9.1-3
play,4,1,millo002,21,BFBX,8/SF/F89XD.3-H
play,4,1,turab002,22,CBBCFFX,46(1)/FO/G1S.B-1
play,5,1,perkb002,11,CBX,S7/F7S
play,5,1,yelic001,01,CX,36(1)3/GDP/G3
play,5,1,contw002,21,BSBX,63/G6
play,6,1,adamw002,22,SBF.FBFFFS,K
play,6,1,frels001,11,CBX,5/P5DF/FL
play,6,1,monaa001,12,CFBX,43/G6M
play,7,1,carav001,00,,NP
play,7,1,carav001,00,.,NP
