Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,ruize001,32,SBBFBFFF.FFX,53/G5
play,1,1,nodar001,02,SS.C,K
play,1,1,brows003,32,BBBCS.FB,W
play,1,1,diaza003,00,X,64(1)/FO/G6.B-1
play,2,1,laurr001,31,BBBCX,63/G6
play,2,1,bledj001,31,BBCBB,W
play,2,1,bridj001,12,CBCC,K
play,2,1,langs001,02,C*SS,K
play,3,1,allen002,11,CBX,31/G34
play,3,1,ruize001,12,BFFX,53/G5
play,3,1,nodar001,00,X,5/P6D
play,4,1,brows003,12,CCBS,K
play,4,1,diaza003,01,CX,9/F9L
play,4,1,laurr001,21,LBBX,S9/G34
play,4,1,bledj001,11,F*BX,7/L7D
play,5,1,bridj001,02,FCX,9/F89
play,5,1,langs001,01,CX,S7/L7+
play,5,1,allen002,21,M*BB>X,S8/G6M.1-3
play,5,1,ruize001,02,LS.X,S7/G56.3-H;1-2
play,5,1,nodar001,12,SBC.X,46(1)3/GDP/G34
play,6,1,brows003,12,SF.FBS,K
play,6,1,diaza003,20,BBX,53/G5
play,6,1,laurr001,00,X,13/BG25-
play,7,1,bledj001,00,X,S5/BG56S
play,7,1,bridj001,10,BX,64(1)/FO/G6.B-1
play,7,1,langs001,00,X,14(1)3/GDP/G13
play,8,1,allen002,00,X,4/P34D
play,8,1,ruize001,31,BBBCB,W
play,8,1,nodar001,00,,NP
