Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,palaj001,20,BBX,3/G3
play,1,1,reynb001,10,BX,S7/L7
play,1,1,hayek001,21,C*BBX,54(1)/FO/G56.B-1
play,1,1,rivaa001,22,BCS*BFX,13/G4MS
play,2,1,davih001,32,CBBFBS,K
play,2,1,suwij001,10,BX,7/F78
play,2,1,pegul001,01,TX,53/G56
play,3,1,trioj001,12,SCBS,K
play,3,1,delaj004,00,X,S9/L89
play,3,1,palaj001,01,FH,HP.1-2
play,3,1,reynb001,31,BBBC*B,W.2-3;1-2
play,3,1,hayek001,12,CBFFX,S7/L7S.3-H;2-H;1-3
play,3,1,rivaa001,32,BBC1SBX,7/SF/F7.3-H;1-2
play,3,1,davih001,22,BFBSS,K
play,4,1,suwij001,32,CBFBBB,W
play,4,1,pegul001,12,BCCC,K
play,4,1,trioj001,02,>FC1*S,K
play,4,1,delaj004,21,BF*BX,S7/L78S.1-3
play,4,1,palaj001,00,X,7/F7D
play,5,1,reynb001,02,FFX,8/F8XD
play,5,1,hayek001,20,BBX,63/G6+
play,5,1,rivaa001,01,CX,7/F7LS
play,6,1,davih001,12,CFBX,S7/G56
play,6,1,suwij001,21,BBCX,D7/F78XD+.1-3
play,6,1,pegul001,00,,NP
