Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,diazy001,02,FCX,S57/G56
play,1,1,franw002,31,B*BBCX,3/G3.1-2
play,1,1,ralel001,11,CBX,9/F9LD
play,1,1,arozr001,31,BBBC*B,W
play,1,1,aranj001,22,BBCC.X,D7/G5.2-H;1-H
play,1,1,parei001,02,FFX,HR/F7LD.2-H
play,1,1,wallt003,32,CBS.BBB,W
play,1,1,sirij001,22,BFBFX,64(1)/FO/G56.B-1
play,2,1,bethc001,32,BTS.BB*B,W
play,2,1,diazy001,32,*BFCBB>X,4(1)3/GDP/G4M
play,2,1,franw002,00,X,4/L4D+
play,3,1,ralel001,11,BFX,9/F89XD
play,3,1,arozr001,01,CX,S7/L7+
play,3,1,aranj001,00,X,64(1)/FO/G6M.B-1
play,3,1,parei001,01,FX,63/G6
play,4,1,wallt003,31,CBBB*B,W
play,4,1,sirij001,10,B>X,53/G56.1-3
play,4,1,bethc001,00,X,S7/G56.3-H
play,4,1,diazy001,22,C*BS*BX,HR/F8XD.1-H
play,4,1,franw002,00,,NP
