id,COL202308280
version,2
info,visteam,ATL
info,hometeam,COL
info,site,DEN02
info,date,2023/08/28
info,number,0
info,gametype,regular
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,barrl901
info,ump1b,blakr901
info,ump2b,willr901
info,ump3b,eddid901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/09/08 09:03:04
info,howscored,unknown
info,pitches,pitches
info,oscorer,magrj701
info,temp,79
info,winddir,rtol
info,windspeed,3
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,174
info,attendance,27024
info,wp,eldeb001
info,lp,kaufk001
info,save,
start,acunr001,"Ronald Acuna Jr.",0,1,9
start,albio001,"Ozzie Albies",0,2,4
start,rilea001,"Austin Riley",0,3,5
start,olsom001,"Matt Olson",0,4,3
start,ozunm001,"Marcell Ozuna",0,5,10
start,murps001,"Sean Murphy",0,6,2
start,arcio002,"Orlando Arcia",0,7,6
start,pillk001,"Kevin Pillar",0,8,7
start,harrm004,"Michael Harris II",0,9,8
start,eldeb001,"Bryce Elder",0,0,1
start,blacc001,"Charlie Blackmon",1,1,10
start,tovae001,"Ezequiel Tovar",1,2,6
start,mcmar001,"Ryan McMahon",1,3,5
start,diaze005,"Elias Diaz",1,4,2
start,jonen002,"Nolan Jones",1,5,7
start,goodh001,"Hunter Goodman",1,6,3
start,casth001,"Harold Castro",1,7,4
start,toglm001,"Michael Toglia",1,8,9
start,doylb001,"Brenton Doyle",1,9,8
start,gomba001,"Austin Gomber",1,0,1
play,1,0,acunr001,02,CFX,53/G56
play,1,0,albio001,11,BCX,4/L4MD+
play,1,0,rilea001,12,BSFS,K
play,1,1,blacc001,10,BX,S9/L9D+
play,1,1,tovae001,11,BFX,54(1)3/GDP/G5
play,1,1,mcmar001,22,CC.FFFBBX,HR/F89XD
play,1,1,diaze005,32,CBBFBC,K
play,2,0,olsom001,31,CBBBB,W
play,2,0,ozunm001,11,BSX,9/F9D
play,2,0,murps001,10,BX,D7/L7D+.1-3
play,2,0,arcio002,22,CBBSFX,6/L56D
play,2,0,pillk001,02,CFX,3/G1S-
play,2,1,jonen002,01,SX,43/G34
play,2,1,goodh001,02,CSX,S7/L7D+
play,2,1,casth001,10,BX,8/L8XD
play,2,1,toglm001,01,CX,46(1)/FO/G4D.B-1
play,3,0,harrm004,10,BX,S9/L9LD+
play,3,0,acunr001,31,BBCBB,W.1-2
play,3,0,albio001,00,X,4/P9S/DP.2X3(45)
play,3,0,rilea001,11,1BFX,HR/L9LD.1-H
play,3,0,olsom001,10,BX,T89/G4+
play,3,0,ozunm001,00,,NP
sub,kaufk001,"Karl Kauffmann",1,0,1
play,3,0,ozunm001,00,.X,8/F89D
play,3,1,doylb001,01,CX,63/G6
play,3,1,blacc001,12,BCFFFC,K
play,3,1,tovae001,12,BSSX,23/G2
play,4,0,murps001,32,FCBBBX,7/L7+
play,4,0,arcio002,01,CX,63/G6
play,4,0,pillk001,10,BX,53/G56
play,4,1,mcmar001,32,BBFF.BB,W
play,4,1,diaze005,01,FX,9/L89D
play,4,1,jonen002,12,C*BSX,36(1)/FO/G3S.B-1
play,4,1,goodh001,12,S*BC1.X,D9/F9LS.1-H
play,4,1,casth001,12,SFBX,63/G6M
play,5,0,harrm004,00,X,S8/G4
play,5,0,acunr001,11,B1FX,HR/L9D.1-H
play,5,0,albio001,10,BX,8/F8XD
play,5,0,rilea001,00,X,9/L9D
play,5,0,olsom001,12,CFBS,K
play,5,1,toglm001,01,FX,S7/L78D+
play,5,1,doylb001,22,SBF*BFS,K
play,5,1,blacc001,00,X,S9/G34+.1-2
play,5,1,tovae001,01,FX,S9/L89.2-H;1-3
play,5,1,mcmar001,22,SB*BFX,7/SF/L7.3-H
play,5,1,diaze005,32,B1*BFF*B>X,4/P34D
play,6,0,ozunm001,22,BCBFX,53/G5D
play,6,0,murps001,21,BFBX,D7/L78XD+
play,6,0,arcio002,20,*BBX,S7/L7.2-3
play,6,0,pillk001,12,CB1FX,7/SF/F78S.3-H;1-2
play,6,0,harrm004,00,,NP
sub,juste001,"Evan Justice",1,0,1
play,6,0,harrm004,11,.CBX,6/P78S
play,6,1,jonen002,21,CBBX,7/F7LD
play,6,1,goodh001,02,FFS,K
play,6,1,casth001,02,CF.FFX,S9/G4
play,6,1,toglm001,21,BF1BX,3/G34
play,7,0,acunr001,21,BBFX,S8/G4M
play,7,0,albio001,01,C1,SB2
play,7,0,albio001,11,C1.BX,43/G34.2-3
play,7,0,rilea001,10,BX,S8/G6.3-H
play,7,0,olsom001,10,BB,WP.1-2
play,7,0,olsom001,30,BB.BB,W
play,7,0,ozunm001,00,,NP
sub,doylt001,"Tommy Doyle",1,0,1
play,7,0,ozunm001,11,.SBX,S9/L9.2-H;1-2
play,7,0,murps001,01,CB,WP.2-3
play,7,0,murps001,32,CB.BBSX,D7/G5+.3-H;1XH(762)
play,7,0,arcio002,00,X,S9/L3D.2-H
play,7,0,pillk001,02,TFS,K
play,7,1,doylb001,00,,NP
