id,PHI202306220
version,2
info,visteam,ATL
info,hometeam,PHI
info,site,PHI13
info,date,2023/06/22
info,number,0
info,gametype,regular
info,starttime,1:05PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,dejer901
info,ump1b,barrl901
info,ump2b,macka901
info,ump3b,marqa901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/06/24 09:04:44
info,howscored,unknown
info,pitches,pitches
info,oscorer,matsk701
info,temp,65
info,winddir,fromrf
info,windspeed,13
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,177
info,attendance,39570
info,wp,igler001
info,lp,marty001
info,save,
start,acunr001,"Ronald Acuna Jr.",0,1,9
start,albio001,"Ozzie Albies",0,2,4
start,rilea001,"Austin Riley",0,3,5
start,ozunm001,"Marcell Ozuna",0,4,10
start,olsom001,"Matt Olson",0,5,3
start,darnt001,"Travis d'Arnaud",0,6,2
start,rosae001,"Eddie Rosario",0,7,7
start,arcio002,"Orlando Arcia",0,8,6
start,harrm004,"Michael Harris II",0,9,8
start,eldeb001,"Bryce Elder",0,0,1
start,schwk001,"Kyle Schwarber",1,1,7
start,turnt001,"Trea Turner",1,2,6
start,castn001,"Nick Castellanos",1,3,9
start,harpb003,"Bryce Harper",1,4,10
start,realj001,"J.T. Realmuto",1,5,2
start,stotb001,"Bryson Stott",1,6,4
start,bohma001,"Alec Bohm",1,7,5
start,clemk001,"Kody Clemens",1,8,3
start,marsb002,"Brandon Marsh",1,9,8
start,nolaa001,"Aaron Nola",1,0,1
play,1,0,acunr001,11,FBX,8/F89D
play,1,0,albio001,12,BFFX,7/F78S
play,1,0,rilea001,00,X,53/G5
play,1,1,schwk001,00,X,63/G6M
play,1,1,turnt001,02,CSH,HP
play,1,1,castn001,00,X,54(1)3/GDP/G5
play,2,0,ozunm001,32,BFBFBFFFFFB,W
play,2,0,olsom001,00,X,7/F7S
play,2,0,darnt001,32,CFB*BBT,K
play,2,0,rosae001,22,CFB*BFX,3/P3SF/FL
play,2,1,harpb003,02,FC.X,3/G3
play,2,1,realj001,22,CSBFB.S,K
play,2,1,stotb001,32,BBCTBX,8/L8+
play,3,0,arcio002,32,CFBF.FFBBX,53/G56
play,3,0,harrm004,21,BBCX,7/F78
play,3,0,acunr001,21,FBBX,63/G6
play,3,1,bohma001,01,CX,63/G56
play,3,1,clemk001,31,FBBBX,43/G34
play,3,1,marsb002,12,BCFX,S9/G3
play,3,1,schwk001,22,C*BBF1S,K
play,4,0,albio001,12,FSFFBX,63/G4M
play,4,0,rilea001,11,CBX,S8/G6M+
play,4,0,ozunm001,21,SB*BX,5/L5D+
play,4,0,olsom001,32,CF*BBF*B>B,W.1-2
play,4,0,darnt001,32,BSBC*B>F>F>X,9/L89
play,4,1,turnt001,32,CFFBBFBB,W
play,4,1,castn001,12,C1BS.S,K
play,4,1,harpb003,20,B*BX,7/F78
play,4,1,realj001,02,1CF>*B,SB2
play,4,1,realj001,22,1CF>*B.BX,63/G6
play,5,0,rosae001,22,CBSBS,K
play,5,0,arcio002,12,CFBFS,K
play,5,0,harrm004,22,BFFBX,3/G3
play,5,1,stotb001,22,CBC.BX,7/L7L
play,5,1,bohma001,10,BX,S7/L7
play,5,1,clemk001,22,BCF*BFFX,9/L89+
play,5,1,marsb002,10,BX,S7/L7S.1-2
play,5,1,schwk001,12,BCFFS,K
play,6,0,acunr001,02,CFC,K
play,6,0,albio001,00,X,D87/F78XD
play,6,0,rilea001,32,BFBFBS,K
play,6,0,ozunm001,00,X,53/G5
play,6,1,turnt001,00,X,53/G56S
play,6,1,castn001,02,CS.S,K
play,6,1,harpb003,32,FBC.BFBB,W
play,6,1,realj001,01,CX,3/P3F/FL
play,7,0,olsom001,00,,NP
sub,sotog003,"Gregory Soto",1,0,1
play,7,0,olsom001,11,.BFX,63/G6M
play,7,0,darnt001,30,BBBB,W
play,7,0,rosae001,00,,NP
sub,pillk001,"Kevin Pillar",0,7,11
play,7,0,pillk001,00,.B,PB.1-2
play,7,0,pillk001,12,.B.CFX,53/G5
play,7,0,arcio002,22,CBBSS,K
play,7,1,stotb001,00,,NP
sub,pillk001,"Kevin Pillar",0,7,7
play,7,1,stotb001,12,.CBFS,K
play,7,1,bohma001,00,X,63/G6
play,7,1,clemk001,12,CBFX,3/G3
play,8,0,harrm004,00,,NP
sub,alvaj004,"Jose Alvarado",1,0,1
play,8,0,harrm004,11,.CBX,D7/L7LS
play,8,0,acunr001,00,X,9/F9D.2-3
play,8,0,albio001,01,SX,63/G6
play,8,0,rilea001,30,B*BVV,IW
play,8,0,ozunm001,00,X,63/G56
play,8,1,marsb002,00,,NP
