id,PIT202305230
version,2
info,visteam,TEX
info,hometeam,PIT
info,site,PIT08
info,date,2023/05/23
info,number,0
info,gametype,regular
info,starttime,6:35PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,becka901
info,ump1b,iassd901
info,ump2b,morag901
info,ump3b,tomln901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/06/10 09:05:43
info,howscored,unknown
info,pitches,pitches
info,oscorer,soosr701
info,temp,77
info,winddir,fromcf
info,windspeed,8
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,133
info,attendance,12061
info,wp,eovan001
info,lp,hillr001
info,save,
start,semim001,"Marcus Semien",0,1,4
start,seagc001,"Corey Seager",0,2,6
start,lowen001,"Nathaniel Lowe",0,3,3
start,garca005,"Adolis Garcia",0,4,9
start,jungj001,"Josh Jung",0,5,5
start,heimj001,"Jonah Heim",0,6,2
start,grosr001,"Robbie Grossman",0,7,7
start,durae002,"Ezequiel Duran",0,8,10
start,tavel001,"Leody Taveras",0,9,8
start,eovan001,"Nathan Eovaldi",0,0,1
start,mccua001,"Andrew McCutchen",1,1,10
start,reynb001,"Bryan Reynolds",1,2,7
start,suwij001,"Jack Suwinski",1,3,8
start,santc002,"Carlos Santana",1,4,3
start,hayek001,"Ke'Bryan Hayes",1,5,5
start,marct001,"Tucupita Marcano",1,6,6
start,palaj001,"Josh Palacios",1,7,9
start,bae-j001,"Ji Hwan Bae",1,8,4
start,hedga001,"Austin Hedges",1,9,2
start,hillr001,"Rich Hill",1,0,1
play,1,0,semim001,12,BFCFFX,T9/L8XD
play,1,0,seagc001,21,CBBX,S6/G6.3-H
play,1,0,lowen001,31,BBFBB,W.1-2
play,1,0,garca005,10,BX,3/P3DF/FL.2-3
play,1,0,jungj001,02,CCFT,K
play,1,0,heimj001,01,CN,BK.3-H(NR);1-2
play,1,0,heimj001,02,CN.TFX,7/F7
play,1,1,mccua001,32,BFBC.BX,D7/L7D+
play,1,1,reynb001,00,X,31/G3.2-3
play,1,1,suwij001,20,BBX,6/P6D
play,1,1,santc002,02,FFX,5/P5D
play,2,0,grosr001,32,FBCFBBC,K
play,2,0,durae002,12,BSC.FC,K
play,2,0,tavel001,12,FS.BS,K
play,2,1,hayek001,12,BCSS,K
play,2,1,marct001,10,BX,43/G4
play,2,1,palaj001,01,FX,43/G4
play,3,0,semim001,02,CFS,K
play,3,0,seagc001,22,BBFSX,8/F8D
play,3,0,lowen001,31,CBBBX,S8/F8
play,3,0,garca005,01,FX,D7/L7L+.1-3
play,3,0,jungj001,11,BFX,53/G6
play,3,1,bae-j001,01,CX,S7/L7L
play,3,1,hedga001,12,1C+1FBX,9/F9
play,3,1,mccua001,00,1,PO1(13)
com,"$Pirates challenged (tag play), call on the field was upheld."
play,3,1,mccua001,32,1.BBCCBB,W
play,3,1,reynb001,12,CSFBX,D8/F89XD.1-H
play,3,1,suwij001,12,CFBS,K
play,4,0,heimj001,02,CF.FX,6/P6
play,4,0,grosr001,32,BBBFC.C,K
play,4,0,durae002,32,BBCBC.C,K
play,4,1,santc002,00,X,E3/G3.B-1
play,4,1,hayek001,01,CX,54(1)3/GDP/G56
play,4,1,marct001,01,FX,3/G1S
play,5,0,tavel001,02,LSS,K
play,5,0,semim001,00,X,8/F78XD
play,5,0,seagc001,12,BFCC,K
play,5,1,palaj001,00,X,S1/G4S
play,5,1,bae-j001,20,*BBX,8/L78XD
play,5,1,hedga001,01,SX,54(1)3/GDP/G6
play,6,0,lowen001,30,BBBB,W
play,6,0,garca005,10,BX,D7/L7LD+.1-3
play,6,0,jungj001,02,CFX,S8/L89+.3-H;2-H
play,6,0,heimj001,01,FX,53/G6.1-2
play,6,0,grosr001,12,BFCX,S8/L8D.2-3
play,6,0,durae002,00,,NP
sub,hernj005,"Jose Hernandez",1,0,1
play,6,0,durae002,12,.BCF.N,BK.3-H(NR);1-2
play,6,0,durae002,32,.BCF.N.BFFBX,3/P3F/FL
play,6,0,tavel001,11,CBX,53/G6
play,6,1,mccua001,22,CBFBFX,13/G2-
play,6,1,reynb001,00,X,43/G34
play,6,1,suwij001,32,BCFVBX,3/P3
play,7,0,semim001,20,BBX,7/F7L
play,7,0,seagc001,01,SX,7/F7D
play,7,0,lowen001,32,BSBBCS,K
play,7,1,santc002,12,SBFS,K
play,7,1,hayek001,32,SBCBBF.X,8/F8
play,7,1,marct001,21,BBFX,13/BG1S-
play,8,0,garca005,00,,NP
sub,unded001,"Duane Underwood Jr.",1,0,1
play,8,0,garca005,01,.CX,7/F78XD+
play,8,0,jungj001,02,CS.X,HR/F7D
play,8,0,heimj001,10,BX,43/G13
play,8,0,grosr001,12,FBF.S,K
play,8,1,palaj001,00,,NP
sub,thomb003,"Bubba Thompson",0,7,7
play,8,1,palaj001,12,.CFBX,43/G4
play,8,1,bae-j001,12,FBC.FX,S5/G56S-
play,8,1,hedga001,00,,NP
sub,castr006,"Rodolfo Castro",1,9,11
play,8,1,castr006,00,.X,8/F8XD+
play,8,1,mccua001,00,X,S9/L89+.1X3(94)
com,"$Umpire reviewed (tag play), call on the field was upheld."
play,9,0,durae002,00,,NP
sub,delaj004,"Jason Delay",1,9,2
play,9,0,durae002,00,.,NP
sub,millb002,"Brad Miller",0,8,11
play,9,0,millb002,02,..FFS,K
play,9,0,tavel001,12,CBS.X,S9/L9L
play,9,0,semim001,12,BCFX,9/L9L/DP.1X1(93)
play,9,1,reynb001,22,.FFBBS,K
play,9,1,suwij001,22,BCBCC,K
play,9,1,santc002,11,BFX,63/G6
data,er,eovan001,1
data,er,hernj005,0
data,er,hillr001,5
data,er,unded001,1
