id,TOR202309140
version,2
info,visteam,TEX
info,hometeam,TOR
info,site,TOR02
info,date,2023/09/14
info,number,0
info,gametype,regular
info,starttime,7:07PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,muchm901
info,ump1b,jimee901
info,ump2b,blakr901
info,ump3b,wendh902
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/09/17 07:18:41
info,howscored,unknown
info,pitches,pitches
info,oscorer,lajor701
info,temp,65
info,winddir,tocf
info,windspeed,8
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,198
info,attendance,37594
info,wp,bradc003
info,lp,gausk001
info,save,
start,semim001,"Marcus Semien",0,1,4
start,seagc001,"Corey Seager",0,2,6
start,lowen001,"Nathaniel Lowe",0,3,3
start,garvm001,"Mitch Garver",0,4,10
start,grosr001,"Robbie Grossman",0,5,9
start,heimj001,"Jonah Heim",0,6,2
start,smitj007,"Josh H. Smith",0,7,5
start,durae002,"Ezequiel Duran",0,8,7
start,carte001,"Evan Carter",0,9,8
start,eovan001,"Nathan Eovaldi",0,0,1
start,sprig001,"George Springer",1,1,10
start,bichb001,"Bo Bichette",1,2,6
start,guerv002,"Vladimir Guerrero Jr.",1,3,3
start,schnd001,"Davis Schneider",1,4,4
start,biggc002,"Cavan Biggio",1,5,9
start,chapm001,"Matt Chapman",1,6,5
start,merrw001,"Whit Merrifield",1,7,7
start,kirka001,"Alejandro Kirk",1,8,2
start,kierk001,"Kevin Kiermaier",1,9,8
start,gausk001,"Kevin Gausman",1,0,1
play,1,0,semim001,01,FX,9/L89
play,1,0,seagc001,01,FX,HR/F89XD
play,1,0,lowen001,32,BBBCCF*B,W
play,1,0,garvm001,22,*BSBFC,K
play,1,0,grosr001,11,BSX,S8/G13.1-2
play,1,0,heimj001,12,SBCC,K
play,1,1,sprig001,22,BFBSX,8/F8D
play,1,1,bichb001,10,BX,S7/L78D
play,1,1,guerv002,11,FBX,HR/F7D.1-H
play,1,1,schnd001,32,BCBSBFX,53/G56
play,1,1,biggc002,12,CSBX,5/P5D
play,2,0,smitj007,11,BCX,9/F89XD
play,2,0,durae002,00,X,S5/BG1S
play,2,0,carte001,22,BSC1BS,K
play,2,0,semim001,32,CBSBB>F1>F>B,W.1-2
play,2,0,seagc001,01,FX,D7/L7LD.2-H;1-H
play,2,0,lowen001,00,X,6/P6D
play,2,1,chapm001,32,BFFBBFB,W
play,2,1,merrw001,22,CFB*BX,36(1)/FO/G3.B-1
play,2,1,kirka001,31,BBTBB,W.1-2
play,2,1,kierk001,32,BC*BBFX,36(1)/FO/G34.2-3;B-1
play,2,1,sprig001,30,BBBB,W.1-2
play,2,1,bichb001,12,BSFS,K
play,3,0,garvm001,01,CX,53/G56S
play,3,0,grosr001,32,CBFBFBX,8/L8D
play,3,0,heimj001,00,X,HR/F89XD
play,3,0,smitj007,32,CBBBCFX,43/G34
play,3,1,guerv002,00,X,9/F9
play,3,1,schnd001,12,CSBFFC,K
play,3,1,biggc002,32,BSBSBC,K
play,4,0,durae002,10,BX,53/G56
play,4,0,carte001,32,CBS.BBFB,W
play,4,0,semim001,12,BSSC,K
play,4,0,seagc001,00,X,S9/G34.1-3
play,4,0,lowen001,32,BCBBS>B,W.1-2
play,4,0,garvm001,01,FX,8/L78XD
play,4,1,chapm001,11,BFX,3/P3D
play,4,1,merrw001,22,CBFBX,S7/L7
play,4,1,kirka001,00,,NP
sub,bradc003,"Cody Bradford",0,0,1
play,4,1,kirka001,31,.B1C*BBX,8/F8D
play,4,1,kierk001,01,CX,53/G56+
play,5,0,grosr001,32,BBFBC.FFB,W
play,5,0,heimj001,01,1S>S,SB2
play,5,0,heimj001,22,1S>S.*BFBC,K
play,5,0,smitj007,31,BS*BB*B,W
play,5,0,durae002,32,CSF.*BFB*BX,53/G6S.2-3;1-2
play,5,0,carte001,00,,NP
sub,mayzt001,"Tim Mayza",1,0,1
com,"$Rangers designated hitter Mitch Garver left the game due to an injured foot."
play,5,0,carte001,22,.BCBC.X,43/G34
play,5,1,sprig001,12,FBFT,K
play,5,1,bichb001,01,TX,D8/L78XD+
play,5,1,guerv002,12,CFBFS,K
play,5,1,schnd001,32,SBBCBFS,K
play,6,0,semim001,32,CFBBFBFC,K
play,6,0,seagc001,11,FBX,43/G4-
play,6,0,lowen001,02,CCX,13/G1S-
play,6,1,biggc002,21,BFBX,3/G3
play,6,1,chapm001,22,CC.FBBS,K
play,6,1,merrw001,10,BX,53/G56
play,7,0,garvm001,00,,NP
sub,swane001,"Erik Swanson",1,0,1
play,7,0,garvm001,00,.,NP
sub,huffs001,"Sam Huff",0,4,11
play,7,0,huffs001,12,..CSBS,K
play,7,0,grosr001,10,BX,S4/G34+
play,7,0,heimj001,10,BX,S9/L89D+.1-2
play,7,0,smitj007,12,CS.FFFBX,46(1)3/GDP/G4
play,7,1,kirka001,31,.BBF.BB,W
play,7,1,kierk001,00,,NP
sub,espis001,"Santiago Espinal",1,9,11
play,7,1,espis001,00,.,NP
sub,leclj001,"Jose Leclerc",0,0,1
play,7,1,espis001,22,..BCCFFBS,K
play,7,1,sprig001,12,BCFS,K
play,7,1,bichb001,31,BFBBB,W.1-2
play,7,1,guerv002,32,S*BSBB>S,K
play,8,0,durae002,00,,NP
sub,varsd001,"Daulton Varsho",1,9,8
play,8,0,durae002,00,.,NP
sub,richt001,"Trevor Richards",1,0,1
play,8,0,durae002,10,..BX,D8/F89XD
play,8,0,carte001,31,BBCB2B,W
play,8,0,semim001,00,X,D7/L7L.2-H;1-3
play,8,0,seagc001,30,VVVV,IW
play,8,0,lowen001,31,BCB*BX,S8/G4M+.3-H;2-H;1-2
play,8,0,huffs001,00,,NP
sub,tavel001,"Leody Taveras",0,4,11
play,8,0,tavel001,00,.,NP
sub,garcy001,"Yimi Garcia",1,0,1
play,8,0,tavel001,10,..BX,FC/SH/BG2-.2-3;1-2;B-1
