Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,netoz001,02,FC.FX,9/L9
play,1,1,troum001,11,BFX,S56/G56+
play,1,1,ohtas001,32,CBBBC.X,7/F7D
play,1,1,wardt002,32,1SFBBB>X,S7/L7+.1-3
play,1,1,drurb001,00,X,8/F8XD+
play,2,1,lambj001,02,CSS,K
play,2,1,urshg001,01,FX,S9/G34
play,2,1,wallc001,32,BFBSB>C,K+CS2(24)/DP
play,3,1,rengl001,11,BCX,43/G34
play,3,1,netoz001,00,X,31/G3
play,3,1,troum001,11,BCX,7/F7D
play,4,1,ohtas001,00,X,43/G34
play,4,1,wardt002,11,CBX,13/G1S
play,4,1,drurb001,00,X,D8/L78XD+
play,4,1,lambj001,32,BCS.FF*BBS,K
play,5,1,urshg001,12,BCF.X,S5/G56S
play,5,1,wallc001,22,BCBFFS,K
play,5,1,rengl001,01,FX,6/L6+
play,5,1,netoz001,32,C*SF*BBB.>F>B,W.1-2
play,5,1,troum001,10,BX,64(1)/FO/G56.B-1
play,6,1,ohtas001,00,X,8/F8XD+
play,6,1,wardt002,22,BFCBX,43/G6M
play,6,1,drurb001,31,CBBBB,W
play,6,1,lambj001,10,BX,13/G1S-
play,7,1,urshg001,00,X,53/G56
play,7,1,wallc001,21,BBCX,31/G3
play,7,1,rengl001,01,CX,7/F7D
play,8,1,netoz001,22,FBC.FBT,K
play,8,1,troum001,21,BBCX,63/G56
play,8,1,ohtas001,12,FBSX,3/G3
play,9,1,wardt002,00,.,NP
play,9,1,wardt002,00,..,NP
play,9,1,wardt002,00,...,NP
