Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,indij001,01,CX,D7/L7LD
play,1,1,friet001,11,LBB,WP.2-3
play,1,1,friet001,32,LBB.S*BFS,K
play,1,1,stees001,22,BTS*BS,K
play,1,1,stept001,10,BX,E5/TH/G56S.3-H(NR)(UR);B-1
play,1,1,fralj001,10,BX,S4/G4S-.1-2
play,1,1,myerw001,22,BBCSS,K
play,2,1,ramoh001,00,X,6/P6D
play,2,1,senzn001,22,FBBSC,K
play,2,1,garcj007,02,CS.C,K
play,3,1,indij001,32,BCBBCB,W
play,3,1,friet001,01,CH,HP.1-2
play,3,1,stees001,10,BX,T8/F8XD+.2-H;1-H
play,3,1,stept001,02,CCX,53/G56S.3-H
play,3,1,fralj001,02,FF*S,K
play,3,1,myerw001,32,BCSBBS,K
play,4,1,ramoh001,02,CSX,S8/G4M
play,4,1,senzn001,11,CBX,54(1)3/GDP/G5
play,4,1,garcj007,20,BBX,63/G6
play,5,1,indij001,32,CBFBBX,9/L9D
play,5,1,friet001,12,CFBX,S7/L7LS
play,5,1,stees001,01,C>B,SB2
play,5,1,stees001,12,C>B.FFX,8/L8D+.2-3
play,5,1,stept001,32,*B*BS*BCX,7/L7D+
play,6,1,fralj001,00,X,2/P2
play,6,1,myerw001,10,BX,S7/L7
play,6,1,ramoh001,01,CX,16(1)3/GDP/G4MS
play,7,1,senzn001,00,,NP
