Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,crawj002,12,CSBT,K
play,1,1,rodrj007,02,SFS,K
play,1,1,suare001,20,BBX,53/G56S
play,2,1,ralec001,02,CS.X,5/L6
play,2,1,hernt002,32,CBSBBX,63/G6
play,2,1,fordm002,22,SCFBFBS,K
play,3,1,frant002,11,SBX,HR/F7LD
play,3,1,kelej001,32,FBSFBB.X,43/G34
play,3,1,rojaj001,10,BX,HR/F9D
play,3,1,crawj002,30,BBBB,W
play,3,1,rodrj007,02,CFS,K
play,3,1,suare001,32,BBFBC>X,D8/L8XD+.1-H
play,3,1,ralec001,20,*BBX,6/F8S
play,4,1,hernt002,01,SX,S67/G56
play,4,1,fordm002,30,BBBB,W.1-2
play,4,1,frant002,32,BCFFFBF2*BH,HP.2-3;1-2
play,4,1,kelej001,32,.BSCBBFS,K
play,4,1,rojaj001,12,CC.BX,S8/G4M.3-H;2-3;1-2
play,4,1,crawj002,00,,NP
